ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_barrel_02b, -241.6609, -2370.368, 8.725857, -0.00506, -0.000661, 0.706944, 0.7072511, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_02b, -183.9476, -2362.957, 8.724117, 9.999998E-07, -9.999998E-07, 0.7071068, 0.7071068, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_02b, -74.04774, -2674.015, 5.378777, 0.001805, -0.002601, 0.7514591, 0.659772, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_1.ymap
prop_barrel_02b, 13.02837, -2712.106, 5.408695, 4.999999E-06, -4.999999E-06, 0.7071068, 0.7071068, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_02b, 12.41155, -2712.154, 5.408691, 0, 0, 0.7071068, 0.7071068, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_02b, -56.8179, -2698.313, 5.445343, 0, 9.999998E-07, 0.7517748, 0.6594199, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_02b, -57.26651, -2698.188, 5.445343, 0, 9.999998E-07, 0.7517748, 0.6594199, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_02b, -38.17496, -2705.371, 5.571922, 1.599999E-05, 1.799999E-05, 0.7496806, 0.6617997, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_02b, -37.04134, -2709.546, 5.552906, 0, -9.999998E-07, 0.7517748, 0.6594199, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_02b, -58.7299, -2713.029, 5.2136, 3E-06, 9.999999E-07, 0.7517748, 0.6594199, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_02b, 61.09801, -2671.336, 5.408932, -0.001007, -0.005035, -5.1E-05, 0.9999868, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_4.ymap
prop_barrel_02b, 821.6271, -3187.317, 5.305626, -6.999998E-06, -1.5E-05, 0.7071068, 0.7071068, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_06_strm_0.ymap
prop_barrel_02b, 1197.577, -3121.934, 4.946373, -3.999999E-06, -6.999998E-06, 0.7071068, -0.7071068, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_06_strm_10.ymap
prop_barrel_02b, 1210.157, -3122.662, 6.798576, 1E-06, 0, 1, 0, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_06_strm_10.ymap
prop_barrel_02b, 1243.531, -2949.339, 8.744846, 0, 0, 1, 0, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_1.ymap
