ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_barrel_03a, 406.7936, -467.7125, 27.56787, -0.004252002, -0.005898003, 0.0004880003, 0.9999734, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_29_strm_0.ymap
prop_barrel_03a, 1148.69, -1648.065, 35.77775, 0.003619001, -0.0004640002, 0.0005330002, 0.9999932, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_29_strm_0.ymap
prop_barrel_03a, 747.6182, -1231.968, 24.21314, -2.3E-05, -0.000198, 0.000187, 0.9999999, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_10_strm_0.ymap
prop_barrel_03a, 750.1724, -1231.345, 24.21653, -0.003529, 0.002128, 0.001197, 0.9999908, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_10_strm_0.ymap
prop_barrel_03a, 685.3959, -1170.028, 24.07549, -0.001017001, -0.0001090001, -7.500005E-05, 0.9999995, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_10_strm_0.ymap
prop_barrel_03a, 680.3188, -1121.742, 23.7376, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_11_strm_0.ymap
prop_barrel_03a, -213.1338, -2356.987, 8.76541, -0.004216, -0.000173, 0.7125151, 0.7016441, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_03a, -231.1749, -2371.369, 16.77193, -0.003712001, -0.001287, 0.709564, 0.7046301, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_03a, -173.5069, -2576.862, 5.444473, 1E-06, 0, 0.003753, 0.999993, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_0.ymap
prop_barrel_03a, -73.34524, -2674.349, 5.413849, -0.0001660001, -0.004813003, -9.300006E-05, 0.9999884, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_1.ymap
prop_barrel_03a, -103.3371, -2673.283, 5.429123, -7.700002E-05, 0.008079002, -0.0005680001, 0.9999672, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_1.ymap
prop_barrel_03a, -102.4183, -2673.281, 5.43634, 0.002212, 0.008923999, -0.002002, 0.9999557, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_1.ymap
prop_barrel_03a, -68.02023, -2691.978, 5.409332, -0.001288, 0.015411, 0.00185, 0.9998787, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_1.ymap
prop_barrel_03a, 1235.151, -2902.111, 16.77473, 0, 0, 1, 0, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_1.ymap
prop_barrel_03a, 662.7495, -3175.765, -10.85896, -0.06828497, 0.7357416, -0.06226997, 0.6709277, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_strm_1.ymap
prop_barrel_03a, -77.48985, 6267.152, 30.81482, 0.000109, 7.400002E-05, -0.297139, 0.9548342, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_0.ymap
prop_barrel_03a, -84.31633, 6268.468, 30.81424, 0.003002999, 0.002960999, -0.2954799, 0.9553397, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_0.ymap
prop_barrel_03a, -84.79208, 6269.045, 30.80493, 0.009374006, 0.01474801, -0.2897582, 0.9569404, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_0.ymap
prop_barrel_03a, 53.33216, 6301.006, 30.68158, 0.001424, 0.0002560001, -0.293467, 0.9559681, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_1.ymap
prop_barrel_03a, 49.6625, 6302.789, 30.67358, -0.001162, 0.0009330001, 0.7460771, -0.665858, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_1.ymap
prop_barrel_03a, 49.25097, 6302.227, 30.67459, 0.001381001, 0.0002450001, -0.2934402, 0.9559764, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_1.ymap
prop_barrel_03a, 49.71326, 6301.459, 30.67706, 0.001376, 0.000254, -0.2923979, 0.9562957, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_1.ymap
prop_barrel_03a, 96.22824, 6325.858, 30.82013, -1E-05, -3.100002E-05, -0.2927782, 0.9561804, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_1.ymap
prop_barrel_03a, 93.49446, 6327.186, 30.67017, -2E-06, 8.000002E-06, 0.7450522, -0.6670062, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_1.ymap
prop_barrel_03a, 92.08233, 6329.159, 30.67334, 0.000423, -0.002214, -0.293075, 0.9560868, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_1.ymap
prop_barrel_03a, 91.20328, 6329.708, 30.67017, -7.000003E-06, 1E-06, -0.2933072, 0.9560183, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_02_strm_1.ymap
