ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_barrel_03d, 1026.267, -2045.823, 30.46604, -0.004063001, 0.015492, 0.9671611, 0.253659, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_17_strm_1.ymap
prop_barrel_03d, 728.5241, -1111.093, 22.00868, 0.03282499, 0.06508698, 0.9895586, -0.124338, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_11_strm_0.ymap
prop_barrel_03d, 721.0111, -1108.817, 22.03304, -0.018734, 0.015351, 0.992504, 0.119788, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_11_strm_0.ymap
prop_barrel_03d, 737.1435, -1112.56, 21.94821, -0.01399501, 0.004628002, 0.9936535, 0.1115151, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_11_strm_0.ymap
prop_barrel_03d, -207.0014, -2356.536, 8.764132, -0.001714001, -0.001008, 0.6682123, 0.7439681, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_03d, -188.208, -2362.944, 8.766519, -0.005303004, -0.004128003, 0.7016935, 0.7124473, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_03d, -164.8669, -2374.538, 8.763736, -0.001292, 0.0002090001, 0.7073512, 0.7068612, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_03d, -96.77361, -2377.342, 13.74035, -1.000001E-06, -1.000001E-06, 0.7070645, 0.7071492, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_03d, -357.1303, -2583.801, 5.455849, 0, 0, 0, 1, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_01_strm_2.ymap
prop_barrel_03d, -334.1426, -2557.249, 5.455849, 0, 0, 0.7660441, -0.642788, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_01_strm_2.ymap
prop_barrel_03d, -297.231, -2596.785, 5.455849, 0, 0, 0, 1, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_01_strm_2.ymap
prop_barrel_03d, -80.65067, -2663.943, 5.445015, -2.7E-05, -3.4E-05, -0.261974, 0.9650749, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_1.ymap
prop_barrel_03d, -101.3882, -2701.191, 5.425209, -0.020767, 0.014249, -0.275992, 0.9608299, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_1.ymap
prop_barrel_03d, -42.71121, -2719.851, 5.59655, 0.0004830002, -0.004087002, -0.2576291, 0.9662351, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_03d, -58.38364, -2712.378, 5.258583, 0.003498999, -0.004810999, 0.9385858, -0.3449949, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_03d, 1.342216, -2737.029, 5.438797, 0, 0, -0.258819, 0.9659258, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_03d, 664.2829, -3024.466, 5.442505, 0, 0, 0.01420101, 0.9998991, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_07_strm_2.ymap
prop_barrel_03d, 655.3947, -3022.134, 5.442505, 0, 0, 0.01420101, 0.9998991, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_07_strm_2.ymap
prop_barrel_03d, 110.8303, -3281.888, 5.445221, -3.099999E-05, 0.0006, 0.136471, 0.9906439, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_08_strm_0.ymap
prop_barrel_03d, 172.9619, -3334.857, 5.215904, 0.001009, 0.005500998, 0.2507309, 0.9680406, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_08_strm_1.ymap
prop_barrel_03d, 260.6583, -2861.342, 5.41864, -0.04857801, -0.06802201, 0.8336972, 0.5458591, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_08_strm_3.ymap
prop_barrel_03d, 290.2587, -2899.027, 5.441833, -0.006069999, 0.002048, 0.8725219, -0.4885329, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_08_strm_3.ymap
prop_barrel_03d, 133.5724, -2204.942, 6.630081, -6.099998E-05, 1.699999E-05, 0.3006079, 0.9537478, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_strm_2.ymap
prop_barrel_03d, 561.7205, -2391.35, 5.231041, 0.005773001, 0.002024001, -0.2345021, 0.9720964, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_strm_5.ymap
prop_barrel_03d, 502.6063, -2314.949, 5.363083, -0.003302, 0.002327, -0.003438, 0.9999859, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_strm_5.ymap
prop_barrel_03d, 503.3158, -2260.156, 5.395897, -0.001461, -0.001777, 0.8815361, -0.472111, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_strm_5.ymap
prop_barrel_03d, 1243.567, -2945.021, 8.789452, 0, 0, 1, 0, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_1.ymap
prop_barrel_03d, 1249.756, -2926.379, 8.789452, 0, 0, 1, 0, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_1.ymap
prop_barrel_03d, 1230.71, -2970.732, 8.789452, 0, 0, 1, 0, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_1.ymap
prop_barrel_03d, 1229.148, -3036.514, 13.7492, 0, 0, 1, 0, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_1.ymap
prop_barrel_03d, 1246.756, -3049.962, 13.77187, 0, 0, 1, 0, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_1.ymap
prop_barrel_03d, -329.5135, -1301.955, 30.67729, -0.028905, 0.001509, -0.015556, 0.99946, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_01_strm_0.ymap
prop_barrel_03d, -223.1544, -1311.988, 30.7401, -0.0001799999, 0.0002629999, 0.0007989997, 0.9999996, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -215.8994, -1290.341, 30.7403, 2E-06, 4.000001E-06, 0.001328, 0.9999991, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -209.5673, -1309.707, 30.73852, 0.002815001, 0.000104, -0.001236001, 0.9999952, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -178.1358, -1336.507, 30.74075, 0.003670001, 0.002359001, 0.006078002, 0.999972, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -178.0498, -1337.357, 30.74049, -0.003531999, 0.003111999, -0.001492, 0.9999878, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -156.0352, -1344.766, 29.43351, -0.01201501, -0.0007860004, 0.01225501, 0.9998524, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -129.7558, -1338.425, 29.26979, -0.03483699, -0.011432, -0.4370579, 0.8986858, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -215.7021, -1351.752, 30.74415, -0.005832999, 0.0009199997, 0.011132, 0.9999206, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -207.0794, -1351.771, 30.72269, -0.006565997, -0.006586997, 0.02089099, 0.9997385, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -235.575, -1282.678, 30.7403, 2E-06, 4.000001E-06, 0.001328, 0.9999991, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -238.6904, -1266.075, 30.74075, 0.003670001, 0.002359001, 0.006078002, 0.999972, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -238.4805, -1266.712, 30.74049, -0.003531999, 0.003111999, -0.001492, 0.9999878, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_02_strm_0.ymap
prop_barrel_03d, -9.532721, -1293.974, 28.79518, -0.001592001, 0.001419001, 0.001671001, 0.9999963, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_03_strm_0.ymap
prop_barrel_03d, 0.117537, -1299.937, 28.69652, -0.036761, -0.004278, 0.014132, 0.999215, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_03_strm_0.ymap
prop_barrel_03d, 20.00731, -1300.644, 28.62812, -0.035569, 0.00308, -0.002215, 0.99936, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_03_strm_0.ymap
prop_barrel_03d, -30.10426, -1308.633, 28.81946, 0.01895601, -0.006173003, -0.01414701, 0.9997011, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_03_strm_0.ymap
prop_barrel_03d, -40.55533, -1318.77, 28.60589, -0.01116099, 0.04323498, 0.0004399998, 0.9990025, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_03_strm_0.ymap
prop_barrel_03d, -612.2336, -2370.848, 13.37948, -0.002943, -0.002215, -0.158843, 0.987297, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_12.ymap
prop_barrel_03d, -808.4163, -2759.105, 13.38912, -0.0004559999, 0.000192, -0.176259, 0.9843437, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_14.ymap
prop_barrel_03d, -1107.232, -3431.837, 13.38897, -0.001483999, 0.001375, 0.8202987, -0.5719318, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_17.ymap
prop_barrel_03d, -1283.254, -3343.278, 13.38995, -0.0008550001, 0.002435, -0.250504, 0.9681121, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_5.ymap
prop_barrel_03d, -965.151, -2836.53, 13.38771, -1.1E-05, 1.799999E-05, -0.0008159997, 0.9999996, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_9.ymap
prop_barrel_03d, 9.380974, -2002.422, 2.29155, 0.07151501, 0.20229, 0.9208592, -0.32555, x64m.rpf\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_12_strm_2.ymap
prop_barrel_03d, 25.93009, -2031.213, 4.866272, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_12_strm_2.ymap
prop_barrel_03d, -74.68129, 6420.674, 30.93451, 8.400001E-05, 8.000002E-06, 0.04468601, 0.9990011, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_04_strm_1.ymap
prop_barrel_03d, -574.6118, 5358.533, 69.66669, 0.0007599997, 0.0006449997, -9.999995E-07, 0.9999995, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_1.ymap
prop_barrel_03d, -582.8465, 5300.024, 69.67561, 0.006463999, 0.012508, 0.000201, 0.9999009, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_1.ymap
prop_barrel_03d, -574.2693, 5309.207, 69.70255, 0.004539999, -0.0008969997, 0.001149, 0.9999886, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_1.ymap
prop_barrel_03d, -566.3417, 5299.141, 69.83791, -0.07461897, -0.04216198, -0.005231997, 0.9963067, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_1.ymap
prop_barrel_03d, -534.0889, 5276.93, 73.61684, 0.002451, 0.004271999, 0.0004589999, 0.9999878, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_1.ymap
prop_barrel_03d, -468.5614, 5360.792, 80.23719, 0.001164, 0.003715, 0.00089, 0.999992, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_2.ymap
prop_barrel_03d, -513.9169, 5330.725, 79.71142, -4E-06, 3E-06, 0.00011, 1, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_2.ymap
prop_barrel_03d, -524.1027, 5336.471, 79.71144, 4.000002E-05, -4.400003E-05, -0.001045001, 0.9999995, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_2.ymap
prop_barrel_03d, -523.9119, 5334.786, 79.71149, -0.000133, -8.800003E-05, 0.001281, 0.9999992, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_2.ymap
prop_barrel_03d, -517.2144, 5338.391, 73.54844, -0.000735, -0.0015, 0.00128, 0.9999978, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_2.ymap
prop_barrel_03d, -568.0477, 5252.068, 69.91171, 0.0008289999, -0.001293, 0.25162, 0.9678249, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15b_strm_3.ymap
prop_barrel_03d, -90.31596, 6423.291, 31.08652, -0.003297, 0.002947, 0.99999, 0.000743, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\gasstation_ipl_group1.ymap
prop_barrel_03d, -98.03006, 6415.692, 31.08356, -8.000001E-06, -2E-06, 0.04283601, 0.9990821, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\gasstation_ipl_group1.ymap
prop_barrel_03d, 1705.613, 4724.298, 41.66886, 0.004869001, -0.008220002, -0.5786091, 0.8155491, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_01_strm_0.ymap
prop_barrel_03d, 1794.158, 4610.519, 36.63086, 0.001390001, -0.003235002, -0.003549003, 0.9999875, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_01_strm_3.ymap
prop_barrel_03d, 1776.722, 4612.81, 36.62809, 0.0006560004, -0.002121001, 0.0004310003, 0.9999974, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_01_strm_3.ymap
prop_barrel_03d, 1799.484, 4912.556, 42.36933, -0.03802301, 0.014638, 0.4457791, 0.8942153, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_02_strm_1.ymap
prop_barrel_03d, 2529.462, 4980.153, 47.25791, -0.418493, 0.6487781, 0.353417, 0.5282491, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_03_long_0.ymap
prop_barrel_03d, 2495.097, 4971.521, 43.99062, -0.003523001, 0.002632001, 0.002051, 0.9999882, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_03_long_0.ymap
prop_barrel_03d, 2495.585, 4955.863, 44.02776, -0.001515, 0.004128001, 0.5476052, 0.8367253, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_03_long_0.ymap
