ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_barrel_exp_01a, 450.4158, -596.1517, 28.16363, 0.0003470001, -0.0002170001, -0.5299191, 0.8480481, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_07_strm_0.ymap
prop_barrel_exp_01a, 452.5638, -596.4393, 28.18212, 0.01187001, 0.03016602, 0.9300556, 0.3659862, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_07_strm_0.ymap
prop_barrel_exp_01a, 462.8232, -573.6561, 27.94529, 0.001995001, 0.002091001, -0.006702003, 0.9999734, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_07_strm_0.ymap
prop_barrel_exp_01a, 451.356, -573.2904, 27.95215, 0, 0, 0.7372773, -0.6755903, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_07_strm_0.ymap
prop_barrel_exp_01a, 452.8324, -553.1277, 27.95215, 0, 0, 0.7372773, -0.6755903, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_07_strm_0.ymap
prop_barrel_exp_01a, 469.539, -576.0555, 27.94412, 0.0004820001, -0.001176, -0.004891002, 0.9999872, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_07_strm_0.ymap
prop_barrel_exp_01a, 565.0485, -568.5757, 24.12379, -0.004098, -0.019955, -0.107227, 0.9940258, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_08_strm_0.ymap
prop_barrel_exp_01a, 503.2845, -621.1443, 24.19329, -0.000134, -0.0001969999, 0.001716999, 0.9999985, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_08_strm_0.ymap
prop_barrel_exp_01a, 536.4899, -594.2449, 24.20058, 0.002597999, 0.011902, -0.01133599, 0.9998615, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_08_strm_0.ymap
prop_barrel_exp_01a, 587.3491, -478.472, 24.22502, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_08_strm_1.ymap
prop_barrel_exp_01a, 588.0523, -481.0061, 24.19062, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_08_strm_1.ymap
prop_barrel_exp_01a, 596.7391, -440.0304, 24.18845, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_08_strm_1.ymap
prop_barrel_exp_01a, 607.5118, -440.933, 24.18467, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_08_strm_1.ymap
prop_barrel_exp_01a, -224.6977, -2356.318, 8.763685, -0.001049, -0.0003189999, 0.7068508, 0.7073618, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_exp_01a, -225.3752, -2356.156, 8.763206, 0.000133, 0.000111, -0.08621497, 0.9962766, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_exp_01a, -212.5167, -2356.938, 8.765915, -0.002919001, 0.001740001, 0.7071003, 0.7071052, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_exp_01a, -179.3046, -2364.691, 8.763091, -3.199999E-05, -5.199999E-05, 0.7934228, -0.6086709, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_exp_01a, -179.3245, -2364.002, 8.761414, 0, 0, -0.04361901, 0.9990482, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_exp_01a, 163.1852, -2662.187, 5.442009, -0.001304, -0.002838, 0.9995451, 0.02999801, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_04_strm_0.ymap
prop_barrel_exp_01a, 369.8385, -2447.479, 5.50853, 0.002097999, -0.014003, -0.0005719998, 0.9998996, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_04_strm_3.ymap
prop_barrel_exp_01a, 341.6201, -2622.991, 5.665497, 5.599998E-05, -3.399999E-05, 0.7133877, -0.7007697, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_04_strm_4.ymap
prop_barrel_exp_01a, 510.6142, -2812.404, 5.493645, -0.0003180002, -0.001801001, 0.2651392, 0.9642084, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01a, 576.1383, -2816.998, 5.504684, 0.006907999, 0.002263, 0.9211179, -0.3892159, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01a, 595.0444, -2736.778, 5.513306, -0.00388, -0.001895, 0.921237, -0.388978, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01a, 624.0861, -2817.322, 5.500885, 0.002787, -0.001693, 0.9199429, -0.3920389, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01a, 619.2003, -2804.992, 5.758789, -2.999998E-06, -0.0003089999, 0.9201109, -0.3916579, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01a, 596.7636, -2911.807, 5.499916, -0.004725, -0.002139, 0.9200371, -0.3917971, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_2.ymap
prop_barrel_exp_01a, 560.6666, -2712.38, 5.50164, -0.002405, 0.0007400002, 0.9199972, -0.3919171, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_4.ymap
prop_barrel_exp_01a, 760.2207, -3224.625, 5.589066, 0.03184101, 0.005187002, 0.7155862, 0.6977792, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_06_strm_0.ymap
prop_barrel_exp_01a, 201.1807, -3057.076, 5.244774, -0.007036998, 0.004393999, 0.004666999, 0.9999547, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_08_strm_1.ymap
prop_barrel_exp_01a, 221.5946, -3099.113, 5.238022, -0.007172999, 0.0003639999, -0.004357999, 0.9999647, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_08_strm_4.ymap
prop_barrel_exp_01a, 239.5011, -3125.566, 5.235542, 0.0001129999, 0.0006379997, 0.5268378, 0.8499656, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_08_strm_4.ymap
prop_barrel_exp_01a, 402.4669, -2187.314, 5.364182, -0.003839998, -0.002439999, -0.2409109, 0.9705366, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_strm_3.ymap
prop_barrel_exp_01a, 559.963, -2297.138, 5.403458, -0.002334, -0.0002419999, 0.05892298, 0.9982598, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_strm_5.ymap
prop_barrel_exp_01a, 552.194, -2314.577, 5.294838, -0.003175002, 0.002036001, 0.1531331, 0.9881984, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_strm_5.ymap
prop_barrel_exp_01a, 830.1385, -2883.747, 13.13989, 0, 0, 0, 1, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_0.ymap
prop_barrel_exp_01a, 1018.427, -2892.387, 10.71119, 0, 0, 0, 1, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_0.ymap
prop_barrel_exp_01a, 1019.076, -2892.657, 10.71119, 0, 0, 0.7660441, -0.642788, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_0.ymap
prop_barrel_exp_01a, 829.1798, -2893.09, 13.13444, 0, 0, 0, 1, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_0.ymap
prop_barrel_exp_01a, 820.5165, -2886.435, 13.13444, 0, 0, 0, 1, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_sh2_strm_0.ymap
