ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_barrel_exp_01c, 162.4715, -2663.646, 5.442017, 0.0006099999, -0.000224, 0.9994689, 0.03258299, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_04_strm_0.ymap
prop_barrel_exp_01c, 381.224, -2459.684, 5.48597, -1.400001E-05, -1.000001E-05, -0.003613002, 0.9999934, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_04_strm_3.ymap
prop_barrel_exp_01c, 340.1943, -2622.208, 5.665489, -4.700002E-05, 1.600001E-05, 0.7137542, -0.7003962, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_04_strm_4.ymap
prop_barrel_exp_01c, 512.024, -2811.593, 5.487198, 0.000389, -7E-05, 0.262805, 0.9648489, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01c, 574.5547, -2817.392, 5.501053, -0.0007450002, 0.0008430002, 0.9201102, -0.3916581, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01c, 622.5082, -2817.717, 5.499962, 0.001614001, -0.0007950004, 0.9201014, -0.3916762, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01c, 617.6227, -2805.387, 5.75898, 0.0002849998, 0.0005009997, 0.9202976, -0.3912188, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_exp_01c, 595.1873, -2912.203, 5.496971, -0.001414, -0.0004859998, 0.9200466, -0.3918059, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_2.ymap
prop_barrel_exp_01c, 601.8563, -2919.562, 5.496956, 0.001371001, -0.002183001, 0.9242715, 0.3817272, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_2.ymap
prop_barrel_exp_01c, 110.5817, -3280.871, 5.444977, 2E-06, -1.8E-05, 0.136087, 0.9906969, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_08_strm_0.ymap
