ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_barrel_pile_04, 645.8305, -1850.938, 8.065077, -0.009567995, -0.003692998, -0.5654796, 0.8246985, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_00_strm_0.ymap
prop_barrel_pile_04, 883.79, -2170.236, 31.26878, -0.0007530001, -0.0002990001, 0.7934951, -0.6085761, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_09_strm_0.ymap
prop_barrel_pile_04, 961.9777, -2108.937, 30.94248, 1.5E-05, 0.0003099999, 0.8003148, -0.5995799, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_10_strm_0.ymap
prop_barrel_pile_04, 937.7384, -2160.365, 29.50687, -0.002470999, -0.001215999, 0.8190416, -0.5737277, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_10_strm_0.ymap
prop_barrel_pile_04, 1006.161, -2132.924, 30.69092, -0.0005540001, -0.000209, 0.8150381, -0.579407, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_10_strm_1.ymap
prop_barrel_pile_04, 1001.807, -2158.863, 29.55394, -0.001118, -0.000779, 0.819341, -0.573305, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_10_strm_1.ymap
prop_barrel_pile_04, 1004.786, -2136.175, 29.5533, -6.199998E-05, 3.799998E-05, -0.09165697, 0.9957906, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_10_strm_1.ymap
prop_barrel_pile_04, 995.1613, -2225.273, 30.5502, 0.0003839999, 0.0004329999, 0.8193468, -0.5732979, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_10_strm_1.ymap
prop_barrel_pile_04, 1037.327, -2203.535, 30.89705, 0.0004359999, 0.0002259999, 0.8181168, -0.5750519, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_10_strm_1.ymap
prop_barrel_pile_04, 977.6989, -2230.434, 30.54945, 0.000176, 0.000662, 0.9915, 0.130105, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_10_strm_1.ymap
prop_barrel_pile_04, -97.33345, -2358.016, 13.30124, -0.0003369999, -6.999998E-05, 0.8192868, -0.5733839, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_pile_04, -96.55802, -2356.96, 13.29773, -1E-06, -2E-06, 1, -0.000316, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\cargoship.ymap
prop_barrel_pile_04, -37.6969, -2695.416, 5.002369, -1E-05, 1E-06, -0.000351, 0.9999999, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_pile_04, 13.31515, -2743.078, 5.002537, -2.9E-05, -0.000138, -0.00058, 0.9999998, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_03_strm_2.ymap
prop_barrel_pile_04, 162.5407, -2662.701, 4.999237, 9.999998E-05, 0.0006199998, 0.9994738, 0.03243199, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_04_strm_0.ymap
prop_barrel_pile_04, 341.1361, -2622.321, 5.223282, -0.000732, -0.000289, 0.7134861, -0.7006691, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_04_strm_4.ymap
prop_barrel_pile_04, 511.7385, -2812.345, 5.048859, 0.00158, -0.001065, 0.09581999, 0.9953969, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_pile_04, 575.3207, -2816.837, 5.057831, -0.000112, -4.299999E-05, 0.9200798, -0.3917309, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_pile_04, 594.2372, -2736.618, 5.065773, -0.004427999, -0.003242999, 0.9198346, -0.3922679, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_pile_04, 623.2734, -2817.159, 5.058319, 0.0008300003, 0.0008070003, 0.9200804, -0.3917282, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_pile_04, 618.3887, -2804.83, 5.318535, -0.001388, -0.001712, 0.9199801, -0.3919591, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_1.ymap
prop_barrel_pile_04, 595.9557, -2911.647, 5.057083, -0.003757999, -0.003329999, 0.9197327, -0.3925129, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_2.ymap
prop_barrel_pile_04, 559.8585, -2712.221, 5.058617, -0.001204, -0.00128, 0.9197281, -0.392552, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_strm_4.ymap
prop_barrel_pile_04, 760.6783, -3225.311, 5.163536, 0.03188299, 0.004870999, 0.7140898, 0.6993108, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_06_strm_0.ymap
