ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_bin_08open, 378.5479, -370.6866, 45.87645, 0.010167, -0.001825001, 0.1766851, 0.9842132, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_25_strm_0.ymap
prop_bin_08open, -1556.939, -231.3621, 48.48028, -0.0007379996, 0.0006449997, 5.999997E-06, 0.9999995, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_09_strm_0.ymap
prop_bin_08open, -1329.282, -1025.26, 6.734943, -0.006755998, 0.01281199, -0.1821359, 0.9831666, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_08_strm_0.ymap
prop_bin_08open, -1327.291, -1024.116, 6.776043, -0.002797001, -0.0005630001, -0.2557481, 0.9667392, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_08_strm_0.ymap
prop_bin_08open, -1113.664, -1217.401, 1.527046, -0.0002409999, 0.001337999, 0.8174747, 0.5759628, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_22_strm_0.ymap
prop_bin_08open, -841.7748, -1259.848, 4.153358, -0.001983, 0.001457, -0.000366, 0.9999969, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_38_strm_0.ymap
prop_bin_08open, -3012.974, 704.711, 22.22736, -0.09739398, 0.06097299, 0.527118, 0.8419878, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_strm_0.ymap
prop_bin_08open, -445.2971, 1594.819, 357.4683, 0, 0, 0.3972391, 0.9177151, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02b_strm_0.ymap
prop_bin_08open, -581.7622, 404.6005, 99.76365, 0.02858001, 0.003051, 0.9985833, 0.04478301, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_07_strm_1.ymap
prop_bin_08open, -1010.721, 716.557, 163.2849, -0.2435571, -0.6507183, 0.2224191, 0.6839411, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_09_strm_0.ymap
