ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_bin_beach_01d, -1413.454, -1473.928, 2.253731, -0.009429004, 0.013723, -0.0002050001, 0.9998614, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_day.ymap
prop_bin_beach_01d, -1428.47, -1445.074, 2.257587, -0.008191003, 0.01516201, -0.002158001, 0.9998491, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_day.ymap
prop_bin_beach_01d, -1445.684, -1412.19, 2.316513, -0.011227, 0.024646, -0.0005130001, 0.9996331, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_day.ymap
prop_bin_beach_01d, -1380.836, -1542.368, 2.407127, -0.028859, 0.033449, 0.008112999, 0.9989907, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_day.ymap
prop_bin_beach_01d, -1396.531, -1515.432, 2.311264, -0.009270004, 0.03496701, -0.0005070002, 0.9993454, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_day.ymap
prop_bin_beach_01d, -1363.632, -1575.613, 2.395035, -0.03298299, 0.04259899, 0.006331998, 0.9985276, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_day.ymap
prop_bin_beach_01d, -1405.779, -1493.471, 2.225451, -0.011252, 0.008826002, 0.003624001, 0.9998912, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_night.ymap
prop_bin_beach_01d, -1422.079, -1460.522, 2.122822, -0.017002, 0.04109, -0.000185, 0.9990107, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_night.ymap
prop_bin_beach_01d, -1386.934, -1538.884, 2.192419, 0.0009420001, 0.004350001, -4E-06, 0.9999901, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_34_night.ymap
prop_bin_beach_01d, -1597.947, -1132.85, 1.597088, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1557.225, -1164.334, 1.561088, -0.01229401, -0.01201201, -0.0001480001, 0.9998522, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1556.92, -1176.082, 1.221851, -0.016711, -0.012446, 0.000262, 0.9997829, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1509.804, -1206.289, 1.755111, 0.003982, 0.006817, 2.7E-05, 0.9999688, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1527.734, -1191.155, 0.85429, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1530.598, -1201.706, 1.157391, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1485.776, -1226.803, 2.054851, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1489.442, -1237.002, 1.966411, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1447.504, -1262.094, 2.658249, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1467.798, -1243.205, 2.335163, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1441.159, -1282.557, 3.267742, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1460.804, -1263.219, 2.488079, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1422.487, -1283.695, 3.81118, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1416.324, -1304.782, 3.307842, 0, 0, 0, 1, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_night.ymap
prop_bin_beach_01d, -1716.65, -928.9528, 7.142931, 0.003509002, -0.002673001, -0.002357001, 0.9999875, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_strm_0.ymap
prop_bin_beach_01d, -3185.661, 1105.688, 20.32521, -0.0006940001, -0.001927, 1E-06, 0.9999979, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_11_strm_1.ymap
prop_bin_beach_01d, -3184.759, 1105.132, 20.1817, 0.12285, -0.696063, -0.122744, 0.6966621, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_11_strm_1.ymap
prop_bin_beach_01d, 2545.819, 2589.795, 37.38911, -0.000579, 0.00055, -0.001944, 0.9999978, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_2.ymap
prop_bin_beach_01d, 2822.862, -653.011, 1.382401, -0.006838003, 0.001307001, -0.6875274, 0.7261252, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_6.ymap
prop_bin_beach_01d, 1189.529, -185.8154, 55.10746, 0.04370803, 0.7612345, 0.03708802, 0.6459383, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
prop_bin_beach_01d, 2515.298, -1219.956, 2.122269, -0.001725999, -0.05314098, 0.9336476, 0.3542249, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_2.ymap
prop_bin_beach_01d, -456.5619, 6459.104, 2.514862, -0.011485, 0.003362, -0.605872, 0.7954721, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_0.ymap
prop_bin_beach_01d, -832.9731, 5900.452, 5.16662, -0.06189398, -0.04418299, 0.8670798, -0.4923309, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_strm_2.ymap
prop_bin_beach_01d, 175.7735, 7055.847, 2.161623, -0.08835797, 0.03420699, 0.003035999, 0.9954966, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_strm_0.ymap
prop_bin_beach_01d, 172.0213, 7028.07, 1.913655, 0.02667301, -0.02632401, -0.6422172, 0.7656061, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_strm_0.ymap
prop_bin_beach_01d, 66.92706, 7193.584, 2.0238, -0.004066999, 0.005650999, 2.3E-05, 0.9999757, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_strm_0.ymap
prop_bin_beach_01d, 1264.906, 6587.837, 1.697594, -0.03742798, -0.001881999, 0.9983397, -0.04374399, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_strm_2.ymap
prop_bin_beach_01d, 1293.129, 6608.601, 1.500352, -0.001258, 0.03434201, 4.300001E-05, 0.9994094, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_strm_2.ymap
prop_bin_beach_01d, 1296.56, 6614.341, 1.371874, -0.0008250002, 0.7116492, -0.0008370002, 0.7025342, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_strm_2.ymap
prop_bin_beach_01d, 1297.736, 6614.441, 1.406603, -0.0008250002, 0.7116492, -0.0008370002, 0.7025342, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_strm_2.ymap
prop_bin_beach_01d, 1298.722, 6614.441, 1.555838, -0.001262, 0.001502, 8.500002E-05, 0.999998, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_09_strm_2.ymap
prop_bin_beach_01d, 2943.592, 4626.957, 48.15768, 0, 0, 0, 1, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_05_strm_1.ymap
prop_bin_beach_01d, 1411.706, 3823.454, 31.03978, -0.3591951, 0.3862221, 0.101052, 0.8435639, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_06b_strm_1.ymap
prop_bin_beach_01d, 444.7413, 3641.185, 28.02265, -0.3591942, 0.3862222, 0.101052, 0.8435642, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_06c_strm_1.ymap
prop_bin_beach_01d, 1528.968, 6618.745, 1.840454, -0.004066999, 0.005650999, 2.3E-05, 0.9999757, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_11_strm_1.ymap
prop_bin_beach_01d, -2606.328, 3570.424, 3.400053, -0.07074697, -0.02788799, 0.7221377, -0.6875567, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_01_strm_0.ymap
