ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_bin_delpiero_b, 943.9747, -2588.496, 9.120865, -0.000363, -6.000001E-05, 0, 0.9999999, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero_b, 981.0974, -2583.413, 9.419861, -4.1E-05, -0.000167, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero_b, 978.0319, -2591.153, 9.11882, -0.0004269999, 4E-05, 0, 0.9999999, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero_b, 883.7952, -2583.884, 9.119217, 1.7E-05, -1.8E-05, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero_b, 834.5204, -2578.989, 9.122086, 0.000517, -0.000144, 0, 0.9999998, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero, 792.0416, -2568.487, 9.119629, 0.000164, -0.001554, 0, 0.9999987, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero, 1037.001, -2607.701, 9.124397, 6.1E-05, -5E-06, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero, 1046.906, -2596.796, 9.12149, 0.000175, -1.5E-05, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero, 1007.551, -2593.704, 9.121635, 0.000176, -1.6E-05, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_18_strm_0.ymap
prop_bin_delpiero_b, -585.2593, -818.2947, 25.2697, -0.005125003, 0.02495801, -0.0001280001, 0.9996753, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_08_strm_0.ymap
