ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_dumpster_4b, -97.88116, -2240.865, 6.822086, 2E-06, -4E-06, -0.00012, 1, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_10_strm_2.ymap
prop_dumpster_4b, -26.48685, -1500.056, 29.44234, 0.01710499, 0.02180499, 0.9107796, 0.4119618, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_12_strm_0.ymap
prop_dumpster_4b, 67.14893, -1395.622, 28.3692, 0.000231, -0.000865, 0.706966, 0.707247, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_2.ymap
prop_dumpster_4b, -12.60382, -1487.607, 29.29203, -0.035537, -0.014771, -0.4206701, 0.906397, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_2.ymap
prop_dumpster_4b, 144.6683, -1259.47, 28.2907, -0.0002549999, 0.0002189999, 0.4937539, 0.8696017, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_4.ymap
prop_dumpster_4b, -64.30269, 389.551, 111.4267, 0, 0, 0.184443, 0.9828432, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_14_strm_0.ymap
prop_dumpster_4b, -51.80604, 374.357, 111.4267, 0, 0, 0.9776001, -0.210471, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_14_strm_0.ymap
prop_dumpster_4b, -546.6154, -43.22355, 41.69065, -0.031485, -0.029518, 0.8410359, 0.539255, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_0.ymap
prop_dumpster_4b, -378.7328, 18.75843, 45.92646, -0.01612601, -0.01057501, 0.6918255, 0.7218073, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_strm_1.ymap
prop_dumpster_4b, -1914.575, -2994.507, 12.93563, 0.000343, -0.0007350001, 0.9063141, 0.4226041, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_1.ymap
prop_dumpster_4b, -1046.821, -2392.952, 13.08846, -0.002386, 0.000729, 0.215929, 0.9764059, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_10.ymap
prop_dumpster_4b, -1012.725, -2362.432, 12.93643, -0.0001910001, 0.0002150001, -0.5372873, 0.8433993, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_10.ymap
prop_dumpster_4b, -1020.24, -2363.209, 12.93635, -0.0005769998, -1.5E-05, -0.2588789, 0.9659096, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_10.ymap
prop_dumpster_4b, -1009.908, -2360.379, 12.9348, 0.001649, 0.0002919999, -0.4215299, 0.906813, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_10.ymap
prop_dumpster_4b, -645.1946, -2350.2, 12.93413, -0.000197, 0.0004209999, -0.4227279, 0.9062566, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_12.ymap
prop_dumpster_4b, -643.1013, -2347.694, 12.93642, 0.0007750001, 0.000274, -0.573366, 0.8192989, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_12.ymap
prop_dumpster_4b, -638.8735, -2342.028, 12.93432, -0.000218, 0.000492, -0.4002889, 0.9163888, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_12.ymap
prop_dumpster_4b, -700.2645, -2445.36, 12.93524, -0.0007270002, 0.0006210002, 0.2904221, 0.9568982, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_12.ymap
prop_dumpster_4b, -714.1605, -2451.923, 12.93439, -0.000465, 7.6E-05, 0.9861621, -0.165783, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_16.ymap
prop_dumpster_4b, -710.0596, -2454.287, 12.93522, -0.0003590001, -0.001192, 0.9576392, -0.2879681, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_16.ymap
prop_dumpster_4b, -727.9886, -2527.008, 12.93544, -0.001829999, 0.0004039999, 0.2158099, 0.9764336, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_16.ymap
prop_dumpster_4b, -705.3465, -2519.102, 12.93361, 9.9E-05, -0.000144, -0.537901, 0.843008, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_16.ymap
prop_dumpster_4b, -706.9664, -2522.036, 12.93596, -0.001065, -0.0003530001, -0.5736311, 0.819113, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_16.ymap
prop_dumpster_4b, -708.911, -2524.951, 12.93575, 8.500003E-05, 1.4E-05, -0.4228251, 0.9062113, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_16.ymap
prop_dumpster_4b, -1216.991, -3491.937, 12.9475, 0.0007380003, 7.400003E-05, 0.2564461, 0.9665583, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_01_a_strm_17.ymap
