ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_recyclebin_02b, -666.3171, 313.0506, 82.07594, 3.000001E-06, -1E-06, 0.045351, 0.9989711, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_11_strm_1.ymap
prop_recyclebin_02b, -686.3297, 314.6762, 82.07609, 0.0003289999, 1.3E-05, -0.04518399, 0.9989786, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_11_strm_1.ymap
prop_recyclebin_02b, -1791.949, 141.6678, 67.75219, 3E-06, -4E-06, 0.5131719, 0.8582858, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1781.414, 125.4388, 67.76637, -3.000001E-06, -6.000003E-06, 0.3657191, 0.9307253, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1706.91, 184.0179, 62.99808, 0.02337601, -0.01094601, 0.4984743, 0.8665202, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1690.315, 158.8144, 63.03382, 0.017449, -0.016469, 0.19401, 0.9807061, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -3148.869, 1118.829, 19.86694, 0, -1E-06, 0.314033, 0.949412, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_11_strm_1.ymap
prop_recyclebin_02b, -761.1971, 5575.765, 35.70705, -4.499999E-05, -1.3E-05, 0.7072198, 0.7069938, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -753.8131, 5569.157, 35.70777, -0.0009499996, -0.001062999, 0.7091296, 0.7050766, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -740.9969, 5569.303, 35.70713, -3.800001E-05, -0.000153, 0.7067412, 0.7074722, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -761.2877, 5594.898, 35.7034, 0, 0, 0.7070625, 0.7071512, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -748.5688, 5593.854, 40.65233, 0, 0, 0.7072808, 0.7069328, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -666.3171, 313.0506, 82.07594, 3.000001E-06, -1E-06, 0.045351, 0.9989711, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\apa_ss1_11_strm_1.ymap
prop_recyclebin_02b, -686.3297, 314.6762, 82.07609, 0.0003289999, 1.3E-05, -0.04518399, 0.9989786, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\apa_ss1_11_strm_1.ymap
prop_recyclebin_02b, -666.3171, 313.0506, 82.07594, 3.000001E-06, -1E-06, 0.045351, 0.9989711, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\hei_ss1_11_strm_1.ymap
prop_recyclebin_02b, -686.3297, 314.6762, 82.07609, 0.0003289999, 1.3E-05, -0.04518399, 0.9989786, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\hei_ss1_11_strm_1.ymap
prop_recyclebin_02b, -1791.949, 141.6678, 67.75219, 3E-06, -4E-06, 0.5131719, 0.8582858, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\hei_bh1_29_strm_0.ymap
prop_recyclebin_02b, -1781.414, 125.4388, 67.76637, -3.000001E-06, -6.000003E-06, 0.3657191, 0.9307253, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\hei_bh1_29_strm_0.ymap
prop_recyclebin_02b, -1706.91, 184.0179, 62.99808, 0.02337601, -0.01094601, 0.4984743, 0.8665202, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\hei_bh1_29_strm_0.ymap
prop_recyclebin_02b, -1690.315, 158.8144, 63.03382, 0.017449, -0.016469, 0.19401, 0.9807061, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\hei_bh1_29_strm_0.ymap
prop_recyclebin_02b, -3148.869, 1118.829, 19.86694, 0, -1E-06, 0.314033, 0.949412, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\hei_ch1_11_strm_1.ymap
prop_recyclebin_02b, -761.1971, 5575.765, 35.70705, -4.499999E-05, -1.3E-05, 0.7072198, 0.7069938, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_16_strm_0.ymap
prop_recyclebin_02b, -753.8131, 5569.157, 35.70777, -0.0009499996, -0.001062999, 0.7091296, 0.7050766, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_16_strm_0.ymap
prop_recyclebin_02b, -740.9969, 5569.303, 35.70713, -3.800001E-05, -0.000153, 0.7067412, 0.7074722, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_16_strm_0.ymap
prop_recyclebin_02b, -761.2877, 5594.898, 35.7034, 0, 0, 0.7070625, 0.7071512, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_16_strm_0.ymap
prop_recyclebin_02b, -748.5688, 5593.854, 40.65233, 0, 0, 0.7072808, 0.7069328, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_16_strm_0.ymap
prop_recyclebin_02b, -666.3171, 313.0506, 82.07594, 3.000001E-06, -1E-06, 0.045351, 0.9989711, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_11_strm_1.ymap
prop_recyclebin_02b, -686.3297, 314.6762, 82.07609, 0.0003289999, 1.3E-05, -0.04518399, 0.9989786, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_11_strm_1.ymap
prop_recyclebin_02b, -1791.949, 141.6678, 67.75219, 3E-06, -4E-06, 0.5131719, 0.8582858, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1781.414, 125.4388, 67.76637, -3.000001E-06, -6.000003E-06, 0.3657191, 0.9307253, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1706.91, 184.0179, 62.99808, 0.02337601, -0.01094601, 0.4984743, 0.8665202, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1690.315, 158.8144, 63.03382, 0.017449, -0.016469, 0.19401, 0.9807061, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -761.1971, 5575.765, 35.70705, -4.499999E-05, -1.3E-05, 0.7072198, 0.7069938, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -753.8131, 5569.157, 35.70777, -0.0009499996, -0.001062999, 0.7091296, 0.7050766, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -740.9969, 5569.303, 35.70713, -3.800001E-05, -0.000153, 0.7067412, 0.7074722, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -761.2877, 5594.898, 35.7034, 0, 0, 0.7070625, 0.7071512, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -748.5688, 5593.854, 40.65233, 0, 0, 0.7072808, 0.7069328, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -666.3171, 313.0506, 82.07594, 3.000001E-06, -1E-06, 0.045351, 0.9989711, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_11_strm_1.ymap
prop_recyclebin_02b, -686.3297, 314.6762, 82.07609, 0.0003289999, 1.3E-05, -0.04518399, 0.9989786, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_11_strm_1.ymap
prop_recyclebin_02b, -1791.949, 141.6678, 67.75219, 3E-06, -4E-06, 0.5131719, 0.8582858, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1781.414, 125.4388, 67.76637, -3.000001E-06, -6.000003E-06, 0.3657191, 0.9307253, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1706.91, 184.0179, 62.99808, 0.02337601, -0.01094601, 0.4984743, 0.8665202, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -1690.315, 158.8144, 63.03382, 0.017449, -0.016469, 0.19401, 0.9807061, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_29_strm_0.ymap
prop_recyclebin_02b, -761.1971, 5575.765, 35.70705, -4.499999E-05, -1.3E-05, 0.7072198, 0.7069938, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -753.8131, 5569.157, 35.70777, -0.0009499996, -0.001062999, 0.7091296, 0.7050766, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -740.9969, 5569.303, 35.70713, -3.800001E-05, -0.000153, 0.7067412, 0.7074722, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
prop_recyclebin_02b, -761.2877, 5594.898, 35.7034, 0, 0, 0.7070625, 0.7071512, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_16_strm_0.ymap
