ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_recyclebin_04_b, -321.4341, -1510.088, 26.72945, 0.002359, 0.001576, -0.02200699, 0.9997538, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, -320.267, -1510.262, 26.73355, 0.002289, 0.001533, -0.0009069998, 0.9999958, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, -319.1024, -1510.261, 26.74091, 0.001349, 0.001239, 0.04261, 0.9990901, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, -317.9389, -1510.26, 26.74416, 0.0004180002, 0.001447001, -0.001770001, 0.9999973, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, -1559.787, -430.6465, 41.14391, 0.0005149999, 0.000193, -0.5630369, 0.8264316, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_11_strm_0.ymap
prop_recyclebin_04_b, -1560.317, -431.9262, 41.14439, 0.0003980001, 0.000102, -0.5628381, 0.8265671, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_11_strm_0.ymap
prop_recyclebin_04_b, -1782.042, -494.4015, 37.77487, 0.001131, 0.000142, 0.385742, 0.922606, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_26_strm_2.ymap
prop_recyclebin_04_b, -3162.215, 1150.711, 20.08296, 0.007358002, -0.001104, -0.5503221, 0.8349193, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_11_strm_1.ymap
prop_recyclebin_04_b, 585.6418, 2744.221, 41.0817, 0.000102, -0.002825999, -0.03647099, 0.9993307, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_13_strm_1.ymap
prop_recyclebin_04_b, -1559.787, -430.6465, 41.14391, 0.0005149999, 0.000193, -0.5630369, 0.8264316, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\hei_sm_11_strm_0.ymap
prop_recyclebin_04_b, -1560.317, -431.9262, 41.14439, 0.0003980001, 0.000102, -0.5628381, 0.8265671, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\hei_sm_11_strm_0.ymap
prop_recyclebin_04_b, -1782.042, -494.4015, 37.77487, 0.001131, 0.000142, 0.385742, 0.922606, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\hei_sm_26_strm_2.ymap
prop_recyclebin_04_b, 585.6418, 2744.221, 41.0817, 0.000102, -0.002825999, -0.03647099, 0.9993307, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_13_strm_1.ymap
prop_recyclebin_04_b, -321.4341, -1510.088, 26.72945, 0.002359, 0.001576, -0.02200699, 0.9997538, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_09_strm_0.ymap
prop_recyclebin_04_b, -320.267, -1510.262, 26.73355, 0.002289, 0.001533, -0.0009069998, 0.9999958, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_09_strm_0.ymap
prop_recyclebin_04_b, -319.1024, -1510.261, 26.74091, 0.001349, 0.001239, 0.04261, 0.9990901, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_09_strm_0.ymap
prop_recyclebin_04_b, -317.9389, -1510.26, 26.74416, 0.0004180002, 0.001447001, -0.001770001, 0.9999973, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_09_strm_0.ymap
prop_recyclebin_04_b, -1559.787, -430.6465, 41.14391, 0.0005149999, 0.000193, -0.5630369, 0.8264316, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\hei_sm_11_strm_0.ymap
prop_recyclebin_04_b, -1560.317, -431.9262, 41.14439, 0.0003980001, 0.000102, -0.5628381, 0.8265671, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\hei_sm_11_strm_0.ymap
prop_recyclebin_04_b, -1782.042, -494.4015, 37.77487, 0.001131, 0.000142, 0.385742, 0.922606, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\hei_sm_26_strm_2.ymap
prop_recyclebin_04_b, -3162.215, 1150.711, 20.08296, 0.007358002, -0.001104, -0.5503221, 0.8349193, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\hei_ch1_11_strm_1.ymap
prop_recyclebin_04_b, 585.6418, 2744.221, 41.0817, 0.000102, -0.002825999, -0.03647099, 0.9993307, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\hei_cs4_13_strm_1.ymap
prop_recyclebin_04_b, -321.4341, -1510.088, 26.72945, 0.002359, 0.001576, -0.02200699, 0.9997538, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_09_strm_0.ymap
prop_recyclebin_04_b, -320.267, -1510.262, 26.73355, 0.002289, 0.001533, -0.0009069998, 0.9999958, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_09_strm_0.ymap
prop_recyclebin_04_b, -319.1024, -1510.261, 26.74091, 0.001349, 0.001239, 0.04261, 0.9990901, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_09_strm_0.ymap
prop_recyclebin_04_b, -317.9389, -1510.26, 26.74416, 0.0004180002, 0.001447001, -0.001770001, 0.9999973, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\lr_sc1_09_strm_0.ymap
prop_recyclebin_04_b, 585.6418, 2744.221, 41.0817, 0.000102, -0.002825999, -0.03647099, 0.9993307, update\x64\dlcpacks\mplowrider\dlc.rpf\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_13_strm_1.ymap
prop_recyclebin_04_b, -321.4341, -1510.088, 26.72945, 0.002359, 0.001576, -0.02200699, 0.9997538, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, -320.267, -1510.262, 26.73355, 0.002289, 0.001533, -0.0009069998, 0.9999958, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, -319.1024, -1510.261, 26.74091, 0.001349, 0.001239, 0.04261, 0.9990901, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, -317.9389, -1510.26, 26.74416, 0.0004180002, 0.001447001, -0.001770001, 0.9999973, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, 585.6418, 2744.221, 41.0817, 0.000102, -0.002825999, -0.03647099, 0.9993307, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_13_strm_1.ymap
prop_recyclebin_04_b, -321.4341, -1510.088, 26.72945, 0.002359, 0.001576, -0.02200699, 0.9997538, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
prop_recyclebin_04_b, -320.267, -1510.262, 26.73355, 0.002289, 0.001533, -0.0009069998, 0.9999958, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_09_strm_0.ymap
