ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_skid_trolley_2, 468.3611, -529.657, 28.01076, 0, 0, 0.8660254, 0.5000002, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_07_strm_0.ymap
prop_skid_trolley_2, 460.1257, -532.3975, 27.95382, 0, 0, 0.9762959, -0.21644, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_07_strm_0.ymap
prop_skid_trolley_2, 464.5396, -852.8188, 26.4281, 0.03290099, -0.02240599, 0.8527827, 0.5207468, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 452.8832, -863.4396, 27.34791, 0.1022931, -0.02356901, 0.9914705, -0.07724705, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 467.6154, -846.1873, 26.19771, -0.023161, -0.029818, -0.4919189, 0.8698219, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 460.98, -856.0551, 26.69284, 0.033489, -0.020273, 0.8537059, 0.5192819, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 468.634, -852.1793, 26.11521, 0.03162202, 0.02251901, 0.8321665, -0.5531654, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 469.999, -850.0707, 26.01159, 0.03329401, -0.02050501, 0.8427583, 0.5368702, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 451.8058, -839.9955, 27.42202, 0.023705, -0.032074, 0.7563779, 0.6529179, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 467.7507, -869.2932, 26.31771, 0.01781699, -0.003677998, 0.8612157, 0.5079138, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 452.4456, -886.905, 27.61556, 0.018979, 0.033425, 0.970028, -0.239934, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 414.5974, -916.0892, 28.92525, 1.800001E-05, -0.0003280001, 0.9977643, -0.06683102, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_17_strm_0.ymap
prop_skid_trolley_2, 258.9558, -1108.926, 29.17216, -0.023165, -0.035203, 0.815143, 0.577725, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_skid_trolley_2, 248.4286, -1072.917, 28.79747, -0.003657, -0.001394, 0.8417919, -0.5397879, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_24_strm_0.ymap
prop_skid_trolley_2, 337.4077, -1082.245, 28.95785, -0.006681001, -0.001071, 0.155929, 0.9877451, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_25_strm_0.ymap
prop_skid_trolley_2, 315.7085, -1074.681, 28.91427, 0.0002770002, -0.0005530004, 0.9891545, -0.1468781, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_25_strm_0.ymap
prop_skid_trolley_2, 364.6398, -1110.277, 28.95785, -0.005827, 0.003439001, 0.7503651, 0.660989, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_25_strm_0.ymap
