ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rub_carwreck_3, 824.8248, -771.8845, 25.17873, 0, 0, 0.9996573, -0.02617801, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_strm_3.ymap
prop_rub_carwreck_3, 823.036, -797.8403, 25.35741, 0, 0, 0.725374, 0.688355, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_strm_3.ymap
prop_rub_carwreck_3, 857.6581, -946.7446, 25.28558, -0.02655701, 0.02118101, 0.6755163, 0.7365622, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_strm_3.ymap
prop_rub_carwreck_3, 465.7382, -1324.197, 30.97891, 0, 0, 0.9396927, 0.3420199, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_5.ymap
prop_rub_carwreck_3, 483.7817, -1328.541, 30.0034, -0.006227997, -0.01006, 0.5083628, 0.8610617, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_5.ymap
prop_rub_carwreck_3, 260.7662, -1789.45, 26.12257, 0, 0, 0.427678, 0.9039311, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_7.ymap
prop_rub_carwreck_3, 279.0986, -1792.746, 26.17066, 0, 0, -0.4617487, 0.8870108, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_7.ymap
prop_rub_carwreck_3, 275.1978, -1789.502, 26.08079, -0.0009680004, 0.002076001, 0.9063054, 0.4226172, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_7.ymap
prop_rub_carwreck_3, 271.3808, -1786.352, 27.47695, -0.009088, 0.045791, 0.9051519, 0.422517, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_7.ymap
prop_rub_carwreck_3, 267.5501, -1782.916, 27.96395, 0, 0, 0.9063079, 0.422618, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_7.ymap
prop_rub_carwreck_3, 263.4742, -1779.77, 27.61914, 0.042136, 0.0417, 0.9026471, 0.4262791, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_7.ymap
prop_rub_carwreck_3, 255.1267, -1791.185, 26.08921, 0, 0, 0.3420199, 0.9396927, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_strm_7.ymap
prop_rub_carwreck_3, -1154.093, -2050.561, 15.83416, 0.08069605, -5.100054E-05, 0.9316415, -0.3543052, x64l.rpf\levels\gta5\_cityw\airport_01\airport_metadata.rpf\ap1_04_strm_2.ymap
