ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rub_generator, 983.3882, -1798.794, 30.32085, 0, 0, 0.9990482, -0.04361901, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_23_strm_0.ymap
prop_rub_generator, -3191.669, 1065.076, 19.84239, 0.0007959999, -0.001085, -0.5479059, 0.8365389, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_11_strm_1.ymap
prop_rub_generator, -182.299, 6539.564, 10.10071, 0, 0, 0.9208051, -0.3900231, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
prop_rub_generator, 1436.943, 6333.765, 22.9494, 0.010519, -0.010771, 0.723629, -0.6900249, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11_strm_2.ymap
prop_rub_generator, 782.0123, 4188.857, 39.69328, -0.03170402, 0.003950002, -0.0001250001, 0.9994895, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_6.ymap
prop_rub_generator, 1349.501, 4312.479, 37.1115, 0.014053, 0.016757, -0.608804, 0.7930191, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_6.ymap
prop_rub_generator, -272.8174, 6408.725, 30.12521, 0, 0, 0.5000499, 0.8659967, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_0.ymap
prop_rub_generator, 2300.842, 4751.841, 36.06461, -0.01380299, -0.01128099, 0.7741627, 0.6327357, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_03_strm_0.ymap
prop_rub_generator, 2347.685, 4934.49, 41.37372, 0, 0, 0.384769, 0.9230129, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_03_strm_3.ymap
prop_rub_generator, 2856.828, 4552.469, 46.03485, 0, 0, 0.9944009, 0.105674, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_05_strm_0.ymap
