ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rub_wreckage_7, 755.0962, -3249.918, 4.874748, 0, 0, -0.7071065, 0.7071072, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_06_strm_1.ymap
prop_rub_wreckage_7, -503.8668, -1646.774, 18.36905, 0.6830127, -0.1830129, -0.6830127, 0.1830129, x64m.rpf\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_strm_1.ymap
prop_rub_wreckage_7, -595.4655, -1697.687, 14.32614, 0, 0, 0.9659259, 0.258819, x64m.rpf\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_strm_1.ymap
prop_rub_wreckage_7, -578.3547, -1713.859, 24.74772, 0.6272112, 0.3265061, 0.3265061, -0.6272112, x64m.rpf\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_strm_1.ymap
prop_rub_wreckage_7, -613.83, -1668.42, 18.56894, 0, 0, 0.9659259, -0.258819, x64m.rpf\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_strm_1.ymap
prop_rub_wreckage_7, 119.664, 6285.826, 30.30112, -0.008143, 0.015922, 0.964935, 0.261879, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_roads_pb_strm_4.ymap
prop_rub_wreckage_7, 2837.246, 4393.508, 47.97859, 0, 0, -0.2142201, 0.9767854, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_05_strm_0.ymap
prop_rub_wreckage_7, 755.0962, -3249.918, 4.874748, 0, 0, -0.7071065, 0.7071072, update\update.rpf\dlc_patch\mpheist\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_06_strm_1.ymap
prop_rub_wreckage_7, 755.0962, -3249.918, 4.874748, 0, 0, -0.7071065, 0.7071072, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\port_01\port_metadata.rpf\hei_po1_06_strm_1.ymap
prop_rub_wreckage_7, 119.664, 6285.826, 30.30112, -0.008143, 0.015922, 0.964935, 0.261879, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_roads_pb_strm_4.ymap
prop_rub_wreckage_7, 2837.246, 4393.508, 47.97859, 0, 0, -0.2142201, 0.9767854, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_02\country_02_metadata.rpf\hei_cs2_05_strm_0.ymap
prop_rub_wreckage_7, -503.8668, -1646.774, 18.36905, 0.6830127, -0.1830129, -0.6830127, 0.1830129, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_strm_1.ymap
prop_rub_wreckage_7, -595.4655, -1697.687, 14.32614, 0, 0, 0.9659259, 0.258819, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_strm_1.ymap
prop_rub_wreckage_7, -578.3547, -1713.859, 24.74772, 0.6272112, 0.3265061, 0.3265061, -0.6272112, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_strm_1.ymap
prop_rub_wreckage_7, -613.83, -1668.42, 18.56894, 0, 0, 0.9659259, -0.258819, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_cityw\sanpedro_01\sanpedro_metadata.rpf\sp1_rd_strm_1.ymap
