ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubmede, -3010.088, 253.1951, 14.99963, 0.06751897, -0.03896498, 0.104027, 0.9915147, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_4.ymap
cs_x_rubmede, -1914.833, 2230.175, 82.82462, 0.085095, 0, 0, 0.9963729, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_3.ymap
cs_x_rubmede, -261.4171, 1073.571, 237.2167, -0.2515608, 0.008614996, -0.1185929, 0.9605096, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_long_3.ymap
cs_x_rubmede, -212.5791, 1075.478, 240.5667, -0.2387761, 0.02194501, 0.08885203, 0.9667522, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_long_3.ymap
cs_x_rubmede, -13.61285, 1065.021, 220.8009, -0.1981889, 0.05170198, -0.04062999, 0.9779556, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_long_3.ymap
cs_x_rubmede, 2016.063, 2008.339, 68.52817, -0.1652751, 0.1918631, 0.7329574, 0.6313844, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_0.ymap
cs_x_rubmede, 2026.01, 2014.753, 73.60534, -0.133786, 0.215009, 0.8213779, 0.511088, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_0.ymap
cs_x_rubmede, 2094.561, 1972.955, 90.27413, -0.08481901, 0.06325501, 0.5944661, 0.797129, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_1.ymap
cs_x_rubmede, 1454.85, -75.37225, 96.4868, -0.07641099, 0.072125, 0.9422279, 0.318066, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_1.ymap
cs_x_rubmede, 1452.67, -56.95874, 96.35117, -0.1092311, 0.007587004, 0.6382133, 0.7620333, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_1.ymap
cs_x_rubmede, 1592.593, -13.79425, 133.6273, 0.030409, -0.122929, 0.972572, -0.195109, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_4.ymap
cs_x_rubmede, 1616.235, -21.25952, 123.2171, -0.04801898, -0.02846999, 0.9677857, -0.2455089, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_4.ymap
cs_x_rubmede, 1638.782, 85.86969, 183.8654, -0.117098, 0.09716598, -0.3167049, 0.9362397, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_2.ymap
cs_x_rubmede, 1589.45, 18.99878, 159.9391, -0.141391, -0.241928, -0.518548, 0.8078288, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_strm_1.ymap
cs_x_rubmede, 2009.166, -2190.692, 84.53244, 0.2756439, -0.09522297, 0.8995657, 0.3251689, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_1.ymap
cs_x_rubmede, 1964.11, -2237.388, 104.0738, 0.216251, -0.04029099, 0.3362799, 0.9157118, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_2.ymap
cs_x_rubmede, 1819.364, -2541.409, 83.50529, 0.19908, -0.148617, 0.9545068, 0.164915, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_0.ymap
cs_x_rubmede, 1823.271, -2555.939, 77.12502, 0.1831979, 0.03797099, 0.9207007, -0.3425009, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_0.ymap
cs_x_rubmede, 1712.769, -2172.983, 111.5582, -0.02859101, 0.04734401, 0.9861022, 0.156664, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmede, 1719.387, -2169.431, 111.8996, -0.07431401, -0.029304, 0.8311601, -0.5502651, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmede, 1714.276, -2184.182, 113.0663, -0.1537431, 0.125129, 0.9626263, 0.1845441, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmede, 1763.118, -2126.728, 111.6579, 0.025847, 0.03256301, 0.6042321, 0.7957231, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmede, 1773.242, -2114.965, 112.4608, 0.101287, 0.368473, 0.4298159, 0.8180629, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmede, 1746.485, -2058.656, 116.2062, -0.08341699, -0.305339, 0.7010981, -0.6389611, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmede, 1704.916, -2182.873, 111.7762, -0.07279599, 0.02654099, 0.8775378, -0.4732059, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmede, 2107.888, -2165.19, 73.07851, -0.234614, -0.02619, -0.012782, 0.9716517, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_3.ymap
cs_x_rubmede, 2119.237, -2168.131, 70.37791, -0.218936, -0.06452699, 0.11445, 0.9668529, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_3.ymap
cs_x_rubmede, 2005.049, -2196.005, 87.18566, 0.3296351, -0.01602001, 0.9437615, 0.01996001, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_3.ymap
cs_x_rubmede, 1951.102, -2134.63, 115.5106, -0.2048411, -0.1877891, -0.5522112, 0.786027, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_3.ymap
cs_x_rubmede, 2054.179, -2228.641, 75.46035, -0.1953901, -0.111695, -0.6665771, 0.710649, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_3.ymap
cs_x_rubmede, 2066.814, -2233.048, 71.49952, -0.136118, -0.071591, -0.295203, 0.942975, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_3.ymap
cs_x_rubmede, 1978.108, -2237.316, 102.2177, 0.120529, -0.01795799, 0.707121, 0.6965129, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_3.ymap
cs_x_rubmede, 1955.297, -2435.74, 55.18057, -0.08931001, -0.161229, 0.313444, 0.9315481, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_5.ymap
cs_x_rubmede, 1964.748, -2444.091, 49.16842, -0.03201201, -0.2524241, 0.2959171, 0.9207011, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_5.ymap
cs_x_rubmede, 1966.528, -2552.093, 37.99749, 0.106758, -0.3785171, 0.9073571, 0.148428, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_5.ymap
cs_x_rubmede, 1971.15, -2553.518, 34.07618, 0.138953, -0.3609129, 0.9221618, -0.007195998, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_5.ymap
cs_x_rubmede, 1991.366, -1025.394, 87.49355, -0.029291, 0.196931, 0.7899012, 0.5800141, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 1952.13, -1130.049, 102.8946, 0.06165302, 0.145968, 0.4886842, 0.8579511, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 1952.319, -1143.201, 106.1047, -0.2627009, 0.145751, 0.9387746, 0.1686629, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 1941.525, -1176.103, 110.4507, 0.101171, 0.127407, 0.1982931, 0.9665463, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 1943.64, -1179.257, 112.1702, 0.2396441, -0.004548001, -0.2993221, 0.9235563, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2031.959, -1132.147, 122.6807, 0.05340904, 0.1713901, 0.7811245, 0.5980114, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2033.517, -1139.961, 125.7856, 0.09298297, 0.2320509, 0.3027649, 0.9196956, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2111.073, -1053.795, 140.61, 0.2569481, -0.125836, -0.4208621, 0.860824, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2083.134, -1071.123, 129.9092, -0.1424839, 0.113803, 0.9810447, 0.06556398, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2104.444, -1068.679, 145.2116, 0.108138, 0.04104, -0.5758589, 0.8093259, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2159.976, -1039.783, 154.4317, -0.177319, 0.174825, 0.8928819, 0.375175, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2333.619, -1049.115, 82.70271, -0.2001601, -0.2582271, 0.1135521, 0.9382753, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2394.718, -1050.166, 74.6029, -0.1846571, 0.06027502, -0.4727822, 0.8595032, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2386.743, -1062.884, 64.84381, -0.2609579, 0.003515998, 0.05436897, 0.9638115, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2375.712, -1056.951, 68.21848, -0.1621339, -0.06887197, -0.1570979, 0.9717456, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2272.896, -1176.742, 101.1325, 0.3133, 0.142183, 0.8912201, -0.295557, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2298.625, -1140.443, 74.36224, -0.019341, -0.07479699, -0.087515, 0.9931629, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2285.664, -1161.432, 88.95572, 0.09407295, 0.1281919, 0.9789425, -0.1280179, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_0.ymap
cs_x_rubmede, 2285.082, -730.61, 67.15527, 0.08540802, 0.2103441, 0.4000781, 0.887918, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_1.ymap
cs_x_rubmede, 2277.906, -742.5988, 67.9203, 0.09337805, 0.1444141, 0.07239904, 0.9824376, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_1.ymap
cs_x_rubmede, 2297.152, -729.7921, 67.90822, -0.009474004, 0.2326161, 0.9633095, -0.1335481, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_1.ymap
