ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubsmld, -1922.456, 2159.528, 112.8157, 0, 0, 0.9884429, 0.151594, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubsmld, -1928.649, 2121.081, 123.3027, 0, -0.2003841, 0, 0.9797174, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubsmld, -1911.381, 2229.674, 82.6694, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_3.ymap
cs_x_rubsmld, 378.3977, 813.9395, 189.6361, 0.003417, -0.033036, 0.8250979, 0.5640129, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmld, 359.8207, 823.8075, 191.5032, -0.05553698, 0.05697698, -0.128675, 0.9884898, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmld, 299.5372, 773.5862, 184.0287, -0.02013999, -0.05779998, 0.9015347, -0.4283559, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmld, 320.8065, 915.2847, 202.5506, -0.102659, 0.007540002, -0.5895213, 0.8011672, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmld, 312.6282, 815.1353, 189.8414, -0.05985603, -0.03021101, 0.2260931, 0.9717955, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmld, 423.2669, 871.0941, 196.9371, -0.04212601, 0.01990401, -0.6776003, 0.7339531, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmld, 402.5181, 835.2906, 193.7869, -0.005438, -0.032764, 0.646647, 0.762066, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmld, 394.1363, 746.5598, 188.1593, 0.05969302, 0.09101804, 0.3959872, 0.9117821, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmld, 417.1709, 781.2704, 190.0638, 0.003529, -0.09012299, 0.9222109, 0.376022, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmld, 472.499, 855.0749, 196.876, -0.009520999, -0.002018, 0.8958169, -0.444317, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmld, 488.7473, 824.6083, 200.3907, -0.07363296, 0.02003099, 0.8612336, -0.5024478, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmld, 485.0296, 832.03, 199.3705, -0.04751602, 0.05131302, 0.9965743, -0.04414501, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmld, 298.9771, 424.8927, 121.2528, -0.4029771, 0.08154203, 0.1807911, 0.8934623, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_0.ymap
cs_x_rubsmld, 352.2511, 396.5359, 116.0993, -0.3091661, 0.04978001, 0.15097, 0.937628, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_0.ymap
cs_x_rubsmld, 466.2029, 302.5631, 105.2042, -0.06251697, 0.1864419, -0.6501588, 0.7339106, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmld, 507.1165, 343.4799, 134.7996, 0.02982101, -0.108633, 0.9142313, -0.3892182, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmld, 485.0297, 334.576, 133.7383, -0.1459681, 0.117286, -0.02087801, 0.9820903, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmld, 669.6978, 323.1318, 109.3658, -0.01394599, -0.02960498, 0.8965896, -0.4416518, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmld, 668.5166, 322.1791, 109.2663, -0.02421399, -0.02201399, 0.9973536, -0.06492298, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmld, 452.0872, 320.7444, 105.8381, -0.1581711, 0.05266702, 0.9623213, 0.2148161, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmld, 414.3421, 371.0988, 108.2473, -0.134393, 0.019976, 0.14566, 0.9799606, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmld, 293.0962, 988.2471, 209.648, 0.01452, 0.003158, 0.8245248, 0.5656309, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_2.ymap
cs_x_rubsmld, 469.5994, 861.8442, 197.0708, -0.001413001, 0.003099001, 0.9098693, 0.4148812, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmld, 677.1492, 690.5581, 130.6104, -0.2619851, 0.03530401, 0.1287961, 0.9557871, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmld, 641.2101, 763.4052, 203.1944, 0, 0, 0.02617701, 0.9996573, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmld, 588.004, 763.8761, 200.6158, -0.04184501, -0.03114501, 0.9161782, 0.3973621, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmld, 602.9493, 751.2482, 200.336, -0.007555996, -0.02596899, 0.7080386, 0.7056556, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmld, 381.3584, 744.1495, 186.5903, 0.02445102, 0.1330581, 0.5245563, 0.8405584, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
