ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubweee, 1170.303, -2619.673, 22.97523, -0.2282029, -0.004860999, 0.014817, 0.9734887, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
cs_x_rubweee, 1170.279, -2605.633, 29.76748, -0.137691, -0.132326, 0.6053911, 0.7726789, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
cs_x_rubweee, 2505.729, 647.5704, 105.2006, 0.04086399, 0.03499899, 0.9839658, -0.170049, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2476.361, 735.8652, 101.4888, 0.15963, -0.04684598, 0.9191307, -0.3571029, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2473.536, 738.4245, 102.8677, 0.179277, -0.070304, 0.930106, -0.312762, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2410.348, 957.2461, 87.74201, 0.133597, -0.089679, 0.1552, 0.974691, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2286.774, 1107.427, 62.02401, -0.022413, -0.09981398, -0.6750828, 0.7306148, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2289.299, 1114.346, 61.28642, 0.08129998, -0.05890898, 0.6834019, 0.7231058, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2484.067, 134.4899, 103.2623, -0.127842, 0.014781, -0.422708, 0.8970819, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2475.396, 107.2241, 101.4068, 0.03061099, -0.110936, 0.4049789, 0.9070547, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2478.999, 98.27435, 100.1496, 0.06297002, -0.07962003, 0.7438912, 0.6605462, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2496.117, 235.0563, 106.683, -0.05135399, -0.05794399, -0.06947199, 0.9945747, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2505.808, 272.9475, 107.5679, 0.111608, -0.01950701, 0.9544533, -0.2760111, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 2506.926, 280.4363, 108.3484, 0.07009599, -0.208918, 0.7411838, 0.6341028, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_rubweee, 1818.519, -1670.947, 117.6966, 0.141076, 0.266937, -0.066486, 0.9510109, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_0.ymap
cs_x_rubweee, 1818.478, -1675.568, 118.4204, 0.1735071, 0.03839101, -0.5716832, 0.8009992, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_0.ymap
cs_x_rubweee, 1807.291, -1688.967, 118.1137, 0.108654, 0.08225998, -0.297069, 0.9450808, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_0.ymap
cs_x_rubweee, 1824.486, -1639.716, 117.1711, -0.127267, 0.0008409998, 0.8104081, 0.571875, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_1.ymap
cs_x_rubweee, 1823.541, -1661.873, 117.9458, 0.1289599, 0.1851299, -0.2610119, 0.9385995, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_1.ymap
cs_x_rubweee, 1825.528, -1657.087, 118.2016, 0.1229241, 0.1580971, -0.3319662, 0.9217882, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_1.ymap
cs_x_rubweee, 2814.801, -1429.653, 1.250282, -0.05904103, 0.1392011, 0.7946365, 0.5879543, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_3.ymap
cs_x_rubweee, 2839.173, -1339.66, 9.785851, -0.05350199, 0.166142, 0.8698098, 0.4614819, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_3.ymap
cs_x_rubweee, 2827.383, -1379.772, 1.528343, -0.199187, 0.137309, 0.5859771, 0.7733703, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_3.ymap
cs_x_rubweee, 2792.217, -1485.974, 4.368446, 0.007847, 0.30712, 0.9254761, 0.221607, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_4.ymap
cs_x_rubweee, 2802.127, -1467.271, 3.563545, -0.010747, 0.186016, 0.8947499, 0.4058389, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_4.ymap
cs_x_rubweee, 709.2618, 6492.539, 27.56781, -0.007305999, -0.05556298, -0.6718558, 0.7385588, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_01_strm_0.ymap
cs_x_rubweee, 713.574, 6489.697, 28.5119, 0.7975447, 0.5692297, 0.1687069, 0.106949, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_01_strm_0.ymap
cs_x_rubweee, 610.7065, 5675.024, 746.6112, 0.1308219, 0.1168799, 0.7119596, 0.6799546, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_strm_2.ymap
