ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_coastboulder_01_, 1216.094, -2653.552, 5.615524, -0.1596399, -0.07570696, 0.7297676, 0.6604717, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
csx_coastboulder_01_, 1227.303, -2668.251, 2.471603, -0.09102801, -0.001585, -0.017339, 0.9956961, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
csx_coastboulder_01_, -940.4298, -1779.578, 4.576965, 0.139547, 0.163475, 0.106539, 0.9707997, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_01_, -968.894, -1826.499, 8.751526, -0.049172, 0.017708, 0.909935, -0.411445, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_01_, -962.0122, -1816.598, 8.628601, 0.1202831, 0.08247706, -0.3084842, 0.9399825, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_0.ymap
csx_coastboulder_01_, 1501.48, -2718.172, 2.020935, -0.04707501, -0.003642, -0.07705601, 0.9959081, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_0.ymap
csx_coastboulder_01_, 1492.839, -2716.831, 2.503418, -0.1259051, 0.004914002, 0.03869002, 0.9912754, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_0.ymap
csx_coastboulder_01_, 1323.219, -2710.395, 1.535461, -0.09980199, -0.00576, -0.05732699, 0.9933378, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_0.ymap
csx_coastboulder_01_, 1578.577, -2714.119, 1.318344, 0.1198191, -0.08123304, 0.1834071, 0.9723201, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_0.ymap
csx_coastboulder_01_, 1235.944, -2669.592, 1.851212, -0.09514203, -0.01904501, -0.1953491, 0.9759222, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_0.ymap
csx_coastboulder_01_, 2587.078, -2134.026, -2.476181, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_1.ymap
csx_coastboulder_01_, 2372.374, -2100.009, 4.606018, -0.4681593, 0.04087403, 0.5708073, 0.673302, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_1.ymap
csx_coastboulder_01_, 2248.08, -2222.923, 1.412628, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_2.ymap
csx_coastboulder_01_, 2166.476, -2309.641, 1.391922, -0.09587999, -0.05479199, -0.4931269, 0.8629199, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_2.ymap
csx_coastboulder_01_, 2117.685, -2391.398, 2.078217, -0.2341421, -0.03234202, -0.1329531, 0.9625253, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_2.ymap
csx_coastboulder_01_, 2103.559, -2406.133, 1.09169, 0.03182501, 0.08007003, 0.9258294, -0.3679891, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_2.ymap
csx_coastboulder_01_, 1903.494, -2664.862, 0.908157, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_3.ymap
csx_coastboulder_01_, 1886.579, -2663.324, 0.995743, 0, 0, 0.3883521, 0.9215111, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_long_3.ymap
csx_coastboulder_01_, 2761.011, -871.5856, 0.000519, 0, 0, 0.9285921, 0.371102, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
csx_coastboulder_01_, 2651.715, -1011.664, 0.937378, 0, 0, 0.8566324, 0.5159273, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
csx_coastboulder_01_, 2635.386, -1143.576, 2.02478, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_2.ymap
csx_coastboulder_01_, 2506.191, -1198.612, 2.256638, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_2.ymap
csx_coastboulder_01_, 2496.152, -1503.151, -0.089096, 0.000321, -0.024709, -0.012999, 0.9996101, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_4.ymap
csx_coastboulder_01_, 2496.675, -1427.61, 0.446861, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_4.ymap
csx_coastboulder_01_, 2545.619, -1549.978, -1.724869, 0.06187095, 0.1153359, 0.8736334, -0.4686517, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_4.ymap
csx_coastboulder_01_, 2631.351, -1798.397, 0.452034, -0.062002, -0.043747, -0.574857, 0.8147278, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_6.ymap
csx_coastboulder_01_, -1704.93, 4983.905, 8.122576, -0.04873899, 0.03375, 0.5682989, 0.8206838, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
