ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_coastsmalrock_05_, 1200.914, -2647.244, 6.93466, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
csx_coastsmalrock_05_, 1231.657, -2669.304, 1.957993, -0.04638299, 0.001153, 0.024819, 0.9986147, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
csx_coastsmalrock_05_, 1703.232, -59.16473, 161.7274, 0.125429, 0.1707679, 0.8948537, 0.3928649, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
csx_coastsmalrock_05_, 1704.217, -61.38556, 164.1072, 0.3795999, 0.246773, 0.5486069, 0.7028779, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
csx_coastsmalrock_05_, 1814.237, 68.02942, 143.2992, 1.399717E-05, -0.115904, 0.8034948, 0.5839199, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 1951.545, 38.73492, 154.9239, 0.185049, 0.08242901, -0.203774, 0.9578301, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 1950.073, 37.5423, 154.9667, 0.134205, 0.151746, 0.211779, 0.9560919, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 1950.227, 37.50079, 155.0201, 0.128827, 0.156337, 0.245017, 0.9481187, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 1955.131, 55.32245, 150.2056, 0.0005220002, 0.125603, 0.9593349, 0.252785, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 2000.946, 61.67438, 155.6243, 0.033137, 0.203245, 0.338859, 0.9180239, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 1998.786, 56.03156, 156.0208, -0.06785904, 0.1944271, 0.7358384, 0.6450853, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 2024.804, 85.01001, 155.5684, 0.139049, 0.112875, 0.152744, 0.9719022, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 2005.308, 62.3573, 157.2457, -0.215308, -0.010073, 0.8596089, -0.4632639, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
csx_coastsmalrock_05_, 1885.24, -9.277039, 154.5143, 0.08834597, 0.05759698, -0.4218659, 0.9005036, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
