ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_biga_, 455.4482, 4218.833, 30.72302, -0.145803, -0.256718, 0.954446, -0.043246, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_biga_, 530.5756, 4151.538, 29.87299, 0.001645, -0.193011, 0.9808537, -0.025884, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_biga_, 496.5313, 4166.118, 29.20851, -0.103631, 0.2751139, -0.4939479, 0.8182839, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_biga_, 297.0299, 4237.202, 28.29803, 0.105305, -0.1270909, 0.7403296, -0.6516677, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_biga_, 392.6015, 4275.315, 24.97075, 0.09997404, -0.06307002, 0.7904603, -0.6009992, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_biga_, 478.5788, 4187.941, 29.39984, -0.122833, 0.003350001, 0.9468123, 0.2974011, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_biga_, 313.5946, 4377.43, 52.28514, -0.083652, -0.025811, 0.510855, 0.8551978, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_biga_, 331.2908, 4368.032, 53.41624, -0.1933169, 0.09407996, 0.5311937, 0.8195186, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_biga_, 669.194, 4178.022, 30.78326, -0.1797161, 0.04435902, 0.1174651, 0.9756722, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_biga_, 737.4611, 4148.733, 31.35197, -0.1406791, -0.04627602, 0.1340771, 0.9798425, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_biga_, 597.886, 4152.893, 27.48563, 0.09664998, -0.06226799, 0.8867269, -0.4477689, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_biga_, 676.1062, 4191.702, 40.17125, -0.385189, -0.033986, 0.238028, 0.8909641, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_biga_, 497.7892, 4159.714, 28.22499, -0.120754, 0.011481, 0.329669, 0.9362719, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_biga_, 1455.663, 4351.606, 35.77722, -0.04871802, -0.01779001, 0.4832402, 0.8739502, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_critical_3.ymap
csx_rvrbldr_biga_, 1483.567, 4362.754, 36.19897, -0.08408697, -0.08592797, 0.2465429, 0.9616457, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_long_18.ymap
csx_rvrbldr_biga_, 1429.224, 4340.872, 35.09705, -0.247763, 0.270438, -0.5662661, 0.7381189, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_long_18.ymap
