ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_bigb_, 298.4144, 4396.012, 49.88744, 0.12293, 0.45798, -0.343654, 0.8105828, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_bigb_, 660.4607, 4190.961, 37.36687, -0.07424296, 0.05108097, 0.1132469, 0.9894715, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_5.ymap
csx_rvrbldr_bigb_, -1583.274, 4348.828, -0.245148, 0.025929, 0.010333, -0.370059, 0.9285889, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_bigb_, -1691.237, 4463.641, 0.16452, 0.06604802, -0.03289401, 0.121441, 0.9898524, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_bigb_, -1267.972, 4363.01, 4.393402, 0.02169201, 0.01756501, -0.6290703, 0.7768472, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
csx_rvrbldr_bigb_, -1382.086, 4307.712, -0.245148, 0.02169201, 0.01756501, -0.6290703, 0.7768472, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
csx_rvrbldr_bigb_, -799.9193, 4430, 14.35648, 0.02711601, 0.006617002, -0.2369641, 0.9711174, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14b_strm_0.ymap
csx_rvrbldr_bigb_, 298.4144, 4396.012, 49.88744, 0.12293, 0.45798, -0.343654, 0.8105828, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_strm_4.ymap
csx_rvrbldr_bigb_, 660.4607, 4190.961, 37.36687, -0.07424296, 0.05108097, 0.1132469, 0.9894715, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_12_strm_5.ymap
csx_rvrbldr_bigb_, -1583.274, 4348.828, -0.245148, 0.025929, 0.010333, -0.370059, 0.9285889, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_1.ymap
csx_rvrbldr_bigb_, -1691.237, 4463.641, 0.16452, 0.06604802, -0.03289401, 0.121441, 0.9898524, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_1.ymap
csx_rvrbldr_bigb_, -1267.972, 4363.01, 4.393402, 0.02169201, 0.01756501, -0.6290703, 0.7768472, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_4.ymap
csx_rvrbldr_bigb_, -1382.086, 4307.712, -0.245148, 0.02169201, 0.01756501, -0.6290703, 0.7768472, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_4.ymap
csx_rvrbldr_bigb_, -799.9193, 4430, 14.35648, 0.02711601, 0.006617002, -0.2369641, 0.9711174, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14b_strm_0.ymap
csx_rvrbldr_bigb_, 298.4144, 4396.012, 49.88744, 0.12293, 0.45798, -0.343654, 0.8105828, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_bigb_, 660.4607, 4190.961, 37.36687, -0.07424296, 0.05108097, 0.1132469, 0.9894715, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_5.ymap
csx_rvrbldr_bigb_, -1583.274, 4348.828, -0.245148, 0.025929, 0.010333, -0.370059, 0.9285889, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_bigb_, -1691.237, 4463.641, 0.16452, 0.06604802, -0.03289401, 0.121441, 0.9898524, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_bigb_, -1267.972, 4363.01, 4.393402, 0.02169201, 0.01756501, -0.6290703, 0.7768472, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
csx_rvrbldr_bigb_, -1382.086, 4307.712, -0.245148, 0.02169201, 0.01756501, -0.6290703, 0.7768472, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
csx_rvrbldr_bigb_, -799.9193, 4430, 14.35648, 0.02711601, 0.006617002, -0.2369641, 0.9711174, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14b_strm_0.ymap
csx_rvrbldr_bigb_, 298.4144, 4396.012, 49.88744, 0.12293, 0.45798, -0.343654, 0.8105828, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_bigb_, 660.4607, 4190.961, 37.36687, -0.07424296, 0.05108097, 0.1132469, 0.9894715, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_5.ymap
csx_rvrbldr_bigb_, -1583.274, 4348.828, -0.245148, 0.025929, 0.010333, -0.370059, 0.9285889, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_bigb_, -1691.237, 4463.641, 0.16452, 0.06604802, -0.03289401, 0.121441, 0.9898524, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_bigb_, -1267.972, 4363.01, 4.393402, 0.02169201, 0.01756501, -0.6290703, 0.7768472, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
csx_rvrbldr_bigb_, -1382.086, 4307.712, -0.245148, 0.02169201, 0.01756501, -0.6290703, 0.7768472, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
csx_rvrbldr_bigb_, -799.9193, 4430, 14.35648, 0.02711601, 0.006617002, -0.2369641, 0.9711174, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14b_strm_0.ymap
