ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_smld_, -11.37448, 4405.041, 34.86577, 0.598151, 0.36255, 0.5648699, -0.4378299, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, -12.84784, 4411.198, 34.29271, 0.1817031, -0.1478001, 0.9252564, 0.2983952, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, 37.34241, 4394.916, 32.81592, -0.08971703, 0.4058381, 0.8571792, -0.3041221, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, 9.427887, 4373.518, 34.09624, 0.266622, 0.152678, -0.322308, 0.895388, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, 5.267563, 4373.423, 31.99767, 0.14185, 0.1922509, -0.09439698, 0.9664406, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, 71.78671, 4375.352, 31.81659, -0.281623, -0.181567, 0.825564, 0.454055, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, 71.69049, 4374.516, 31.13406, -0.001627003, -0.37658, 0.837889, -0.395129, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, -35.42589, 4359.976, 31.2587, -0.3829202, -0.09324805, -0.3396151, 0.8540132, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, -39.92499, 4360.948, 35.88347, 0.2047401, -0.2919482, 0.7357924, 0.5757234, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smld_, 0.015961, 4324.618, 33.18599, -0.4353943, 0.4068013, 0.2086051, 0.7755182, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
