ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_seabed_bldr3_, -1906.263, -1192.609, -27.59607, -0.09541102, 0.2915181, 0.08336602, 0.9481372, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr3_, -1920.006, -1118.06, -32.79122, -0.030357, -0.07934298, 0.7470928, -0.6592688, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr3_, -2002.721, -1021.302, -17.21089, -0.02304399, -0.03580498, 0.9585065, -0.2818728, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr3_, -1770.065, -1207.9, -10.04097, -0.041536, -0.000785, -0.01889, 0.9989581, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr3_, -1704.112, -1268.224, -11.95815, -0.05624398, 0.04222898, 0.5989327, 0.7977048, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr3_, -1771.173, -1313.748, -30.48608, -0.08617601, -0.019417, -0.218951, 0.9717289, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr3_, -1815.043, -1289.955, -30.13968, -0.08119298, 0.015839, 0.190812, 0.9781348, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr3_, -1800.089, -1265.932, -22.64161, -0.011487, 0.014246, 0.7783272, 0.6275922, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr3_, 272.5397, -2279.171, -7.198608, -0.04237002, 0.04916903, 0.9958916, 0.06314503, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_1.ymap
csx_seabed_bldr3_, 268.9529, -2298.349, -15.14462, 0.178767, -0.08016601, 0.6990331, -0.687727, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_1.ymap
csx_seabed_bldr3_, -2820.031, -364.1084, -39.75633, -0.08413, 0.008836004, 0.670854, 0.7367489, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_sea_long_0.ymap
csx_seabed_bldr3_, -2885.314, -420.7114, -40.00982, 0.02929999, 0.03611999, 0.9557076, 0.2906199, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_sea_long_0.ymap
csx_seabed_bldr3_, 197.4556, 836.0337, 187.2936, 0.1237549, 0.02031299, -0.002533999, 0.9921017, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr3_, 99.66734, 855.7792, 186.9587, -0.038982, 0.005455, 0.000213, 0.999225, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr3_, 47.85493, 934.6047, 189.4052, 0.04355999, -0.021736, 0.938983, -0.340501, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr3_, 64.15769, 884.0248, 188.4252, -0.002967, -0.012586, 0.9237921, 0.3826761, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr3_, -132.323, 740.4363, 187.1305, -0.118852, 0.158769, 0.019256, 0.9799469, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr3_, -65.86539, 689.9882, 190.0405, 0.10811, -0.034756, 0.003782, 0.993524, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
