ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_1_b, 1106.424, -2389.04, 29.11502, 0, 0, -0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1099.298, -2378.008, 28.91844, 0, 0, -0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1104.712, -2186.763, 29.76066, 0, 0, 0.4226179, 0.9063079, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1187.78, -2370.213, 39.37148, 0, 0, -0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1188.956, -2187.48, 38.92191, 0, 0, 0.4226179, 0.9063079, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1171.036, -2452.654, 34.13483, 0, 0, -0.209578, 0.977792, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1150.953, -2423.298, 33.07413, 0, 0, -0.2681461, 0.9633783, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1144.891, -2395.723, 31.85093, 0, 0, 0.9402181, -0.340573, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1048.022, -2441.912, 26.82728, 0, 0, -0.5091512, 0.8606771, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_07_long_0.ymap
prop_rock_1_b, 1038.13, -1787.115, 34.02291, 0, 0, 0.509253, 0.8606169, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1054.999, -1852.615, 30.50355, 0, 0, 0.141144, 0.989989, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1082.521, -1850.342, 34.68031, 0, 0, -0.6657569, 0.7461687, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1066.569, -1799.261, 34.97849, 0, 0, 0.7368128, 0.6760968, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1332.376, -1898.093, 45.2338, 0, 0, -0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1312.159, -1888.084, 40.10583, 0, 0, -0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1293.378, -1908.775, 39.90247, 0, 0, -0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1284.914, -1897.999, 37.7092, 0, 0, -0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1294.726, -1953.656, 42.66994, 0, 0, 0.5306901, 0.847566, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1298.071, -1995.973, 44.05495, 0, 0, -0.6841033, 0.7293852, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1239.45, -1969.12, 41.97552, 0, 0, -0.5373001, 0.8433911, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_rock_1_b, 1335.173, -1972.43, 48.68826, 0, 0, 0.767368, -0.641207, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
