ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_1_d, -137.3081, -415.3545, 32.68887, 0.017239, -0.06448398, 0.8789747, -0.4721738, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -138.912, -416.7144, 32.66579, -0.06605099, -0.009624999, 0.366788, 0.9279069, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -145.8239, -436.2039, 32.43396, 0.005765002, -0.02069001, 0.05781302, 0.9980963, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -152.7925, -439.4255, 32.39832, 0.030234, 0.062958, 0.905835, 0.417834, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -153.7971, -455.0352, 32.55291, 0.07675504, -0.01652501, 0.05913803, 0.9951574, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -108.3142, -412.7352, 34.53085, -0.022318, -0.016942, 0.8278001, 0.5603231, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -112.5333, -412.1224, 34.34469, -0.05590701, 0.09040901, -0.647958, 0.7542221, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -123.8417, -389.4606, 33.96413, -0.03260299, 0.005931, 0.6815168, 0.7310518, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -133.6046, -378.355, 33.09587, -0.03845, -0.045566, 0.8760891, -0.478449, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, -60.0002, -426.7726, 37.09484, -0.01035, -0.004569001, 0.9262451, 0.376752, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_d, 766.3937, -198.7951, 66.66278, -0.118017, 0.008392998, 0.18605, 0.9753907, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 815.4328, -225.8857, 66.29279, -0.109373, 0, 0, 0.9940008, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 785.5076, -208.4278, 66.5519, -0.1695, 0.109481, 0.165372, 0.9653682, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 742.4863, -192.7117, 67.58513, 0.3066821, 0.07573601, 0.7623061, -0.5648891, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 741.0041, -195.2607, 67.10022, -0.1310271, -0.09340505, -0.1608681, 0.9737704, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 746.2824, -186.3428, 68.65298, -0.221283, -0.061492, 0.036939, 0.9725678, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 743.2722, -186.8507, 68.7124, -0.202037, 0.019263, -0.562754, 0.8013227, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 729.8503, -219.813, 65.64816, 0.122807, -0.149658, 0.6195921, 0.7606751, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 760.2541, -194.3313, 67.33286, -0.07542096, -0.1982869, 0.9770275, 0.02027799, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 757.4813, -192.7749, 67.5706, -0.10193, 0.04711602, -0.06593502, 0.9914852, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_d, 727.912, -222.3317, 65.44284, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
