ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_2_c, -2003.479, 664.0563, 120.642, -0.001719, 0.023553, 0.9970681, 0.07278401, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06c_strm_0.ymap
prop_rock_2_c, -1829.018, 334.0996, 87.60817, 0, 0, -0.118466, 0.9929581, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06f_long_0.ymap
prop_rock_2_c, -1846.059, 330.251, 87.44965, 0, 0, 0.8561551, 0.516719, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06f_long_0.ymap
prop_rock_2_c, 139.5219, 567.1384, 182.5935, 0, 0, -0.133527, 0.9910452, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05c_long_0.ymap
prop_rock_2_c, 139.7783, 568.5231, 182.5476, 0, 0, 0.9050242, 0.4253601, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05c_long_0.ymap
prop_rock_2_c, 30.71732, 558.1194, 178.3427, 0, 0, 0.7071068, -0.7071068, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05c_long_0.ymap
prop_rock_2_c, 139.5219, 567.1384, 182.5935, 0, 0, -0.133527, 0.9910452, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05c_long_0.ymap
prop_rock_2_c, 139.7783, 568.5231, 182.5476, 0, 0, 0.9050242, 0.4253601, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05c_long_0.ymap
prop_rock_2_c, 30.71732, 558.1194, 178.3427, 0, 0, 0.7071068, -0.7071068, update\x64\dlcpacks\mpapartment\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\apa_ch2_05c_long_0.ymap
prop_rock_2_c, -2003.479, 664.0563, 120.642, -0.001719, 0.023553, 0.9970681, 0.07278401, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\hei_ch1_06c_strm_0.ymap
prop_rock_2_c, -1829.018, 334.0996, 87.60817, 0, 0, -0.118466, 0.9929581, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\hei_ch1_06f_long_0.ymap
prop_rock_2_c, -1846.059, 330.251, 87.44965, 0, 0, 0.8561551, 0.516719, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\hei_ch1_06f_long_0.ymap
prop_rock_2_c, 139.5219, 567.1384, 182.5935, 0, 0, -0.133527, 0.9910452, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05c_long_0.ymap
prop_rock_2_c, 139.7783, 568.5231, 182.5476, 0, 0, 0.9050242, 0.4253601, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05c_long_0.ymap
prop_rock_2_c, 30.71732, 558.1194, 178.3427, 0, 0, 0.7071068, -0.7071068, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\hei_ch2_05c_long_0.ymap
