ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_5_e, 2221.915, 1162.188, 70.43658, 0.5801944, 0.6756875, 0.4498753, -0.06658205, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_2.ymap
prop_rock_5_e, -5.520401, 6794.542, 15.55261, 0.05767002, 0.07187603, 0.08962503, 0.9917033, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
prop_rock_5_e, -1259.526, 4688.274, 85.26981, 0.4365379, -0.4015329, 0.7168348, 0.3665429, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_e, -1219.194, 4622.263, 133.1588, 0.09187801, 0.144125, -0.229724, 0.9581301, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
prop_rock_5_e, -1231.187, 4614.272, 131.1817, -0.19558, 0.023143, 0.9106289, -0.363274, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
prop_rock_5_e, 1926.494, 5047.521, 44.21684, 0.1261931, -0.04882203, 0.9806815, -0.1412641, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_02_strm_1.ymap
prop_rock_5_e, -1620.127, 4209.8, 83.2925, 0.06510001, -0.037916, 0.8616611, 0.501861, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1622.94, 4207.475, 82.88165, 0.06510001, -0.037916, 0.8616611, 0.501861, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1626.419, 4207.271, 82.92288, 0.02409798, -0.2069089, 0.8437815, 0.4946117, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1614.481, 4208.22, 82.63322, -0.114908, 0.04580399, -0.5984118, 0.7915816, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1623.195, 4206.948, 82.83705, -0.005150998, -0.01860399, -0.03902999, 0.9990516, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1631.824, 4200.201, 83.22917, 0.2575032, -0.1412651, 0.01781701, 0.9557295, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1635.073, 4201.461, 83.15076, 0.05087899, 0.05555999, -0.307381, 0.9485997, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1634.623, 4201.834, 83.04821, -0.01708501, 0.008986006, 0.9845436, -0.1740731, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1638.119, 4213.087, 83.76094, 0.04749399, -0.350243, 0.9201829, -0.168338, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1638.57, 4212.744, 83.58269, -0.2981361, 0.1637041, -0.2660281, 0.9019672, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1630.095, 4208.817, 83.30008, 0.103743, -0.291633, 0.4833749, 0.8188629, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1628.275, 4196.67, 84.29282, 0.07875205, -0.1251781, 0.8041273, -0.5757673, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -1630.066, 4196.524, 84.33887, 0.008833003, 0.117294, 0.9903764, 0.07293102, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_02_strm_0.ymap
prop_rock_5_e, -773.2466, 4343.743, 92.6178, 0.19565, 0.09239601, -0.03882701, 0.9755391, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_03_strm_0.ymap
prop_rock_5_e, -770.3868, 4345.077, 93.08142, 0.3360071, 0.02376401, -0.5271342, 0.7801692, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_03_strm_0.ymap
prop_rock_5_e, -772.6884, 4337.578, 134.1554, 0.256103, 0.06922999, -0.235323, 0.9350089, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_03_strm_0.ymap
prop_rock_5_e, -773.3378, 4338.131, 133.7606, 0.1747521, 0.1324451, 0.2334121, 0.9473325, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_03_strm_0.ymap
