ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rublrgc, 1991.88, 2133.536, 91.29068, -0.141025, 0.05897198, 0.3812628, 0.9117417, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_long_0.ymap
cs_x_rublrgc, 2096.744, 1984.612, 91.27757, -0.07763904, 0.06543404, 0.6411173, 0.7606965, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_long_0.ymap
cs_x_rublrgc, 2034.375, 2029.708, 68.96864, -0.1880441, 0.2418261, 0.7514685, 0.5843413, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_0.ymap
cs_x_rublrgc, 2396.645, 2582.792, 45.97073, -0.09877203, -0.00119, 0.9946764, 0.02935601, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_1.ymap
cs_x_rublrgc, 1259.826, -39.51172, 63.52934, 0, 0, 0.9721665, 0.2342909, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
cs_x_rublrgc, 1267.2, -84.73285, 62.63584, 0, 0, -0.133617, 0.9910331, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
cs_x_rublrgc, 1125.537, -123.223, 56.77155, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
cs_x_rublrgc, 1179.46, -150.516, 56.27769, 0, 0, -0.3654972, 0.9308124, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_1.ymap
cs_x_rublrgc, 1575.238, 42.00421, 174.3449, 0.04602199, 0.08083697, 0.8287968, -0.5517639, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
cs_x_rublrgc, 1603.152, -18.14276, 122.8637, -0.186587, -0.004205001, -0.022136, 0.98218, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
cs_x_rublrgc, 1446.949, -73.67377, 93.63651, -0.06052097, 0.08622996, 0.9791365, 0.1737619, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_strm_0.ymap
