ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubmedc, -3007.292, 263.426, 14.87967, 0.005367002, -0.01257701, -0.4243282, 0.9054052, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_4.ymap
cs_x_rubmedc, -1920.527, 2157.287, 112.4477, 0.232393, -0.087541, 0.001761, 0.9686728, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubmedc, -3108.711, 1033.438, 18.54454, 0.004368002, -0.01295801, -0.3522572, 0.9358034, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
cs_x_rubmedc, -3074.507, 1110.464, 20.57918, -0.01211901, -0.006334003, 0.8694764, 0.4937852, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_3.ymap
cs_x_rubmedc, 2010.192, 2130.109, 93.44537, -0.1458309, -0.01317499, -0.08900596, 0.9852095, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_3.ymap
cs_x_rubmedc, 2368.496, 2628.291, 45.66748, 0, 0.0001860001, 0.9999995, 0.001076001, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_6.ymap
cs_x_rubmedc, 2212.537, 2712.711, 45.13422, 0.1066931, -0.05685803, 0.7106364, -0.6930944, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_6.ymap
cs_x_rubmedc, 2356.188, 2794.846, 41.90847, 0.010657, 0.005927003, 0.114249, 0.9933773, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_6.ymap
cs_x_rubmedc, 2375.542, 2654.794, 45.48441, -0.003495999, 0.03224, 0.9936479, 0.10776, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_6.ymap
cs_x_rubmedc, 2387.841, 2759.808, 41.23364, 0.02129399, 0.016721, 0.9994836, -0.01730599, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_7.ymap
cs_x_rubmedc, 2393.397, 2761.59, 40.9148, 0.017759, 0.011961, 0.9485152, -0.3160071, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_7.ymap
cs_x_rubmedc, 2032.12, 2157.683, 96.46858, -0.284249, -0.238302, -0.596623, 0.711657, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_0.ymap
cs_x_rubmedc, 2367.179, 2798.813, 42.03462, 0.001767, -0.010127, 0.8444072, -0.5356031, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_1.ymap
cs_x_rubmedc, 2099.763, -887.683, 82.52083, 0.2292759, -0.06351399, -0.6155098, 0.7513629, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_long_1.ymap
cs_x_rubmedc, 2119.179, -876.4742, 82.94569, 0.19628, -0.015446, -0.368799, 0.9084178, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
cs_x_rubmedc, 2147.051, -855.6283, 79.78378, 0.198028, -0.04449701, -0.2228611, 0.9534872, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14_strm_1.ymap
cs_x_rubmedc, 1781.455, -1778.055, 126.8147, 0.1224129, 0.1173449, -0.4210288, 0.8910556, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_0.ymap
cs_x_rubmedc, 1779.789, -1766.094, 125.4802, -0.360317, 0.281167, 0.7830051, 0.4219241, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_0.ymap
cs_x_rubmedc, 1778.429, -1762.262, 124.262, -0.2407769, -0.02824899, 0.9696397, -0.03205499, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_0.ymap
cs_x_rubmedc, 2815.607, -1426.641, 1.384399, -0.1419429, 0.1122739, 0.6101287, 0.7713557, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_4.ymap
cs_x_rubmedc, 2794.315, -1483.903, 3.907974, -0.05271802, 0.1046471, 0.8869244, 0.4468052, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_long_4.ymap
cs_x_rubmedc, 1803.642, -1695.45, 118.3443, -0.143175, 0.044889, 0.8769429, -0.456571, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_strm_0.ymap
cs_x_rubmedc, -1593.286, 5036.429, 39.01285, 0.1953921, 0.2139671, 0.5170602, 0.8054122, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_strm_1.ymap
cs_x_rubmedc, -426.3058, 5684.605, 65.36032, -0.2226611, 0.2819431, 0.5492192, 0.7545121, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_1.ymap
cs_x_rubmedc, -420.554, 5772.16, 56.90875, 0.152851, 0.1273151, -0.4099472, 0.8901521, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_critical_3.ymap
cs_x_rubmedc, -34.40147, 5508.183, 303.795, 0.141016, 0.250558, 0.02618, 0.9574183, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_1.ymap
cs_x_rubmedc, -28.54666, 5510.773, 306.2268, -0.1348139, 0.1779969, 0.7770357, 0.5885218, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_1.ymap
cs_x_rubmedc, -89.33159, 5550.64, 282.5786, -0.35447, 0.06776, 0.175105, 0.9160228, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_1.ymap
cs_x_rubmedc, -69.18593, 5515.846, 286.1603, -0.04892601, 0.233452, 0.9504871, 0.1992, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_1.ymap
cs_x_rubmedc, 416.8171, 5639.865, 737.7156, 0.103737, 0.374965, 0.7019259, 0.596607, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 290.4956, 5658.267, 637.2983, -0.4110892, 0.1740021, 0.6540574, 0.6106864, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 325.3864, 5652.717, 668.2806, 0.126399, 0.35718, 0.485798, 0.787684, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 322.1713, 5655.151, 664.8258, -0.2759759, 0.145446, 0.7758277, -0.5484288, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 317.813, 5655.294, 663.2627, 0.2829362, 0.1794441, 0.03677003, 0.9414855, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 314.0288, 5657.412, 660.4537, -0.203763, 0.222929, 0.9442879, -0.130781, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 342.1127, 5476.021, 675.0307, 0.217456, 0.279538, -0.648385, 0.67392, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 360.3228, 5541.291, 672.0023, -0.2329651, -0.04986502, 0.9707454, 0.02990301, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 356.5404, 5536.415, 669.9397, -0.2263009, 0.07275798, 0.8581768, 0.4550019, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 354.208, 5534.247, 668.2074, -0.20024, -0.102305, 0.825234, 0.518099, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 376.9124, 5562.39, 680.9833, 0.3377719, 0.121053, -0.5552549, 0.7502989, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 386.5002, 5518.489, 725.5712, 0.07872903, 0.2257901, -0.3051371, 0.9217982, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 393.7619, 5543.439, 722.6294, -0.21312, 0.291781, 0.8521949, 0.378428, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 392.6324, 5539.73, 723.2203, -0.3617581, 0.165281, 0.9170132, 0.03000301, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
cs_x_rubmedc, 391.3604, 5536.548, 723.2762, -0.2963808, -0.1055799, 0.7493886, -0.5826046, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_long_10.ymap
