ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubmedd, -1919.918, 2161.753, 110.4658, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubmedd, -51.75015, 1067.432, 221.3567, 0.1704079, -0.09295896, 0.8541056, -0.4825178, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_strm_18.ymap
cs_x_rubmedd, -318.2529, 1036.161, 235.6995, -0.3657829, -0.08832298, -0.4712789, 0.7976829, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_strm_5.ymap
cs_x_rubmedd, -227.7898, 1044.399, 233.9492, -0.03091102, -0.01592801, -0.4577722, 0.8883892, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_long_0.ymap
cs_x_rubmedd, -274.2044, 1028.378, 234.1291, -0.04311003, 0.01016001, -0.6519754, 0.7569454, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_long_0.ymap
cs_x_rubmedd, 2014.246, 2129.451, 93.02701, -0.091922, -0.005694, -0.061565, 0.9938449, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_0.ymap
cs_x_rubmedd, 2007.723, 2023.511, 63.33829, -0.101398, 0.030563, 0.2869659, 0.9520687, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_0.ymap
cs_x_rubmedd, 2032.113, 2161.789, 96.75142, -0.2883181, -0.2407831, -0.5940552, 0.7113331, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_strm_0.ymap
cs_x_rubmedd, 1743.111, -2054.906, 114.2811, -0.2779111, 0.01527801, 0.9334114, 0.2264401, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1741.76, -2048.777, 114.2037, -0.195176, -0.144855, 0.8677989, -0.4334149, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1751.256, -2061.316, 116.3366, -0.217664, 0.09876102, 0.2853041, 0.9281542, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1739.465, -2042.327, 113.4865, -0.142196, -0.187131, 0.7397512, -0.6305002, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1776.655, -2111.747, 112.9405, 0.24443, 0.271067, -0.138859, 0.9205948, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1766.881, -2122.347, 111.0522, -0.103584, 0.06451701, 0.9347361, 0.333731, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1758.994, -2128.473, 111.1145, 0.026605, 0.04337999, 0.5611379, 0.8261566, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1716.005, -2177.942, 111.8245, 0.03937302, 0.08236104, 0.1777601, 0.9798304, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1713.609, -2169.375, 110.8882, 0.040729, 0.026539, -0.4271249, 0.9028849, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
cs_x_rubmedd, 1727.85, -2157.519, 112.6874, 0.1102149, 0.2050099, 0.2228949, 0.9466475, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_strm_2.ymap
