ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubsmlb, -1934.658, 2097.956, 129.0517, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubsmlb, -1926.823, 2126.448, 121.2126, 0, -0.209996, 0, 0.9777022, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubsmlb, -1914.53, 2252.307, 74.34023, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_3.ymap
cs_x_rubsmlb, -1908.674, 2207.583, 89.33946, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_3.ymap
cs_x_rubsmlb, 340.2209, 836.1724, 192.9035, -0.009088997, -0.08163397, 0.9539167, 0.2886109, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 291.5068, 811.4321, 188.1815, 0.025801, -0.096923, 0.961798, -0.254725, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 290.6951, 815.3405, 188.9896, -0.06152904, 0.03452703, -0.3558722, 0.9318675, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 297.1977, 783.3912, 184.3338, -0.03918199, 0.04984499, -0.212005, 0.9752098, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 322.9355, 811.1787, 189.37, -0.07604696, 0.0001789995, -0.3338868, 0.9395405, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 329.9147, 853.3684, 192.968, -0.04452798, -0.02961399, 0.9905135, -0.1265829, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 324.2633, 919.1595, 203.0445, -0.03396501, -0.09909804, 0.6382743, 0.762648, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 300.0343, 777.6764, 184.3036, -0.012523, 0.05959401, -0.6611651, 0.747765, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 319.1888, 834.97, 191.2867, 0, 0, -0.661472, 0.7499699, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 324.3077, 911.6646, 201.2699, 0.03485401, -0.113176, 0.9440792, 0.3077191, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 340.7672, 951.97, 206.402, 0.114333, -0.077826, 0.7695429, -0.6234379, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlb, 492.34, 332.0788, 132.2633, -0.2206219, 0.03901999, 0.3338019, 0.9156308, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_2.ymap
cs_x_rubsmlb, 423.3131, 875.7306, 197.3473, 0.012364, -0.04005698, 0.9959236, -0.07986697, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmlb, 422.3086, 803.8677, 191.4444, -0.09054697, -0.114996, 0.9891896, -0.008997997, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_3.ymap
cs_x_rubsmlb, 615.4506, 329.6014, 107.5431, 0.028875, -0.147399, 0.9863469, -0.06752499, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmlb, 573.5173, 289.8745, 105.4864, 0.3279602, 0.05519904, 0.7621405, -0.5554613, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmlb, 485.1731, 380.9639, 137.622, -0.126518, -0.07643701, 0.9359081, -0.319729, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmlb, 682.7944, 357.7242, 112.2716, -0.1098481, -0.08707505, 0.7158294, 0.6840613, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmlb, 588.501, 332.5217, 119.6124, -0.05875701, -0.08190301, 0.004837, 0.994895, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmlb, 599.9923, 336.0048, 117.617, -0.043646, -0.14326, 0.006324, 0.988702, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_1.ymap
cs_x_rubsmlb, 382.1067, 962.9161, 204.4057, 0.07426997, -0.02747099, 0.9630327, -0.2574829, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_2.ymap
cs_x_rubsmlb, 383.7926, 955.5524, 203.5659, 0.07039396, -0.001843, 0.7872276, -0.6126287, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_2.ymap
cs_x_rubsmlb, 383.6378, 849.6714, 194.7411, -0.041701, 0.001689, 0.285589, 0.957443, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_2.ymap
cs_x_rubsmlb, 251.6169, 931.5203, 209.3151, 0.006911002, -0.03019201, 0.9854833, 0.166923, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_2.ymap
cs_x_rubsmlb, 253.2874, 927.8947, 208.8971, -0.03349199, 0.006650999, -0.5490639, 0.8350827, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_2.ymap
cs_x_rubsmlb, 305.5964, 992.6495, 209.4988, 0.02026101, 0.002847001, 0.157724, 0.9872712, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_2.ymap
cs_x_rubsmlb, 474.4268, 852.1139, 196.9791, -0.014098, 0.004841, 0.9668839, -0.254781, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmlb, 640.0937, 689.3726, 132.1566, -0.08010498, -0.128194, 0.7242678, 0.6727448, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmlb, 612.3373, 666.6476, 129.2628, 0, 0, 0.02617701, 0.9996573, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmlb, 642.732, 762.6008, 202.5323, 0, 0, 0.8191523, 0.5735762, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_3.ymap
cs_x_rubsmlb, 697.3755, 765.8514, 203.1106, 0, 0, 0.9914802, 0.130258, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_4.ymap
cs_x_rubsmlb, 956.2443, 628.5777, 165.4587, 0, 0, 0.8191523, 0.5735762, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_4.ymap
cs_x_rubsmlb, 1074.209, 559.7878, 99.92007, -0.1548351, -0.1534761, 0.02435701, 0.9756423, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_6.ymap
cs_x_rubsmlb, 877.0984, 307.4697, 88.51801, -0.009731, -0.120868, 0.6970073, 0.706737, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_6.ymap
cs_x_rubsmlb, 714.0645, 302.7003, 106.8794, -0.121354, 0.141158, -0.6006439, 0.7775439, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_6.ymap
cs_x_rubsmlb, 852.7335, 355.1812, 116.8096, -0.001408, -0.009712002, 0.7743772, -0.6326482, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_strm_6.ymap
cs_x_rubsmlb, 2025.148, 2008.259, 73.77729, -0.133536, 0.141632, 0.7136788, 0.6728827, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_0.ymap
cs_x_rubsmlb, 2101.324, 1977.544, 92.0009, -0.08615302, 0.06988802, 0.6261011, 0.7718101, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_critical_1.ymap
