ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_rubsmlc, -1918.024, 2164.717, 109.1834, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubsmlc, -1933.964, 2103.845, 128.0664, 0, -0.1813571, 0, 0.9834173, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_2.ymap
cs_x_rubsmlc, -1911.524, 2221.97, 83.82722, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_strm_3.ymap
cs_x_rubsmlc, 309.3373, 697.0174, 171.3305, 0, 0, -0.6749003, 0.7379091, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 369.7666, 753.9926, 182.8059, -0.03705901, 0.119998, 0.6685321, 0.7330021, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 374.8349, 748.3573, 184.5079, -0.115224, 0.02032901, 0.9136184, -0.3893732, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 377.3819, 747.8254, 184.9714, -0.04070102, 0.09810704, 0.6135992, 0.7824413, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 366.9752, 753.6389, 182.1394, -0.1184459, 0.02289899, 0.9736245, -0.1936529, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 291.9988, 808.8263, 187.9914, -0.08918, 0.017685, -0.193716, 0.9768358, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 321.1436, 815.9058, 190.334, -0.06319997, -0.03040899, 0.2217779, 0.9725717, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 313.5268, 834.1922, 191.1461, -0.03103299, -0.02118999, 0.8166477, 0.5759118, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 304.7058, 836.0269, 191.0789, 0, 0, -0.276611, 0.960982, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 294.1383, 845.481, 191.9735, 0, 0, 0.8199925, -0.5723743, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 339.8213, 954.9545, 207.1505, 0.02006399, -0.09788496, 0.9949867, 0.004191998, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 335.3643, 966.3029, 208.5244, -0.03196101, 0.010835, -0.4449621, 0.8949133, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_critical_1.ymap
cs_x_rubsmlc, 440.0634, 342.3516, 105.8072, -0.272421, -0.035878, 0.9349321, 0.224503, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_04_long_2.ymap
