ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
cs_x_weesmlb, 2508.736, 505.5867, 111.4726, 0.09192402, -0.05185601, 0.9053563, -0.4113281, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2513.451, 514.0507, 111.9891, -0.179906, -0.09060698, -0.6527128, 0.7303357, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2486.901, 671.4675, 109.3662, -0.02003401, -0.2771881, -0.4913472, 0.8254353, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2490.344, 676.8954, 106.9016, -0.2408268, -0.4674157, 0.7424306, -0.4151168, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2484.863, 676.177, 109.1861, -0.04491502, -0.3130221, -0.4125161, 0.854301, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2487.031, 677.4065, 108.165, 0.892348, 0.326126, 0.135555, -0.281037, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2470.582, 735.8701, 103.886, -0.265795, 0.7509911, -0.5976521, -0.09042901, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2478.752, 732.3419, 101.1892, 0.148379, -0.083757, 0.178506, 0.9690738, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2343.566, 1019.508, 78.82991, 0.8134138, -0.07759199, -0.002495998, 0.5764819, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2310.966, 1055.224, 69.28639, 0.004871001, 0.221713, 0.901251, -0.372245, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2303.589, 1075.181, 66.40277, 0.184241, -0.021889, 0.073855, 0.9798579, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2283.056, 1130.962, 65.28851, 0.03467201, -0.2024081, 0.2402231, 0.9487475, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2473.817, 808.7357, 93.94868, 0.06813601, -0.04378101, -0.04434401, 0.995728, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
cs_x_weesmlb, 2472.423, 816.5447, 94.12274, 0.6415526, 0.04424397, -0.3368748, 0.6877267, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_1.ymap
