ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_coastbigroc03_, 1409.087, -2768.552, -0.079895, -0.007301999, 0.006922999, 0.08911099, 0.9959709, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_0.ymap
csx_coastbigroc03_, 1574.82, -2813.798, -0.566162, -0.04827902, -0.003939002, 0.5775312, 0.8149303, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_0.ymap
csx_coastbigroc03_, 1425.092, -2818.167, -1.844559, -0.018489, 0.068776, 0.9305691, 0.359123, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_0.ymap
csx_coastbigroc03_, 1587.272, -2721.165, 0.748001, 0.010715, -0.01304, 0.5232012, 0.8520421, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_1.ymap
csx_coastbigroc03_, 1668.29, -2679.769, 1.078049, -0.02378899, -0.007845998, -0.7064108, 0.7073587, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_1.ymap
csx_coastbigroc03_, 2647.608, -2031.292, -3.089264, 0.08210303, 0.113166, 0.8014643, -0.5814702, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_3.ymap
csx_coastbigroc03_, 2367.357, -2148.285, -1.44902, -0.03582801, 0.007637003, 0.2083351, 0.9773713, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_3.ymap
csx_coastbigroc03_, 2420.391, -2132.133, 0.774521, -0.013648, 0.002768001, 0.8527632, 0.5221122, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_3.ymap
csx_coastbigroc03_, 2177.806, -2345.722, -0.973267, -0.09427504, -0.06139202, -0.02009401, 0.9934483, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_3.ymap
csx_coastbigroc03_, 2198.458, -2273.613, -3.068832, -0.12694, -0.02214299, -0.1704099, 0.9769117, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_3.ymap
csx_coastbigroc03_, 2601.766, -2124.944, -2.261078, -0.05332601, -0.116196, 0.7172012, 0.6850381, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_3.ymap
csx_coastbigroc03_, 1972.541, -2610.763, -2.094238, -0.144787, 0.03727598, -0.5681488, 0.8092306, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_13_critical_4.ymap
csx_coastbigroc03_, -366.0273, 6440.768, 0.250946, 0, 0, 0.9529021, -0.303278, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_critical_0.ymap
csx_coastbigroc03_, -849.5997, 6829.603, -57.01791, 0.06732202, -0.161711, -0.4121011, 0.894142, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_sea_critical_0.ymap
csx_coastbigroc03_, -875.5463, 6808.895, -51.47662, -0.05053402, -0.1561251, 0.3049492, 0.9381244, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_sea_critical_0.ymap
csx_coastbigroc03_, -845.3034, 6782.378, -45.36383, -0.161842, 0.04402, 0.9769351, 0.132164, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_sea_critical_0.ymap
csx_coastbigroc03_, -761.9107, 6835.873, -51.43909, 0.02883002, 0.1144531, 0.7982305, 0.5906754, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_sea_critical_0.ymap
