ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_coastsmalrock_02_, 1210.197, -2656.583, 4.714493, -0.1595981, 0.03365402, 0.2035691, 0.9653784, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
csx_coastsmalrock_02_, 1228.508, -2670.871, 1.970871, -0.05021499, -0.000197, -0.003918, 0.9987307, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
csx_coastsmalrock_02_, 2046.387, 480.465, 161.5369, -0.06089704, 0.1296941, -0.4206353, 0.8958443, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_0.ymap
csx_coastsmalrock_02_, 2048.201, 480.235, 162.0456, -0.11054, -0.1829829, 0.8614437, -0.4606658, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_0.ymap
csx_coastsmalrock_02_, 2037.622, 472.1077, 161.0259, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_0.ymap
csx_coastsmalrock_02_, 1987.432, 333.4412, 155.2924, -0.03008401, 0.01873301, -0.4237702, 0.9050762, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_0.ymap
csx_coastsmalrock_02_, 1977.462, 375.5056, 159.9347, -0.103267, -0.06307998, 0.8626278, -0.4911518, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_0.ymap
csx_coastsmalrock_02_, 1984.495, 366.3321, 160.4063, 0.022273, -0.018205, -0.237384, 0.9709899, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_0.ymap
csx_coastsmalrock_02_, 1995.666, 399.6168, 160.8206, 0.05210999, -0.010693, 0.9150898, -0.3997259, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_0.ymap
csx_coastsmalrock_02_, 2003.692, 423.9233, 161.8655, 0.111428, 0.05514699, -0.312074, 0.9418877, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_0.ymap
csx_coastsmalrock_02_, 1980.479, 730.6631, 165.3528, -0.034633, -0.031298, -0.530876, 0.8461629, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_1.ymap
csx_coastsmalrock_02_, 1925.437, 796.1702, 194.2266, -0.03298601, 0.134441, -0.3025171, 0.9430382, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_1.ymap
csx_coastsmalrock_02_, 1949.559, 810.3466, 178.6237, -0.02548299, -0.204464, 0.8787268, -0.4305629, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_1.ymap
csx_coastsmalrock_02_, 1949.502, 805.4243, 177.599, -0.1528501, 0.02189101, 0.7243504, 0.6719184, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_1.ymap
csx_coastsmalrock_02_, 1947.92, 801.1738, 176.5063, -0.03298601, 0.134441, -0.3025171, 0.9430382, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_1.ymap
csx_coastsmalrock_02_, 1948.603, 783.2264, 172.1277, -0.04601301, -0.180033, 0.8880671, -0.4204851, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_critical_1.ymap
csx_coastsmalrock_02_, 1978.436, 552.083, 160.8293, -0.01529801, 0.02775301, 0.3110982, 0.9498493, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_long_0.ymap
csx_coastsmalrock_02_, 1996.417, 534.0118, 162.2085, 0.007161, 0.043481, 0.19666, 0.979481, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_long_0.ymap
csx_coastsmalrock_02_, 1997.594, 516.309, 162.8545, -0.02280799, 0.08444898, 0.2559099, 0.9627348, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_long_0.ymap
csx_coastsmalrock_02_, 2023.93, 497.4187, 163.2121, 0.004004998, -0.009918995, 0.9944365, -0.1047929, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_long_0.ymap
csx_coastsmalrock_02_, 1985.296, 680.532, 161.1273, -0.09591502, 0.3295931, 0.3935871, 0.8527942, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 1987.484, 682.1094, 162.3908, -0.007718003, 0.103089, -0.02224901, 0.9943933, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 2004.404, 664.3939, 162.8978, 0.015415, -0.163615, 0.8488833, -0.5023842, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 1961.444, 765.2828, 170.3551, -0.03810298, -0.07069396, 0.7599376, -0.6450157, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 1969.119, 752.0679, 168.3185, 0.03205001, -0.135795, 0.9834154, -0.115874, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 1995.215, 634.0041, 160.9238, -0.03389901, -0.017268, 0.9328691, -0.358201, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 2037.867, 486.6737, 161.6706, -0.1314401, 0.01401701, -0.1876531, 0.9733002, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 1973.972, 507.7188, 161.0872, -0.012585, -0.0001719999, 0.9881896, 0.1527179, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 1974.49, 511.7805, 161.0794, -0.012886, 0.009317002, 0.9446532, 0.3276851, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_07_strm_0.ymap
csx_coastsmalrock_02_, 1836.233, 315.7896, 160.3462, -0.012131, -0.02223701, 0.9416772, -0.3355631, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_4.ymap
csx_coastsmalrock_02_, 1842.489, 306.5116, 160.3802, 0.01084599, 0.003315998, 0.9993265, -0.03489698, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_4.ymap
csx_coastsmalrock_02_, 1849.625, 301.1693, 161.3367, 0.0005190014, -0.2031161, 0.8405854, -0.5021552, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_4.ymap
csx_coastsmalrock_02_, 1837.847, 289.9209, 160.0766, -0.021488, -0.3751461, 0.3211811, 0.8692792, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_4.ymap
csx_coastsmalrock_02_, 1840.543, 270.5108, 160.4142, 0.2201551, -0.007902001, 0.9682772, 0.117935, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_4.ymap
csx_coastsmalrock_02_, 1840.376, 273.7851, 160.4692, 0.04873301, -0.129929, 0.361996, 0.921793, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_critical_4.ymap
csx_coastsmalrock_02_, 1882.391, 449.3915, 165.9957, -0.09049498, -0.08299398, 0.281462, 0.9516837, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1894.87, 447.366, 165.0271, 0.04718198, -0.2009649, 0.5721866, 0.7937187, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1895.275, 429.9407, 163.2957, -0.093593, -0.115469, 0.6995741, 0.6989301, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1893.232, 434.9476, 163.2828, 0.05431801, 0.07671501, 0.022588, 0.9953161, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1896.351, 433.8078, 163.3123, 0.118748, 0.118273, 0.9270751, 0.335324, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1925.998, 471.7963, 161.125, -0.05724199, -0.008918, -0.704128, 0.7077059, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1920.087, 463.0356, 161.5153, -0.04282301, -0.120296, -0.4718081, 0.872406, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1917.268, 452.0289, 161.7498, -0.116012, -0.1695961, -0.02776901, 0.9782675, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1919.648, 454.3547, 161.4556, -0.2499049, -0.152398, -0.3640089, 0.8842058, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1908.416, 443.748, 162.3324, 0.150318, -0.006275, 0.718417, -0.6791481, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1918.999, 434.3765, 161.4672, 0.06719597, -0.06060298, 0.9236857, 0.3723129, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_1.ymap
csx_coastsmalrock_02_, 1904.439, 367.7659, 158.6275, 0.04602898, -0.06446397, 0.7798475, 0.6209376, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1901.234, 368.3381, 159.1429, 0.08688404, -0.09498405, -0.5751653, 0.8078454, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1905.446, 369.9063, 158.7551, -0.09692703, -0.018397, -0.2700661, 0.957774, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1906.428, 378.1818, 159.6425, -0.2403559, 0.09987496, 0.5054148, 0.8226846, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1900.589, 377.95, 159.135, 0.03868399, -0.04251599, 0.7217538, -0.6897588, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1906.381, 346.6759, 160.4475, -0.005128999, -0.007119999, -0.3621649, 0.9320728, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1900.629, 337.9538, 161.1613, 0.08245097, 0.08723597, 0.9229577, 0.3657059, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1903.022, 336.7691, 161.2289, 0.08502899, 0.091727, 0.9479309, 0.292888, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1845.242, 347.9933, 160.358, -0.128131, -0.12628, 0.9674721, -0.177858, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1902.891, 316.3893, 161.6898, -0.005537, -0.001209, -0.213288, 0.9769729, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1907.891, 305.145, 161.4969, -0.03589099, -0.04728398, 0.9504526, 0.3051489, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1904.77, 307.3575, 161.5602, -0.044966, -0.022351, 0.957956, 0.282487, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1858.412, 326.4131, 161.3065, -0.03157201, 0.02536801, 0.9376093, 0.3453241, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1862.682, 307.5266, 161.8422, -0.06312004, -0.03259902, 0.7933135, 0.6046544, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_3.ymap
csx_coastsmalrock_02_, 1817.539, 435.2578, 159.9509, 0.002568001, 0.05043803, -0.3265682, 0.9438234, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_strm_1.ymap
