ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_meda_, 265.8891, 4273.168, 34.41484, -0.3818951, -0.3758291, 0.8134682, 0.2262261, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 422.6788, 4316.517, 30.23257, -0.09041902, -0.004789001, 0.9952664, 0.03530501, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 401.587, 4337.511, 41.65465, -0.1431221, -0.4657573, 0.8721294, 0.04446002, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 402.2238, 4336.026, 39.5692, -0.457078, -0.19082, 0.538894, 0.6813669, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 398.6825, 4339.399, 42.87401, -0.3585169, -0.27957, 0.7638838, 0.4580259, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 402.1532, 4338.397, 42.96745, -0.3407671, -0.2728081, 0.7486824, 0.4989272, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 413.9132, 4327.869, 31.86858, -0.3588801, 0.3987971, -0.2745271, 0.7979981, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 413.3162, 4328.762, 33.05992, 0.6383001, -0.032074, -0.4931111, -0.5902421, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 441.0971, 4279.905, 32.0827, -0.04604499, -0.2019959, 0.9771008, -0.04849399, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 520.6155, 4152.333, 29.64354, -0.179564, 0.074366, -0.025732, 0.9805939, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 562.1696, 4145.458, 27.71371, -0.1573521, 0.05872203, -0.3778012, 0.9105264, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 562.7213, 4152.215, 31.36427, -0.2977541, 0.131951, 0.03135801, 0.9449593, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 293.7196, 4234.239, 27.8006, 0.006504999, -0.036662, 0.9897299, -0.138016, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 349.3416, 4264.332, 27.62897, -0.01233099, -0.1349839, 0.4986727, 0.8561266, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 384.7967, 4279.893, 28.38002, 0.7043868, 0.05919298, 0.2512239, -0.6612278, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 386.0251, 4277.254, 26.10573, -0.104728, -0.07744198, 0.09534798, 0.9868858, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 483.1325, 4186.444, 30.31548, 0.06398802, 0.05576502, -0.5437252, 0.8349603, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 456.4365, 4324.686, 41.614, 0.121162, 0.07391301, 0.062419, 0.9879071, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 336.0934, 4361.725, 50.89537, -0.09457204, -0.103026, 0.5896763, 0.7954393, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 315.494, 4372.729, 51.57768, -0.04962498, 0.04536998, -0.1657869, 0.9838667, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 332.0943, 4368.329, 54.56963, -0.5522771, 0.143344, 0.429711, 0.6998508, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 330.9773, 4366.391, 52.81944, -0.233096, -0.09744598, 0.7336789, 0.6307819, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 311.151, 4374.719, 51.67937, -0.08534904, 0.03639201, 0.4064581, 0.9089461, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 346.0757, 4338.698, 48.65916, -0.03879001, 0.009022003, 0.001618001, 0.9992054, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 341.5003, 4355.331, 50.00542, -0.2902829, -0.3410379, 0.7270328, 0.5204348, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 342.7434, 4354.997, 51.6259, -0.6201183, 0.2566681, 0.2835131, 0.6849782, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_meda_, 275.1484, 4535.924, 68.63382, -0.3059929, -0.1706389, -0.4561739, 0.8180196, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_19.ymap
csx_rvrbldr_meda_, 104.7451, 4389.099, 53.61388, -0.274468, 0.343338, -0.573016, 0.6916929, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 104.49, 4388.948, 53.40245, -0.410479, -0.104266, 0.27614, 0.8627759, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 99.91382, 4390.407, 52.59987, -0.103741, 0.2403401, -0.5583551, 0.7872192, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 85.46793, 4371.901, 35.11021, -0.155834, 0.4167522, -0.5696732, 0.6910181, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, -13.9588, 4411.663, 35.96208, -0.05298904, -0.5838084, -0.3780212, 0.7165613, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 52.28227, 4412.922, 44.72165, -0.101635, 0.09972597, 0.6932347, 0.7065059, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 48.73991, 4413.856, 44.20264, -0.08461899, 0.138225, 0.8415979, 0.5152149, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 82.79486, 4398.091, 51.62358, -0.3666381, -0.4876032, 0.7538253, -0.2440641, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 60.39835, 4406.403, 46.76604, -0.11966, 0.07447199, 0.4632079, 0.8749708, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 46.90424, 4401.878, 35.66582, -0.3109078, 0.1534219, 0.6546827, 0.6717057, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 67.36484, 4378.043, 32.3631, -0.079482, -0.250481, 0.96024, -0.09423999, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 27.45601, 4390.643, 32.72263, -0.186165, 0.182803, 0.920794, -0.289938, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 28.9919, 4393.05, 31.88501, 0.125322, 0.243188, 0.541521, 0.7949271, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 37.26709, 4394.92, 32.82083, -0.02512501, 0.4148761, 0.8942012, -0.166285, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 4.238876, 4409.277, 32.43668, -0.249163, -0.173753, 0.4922709, 0.8157188, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 21.11603, 4411.537, 32.75916, -0.4960979, -0.002289996, -0.2431769, 0.8335146, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 18.7077, 4412.6, 33.65263, 0.371996, -0.4175281, 0.7299371, -0.3930411, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_meda_, 291.9434, 4393.515, 49.34969, -0.022173, 0.132635, 0.112335, 0.9845289, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_meda_, 312.7925, 4381.116, 54.36223, -0.2530151, 0.4925332, -0.4436002, 0.704708, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_meda_, 308.8027, 4381.11, 52.42543, -0.2283289, 0.07246998, 0.2937109, 0.9253907, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_meda_, 310.3741, 4382.451, 53.46501, -0.05735701, -0.205734, 0.9204462, -0.3273571, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_meda_, 303.3094, 4394.826, 57.29167, -0.1991201, 0.106184, -0.6758893, 0.7016052, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_meda_, 304.2185, 4401.779, 58.26042, 0.3556508, 0.2467799, -0.05905298, 0.8995137, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_meda_, 677.481, 4182.866, 39.04851, 0.031897, -0.065422, 0.971754, -0.224492, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_meda_, 679.0789, 4185.325, 39.24596, -0.036752, -0.021626, 0.9476089, 0.316574, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_meda_, 626.3938, 4176.411, 28.33914, -0.105299, -0.009176002, 0.121529, 0.9869441, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_meda_, 679.7454, 4166.12, 30.66583, -0.110834, 0.182409, -0.004832999, 0.9769439, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
