ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_medd_, 387.3238, 4344.48, 48.26591, -0.258416, -0.132056, 0.148582, 0.9453601, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 383.4497, 4343.26, 48.90495, -0.1922861, -0.1695151, 0.06071503, 0.9646784, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 450.0575, 4279.084, 37.63716, 0.2404688, 0.2782028, -0.5997496, 0.7106886, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 453.2945, 4280.858, 40.81587, 0.02502301, 0.406505, -0.304531, 0.8610391, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 455.586, 4282.903, 43.6776, -0.3631361, 0.153799, 0.6605292, 0.6388892, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 456.9502, 4285.426, 45.76878, -0.1951659, 0.3261949, 0.3027709, 0.8739777, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 459.189, 4289.127, 48.37248, -0.3015539, -0.164891, 0.8747568, -0.3415799, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 459.155, 4217.278, 31.1461, -0.127618, 0.2254701, -0.4461361, 0.8566443, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 432.8786, 4251.545, 26.50151, -0.08098197, 0.110586, 0.3994949, 0.9064307, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 439.8289, 4249.838, 30.04437, -0.4043892, -0.3921692, 0.7817923, -0.2673451, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 499.7824, 4163.324, 30.28683, -0.211128, 0.08462398, 0.3622929, 0.9038847, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 501.2688, 4161.955, 30.23236, -0.2215231, 0.05714602, 0.2431681, 0.9426193, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 503.0047, 4158.388, 29.29163, -0.111917, 0.025269, 0.218787, 0.9690038, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 537.6101, 4151.827, 30.23532, -0.3639302, 0.2214461, -0.5776644, 0.6962904, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 522.5305, 4153.678, 30.35303, -0.06423999, -0.2210909, 0.9730408, 0.013559, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 301.2851, 4238.688, 28.7128, -0.1551891, -0.04834003, 0.1321821, 0.9778075, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 284.4561, 4237.657, 28.0466, 0.02192001, -0.1110781, 0.9016725, -0.4173342, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 278.3054, 4237.422, 27.65851, -0.1092781, -0.02961502, 0.4792153, 0.8703643, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 356.9666, 4267.782, 27.31503, -0.136361, -0.016693, -0.4647021, 0.8747451, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 356.2467, 4259.678, 26.48489, 0.08489203, -0.01984101, 0.9884353, -0.1240781, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 394.3972, 4285.305, 27.67178, -0.4711221, -0.04033601, -0.5411971, 0.695358, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 478.4995, 4195.493, 29.60329, -0.006100003, 0.09308504, 0.03910402, 0.9948713, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 327.5921, 4371.292, 53.248, -0.109202, -0.2307931, 0.8589974, -0.4437712, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 328.9932, 4369.439, 53.24162, -0.04731102, 0.2509031, -0.4341012, 0.8639244, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 329.9491, 4369.587, 53.54832, -0.135333, 0.140277, -0.253397, 0.9475217, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 317.8566, 4375.956, 52.47835, -0.1497231, -0.1914361, 0.9452676, 0.2177261, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 319.6262, 4377.54, 53.66032, -0.08668699, -0.205124, 0.9166229, -0.331982, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 337.6065, 4345.179, 49.12996, -0.04687702, 0.006802002, -0.2542071, 0.9659892, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 339.8815, 4345.568, 49.15019, -0.04132601, 0.02315001, -0.5835022, 0.810729, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_medd_, 282.7733, 4539.374, 64.43777, -0.3031691, -0.1821501, -0.4817261, 0.8017792, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_19.ymap
csx_rvrbldr_medd_, 282.0534, 4531.271, 63.1785, 0.112568, 0.171585, 0.8183301, -0.536864, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_19.ymap
csx_rvrbldr_medd_, 102.6958, 4386.052, 51.45335, -0.227281, -0.117873, 0.8936519, 0.368559, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 88.29358, 4393.627, 50.77647, -0.2392091, 0.03510201, 0.3532351, 0.9037543, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 50.22218, 4412.002, 44.2038, -0.104507, 0.05578702, 0.4676012, 0.8759653, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 61.50989, 4403.762, 46.64873, -0.123873, -0.03301501, 0.9703512, 0.2049, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 60.2793, 4390.597, 38.41295, -0.5830681, 0.07783601, -0.09009201, 0.803652, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 54.31415, 4390.506, 33.56618, -0.2730212, 0.2366451, 0.1605971, 0.9185135, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 55.05557, 4390.028, 33.79482, -0.270938, -0.209045, 0.9392331, 0.027094, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 55.86938, 4390.663, 34.6996, -0.3599821, -0.07306702, 0.8097232, 0.4576271, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 54.05997, 4394.327, 36.41713, -0.4750169, 0.3093059, 0.4127849, 0.7129498, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 45.5403, 4405.776, 35.20189, -0.3887669, 0.006678998, 0.8976418, 0.207497, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_medd_, 682.265, 4186.323, 39.52245, -0.05086401, -0.006646001, 0.8235922, 0.5648581, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 676.2211, 4186.195, 39.08629, -0.022788, 0.019355, 0.62009, 0.7839608, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 658.6965, 4173.172, 27.785, 0.06746802, -0.142966, 0.8211432, -0.5483911, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 612.3867, 4205.322, 42.50835, -0.2507999, 0.1354919, -0.3993178, 0.8713706, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 632.708, 4193.625, 37.42937, -0.09827197, 0.04728698, -0.6161317, 0.7800566, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 622.1733, 4193.372, 37.59642, -0.02500099, -0.013531, -0.2489709, 0.9680936, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 654.1628, 4191.225, 37.42308, -0.1521549, -0.1603669, 0.8036877, 0.5524648, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 646.6412, 4188.45, 36.12431, -0.213423, -0.172559, 0.2006391, 0.940435, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 682.139, 4194.178, 42.91618, 0.16212, -0.187171, 0.8465429, -0.4712209, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 671.3049, 4194.249, 43.00975, -0.2890161, -0.1893161, 0.8024672, 0.4864931, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 668.1709, 4194.26, 42.0952, -0.3114479, -0.2671209, 0.7413307, 0.5311078, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_medd_, 664.2299, 4189.292, 38.23906, 0.002512, 0.03992499, -0.3482849, 0.9365348, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
