ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_mede_, 388.2159, 4341.766, 46.57829, -0.2594931, -0.06715303, -0.2413661, 0.9326823, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 388.1043, 4342.866, 47.19054, -0.1911511, -0.1879031, 0.2573122, 0.9284095, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 454.9123, 4281.646, 42.63213, -0.375192, 0.045951, 0.824771, 0.420562, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 437.9669, 4263.352, 28.61583, -0.136438, -0.146432, 0.8881401, -0.4137021, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 437.4786, 4250.727, 28.19624, 0.01670399, 0.2344049, -0.2338939, 0.9434347, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 438.5049, 4269.391, 31.01505, -0.3891608, 0.2915818, 0.6964046, 0.5277827, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 536.1444, 4150.618, 29.55574, 0.04092502, -0.1887911, 0.9529694, -0.2335221, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 503.6812, 4161.475, 30.14029, -0.194804, -0.034649, 0.821291, 0.5351, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 293.6947, 4238.254, 28.67575, -0.005011999, -0.166178, 0.9801799, 0.107737, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 287.2175, 4239.849, 29.85495, -0.5816776, -0.01605599, 0.09091995, 0.8081626, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 344.9339, 4263.502, 28.41159, 0.1194331, -0.02975001, 0.9202144, -0.3715592, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 336.5317, 4251.393, 28.27322, 0.1518051, -0.015049, 0.7927873, -0.5900992, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 382.4895, 4279.266, 27.84756, 0.238347, -0.4960701, 0.8205111, 0.154489, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 391.0175, 4284.901, 29.25551, -0.2669111, -0.326919, 0.145409, 0.8948401, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 477.054, 4191.795, 29.20134, -0.013504, 0.106815, -0.0729, 0.9915109, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 461.7132, 4311.944, 48.82591, -0.2814361, 0.1219791, 0.8975744, -0.3166621, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 454.8812, 4310.749, 45.92354, -0.07861604, 0.03803901, 0.9954584, 0.03788701, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 328.7857, 4362.179, 51.00127, -0.08415499, 0.111867, -0.5092759, 0.8491418, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 331.5555, 4359.364, 50.44817, -0.076995, -0.104824, 0.704736, 0.697446, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 326.0918, 4372.752, 53.52684, -0.3649722, -0.02880901, 0.6041953, 0.7077523, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 326.1309, 4368.083, 51.9312, -0.01459001, 0.06929403, -0.5847593, 0.8081102, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 312.5374, 4369.625, 50.7459, -0.05290097, -0.02685098, 0.8821185, 0.4672767, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 312.1242, 4371.483, 51.2, 0.016926, -0.08589099, 0.9039119, -0.4186639, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 308.6863, 4377.1, 51.64372, -0.081468, 0.044405, 0.317468, 0.9437189, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 309.2522, 4374.686, 51.15807, -0.04432601, 0.02821701, 0.3493951, 0.935501, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 350.4796, 4331.014, 48.02483, -0.05548401, 0.032818, -0.6333611, 0.7711669, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 350.9886, 4340.094, 49.03207, -0.02419899, -0.01287, 0.4691978, 0.8826677, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 348.7774, 4340.215, 48.77135, -0.023493, -0.014119, 0.5147501, 0.8569021, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 352.5525, 4341.909, 49.3725, -0.09960903, 0.07852103, 0.5292831, 0.8389111, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 351.3161, 4346.342, 49.01768, 0.057426, -0.037668, 0.874761, 0.479663, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 347.6042, 4345.934, 49.01341, -0.0004360001, 0.003972, 0.9940271, 0.10906, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 339.8353, 4353.491, 49.89372, -0.03566299, 0.016965, -0.5080379, 0.8604289, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 346.3799, 4350.573, 48.99474, 0.07571901, -0.06666201, 0.7318732, 0.6739322, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 342.069, 4353.672, 49.4287, 0.020379, -0.151115, 0.359317, 0.9206738, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_18.ymap
csx_rvrbldr_mede_, 270.7406, 4535.095, 71.65939, -0.3015049, -0.157101, -0.4345649, 0.8340068, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_19.ymap
csx_rvrbldr_mede_, 102.2329, 4387.657, 52.03008, -0.08675002, -0.2340491, 0.9459854, -0.2068991, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_mede_, 86.18234, 4392.756, 49.82176, -0.2402191, 0.022346, 0.3995841, 0.88438, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_mede_, 85.83084, 4395.325, 51.21117, 0.2322529, -0.3471949, 0.7235197, -0.5495758, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_2.ymap
csx_rvrbldr_mede_, 315.7735, 4379.52, 54.44322, -0.5140691, -0.02243601, 0.4732731, 0.715012, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 288.2111, 4387.559, 48.48, -0.058529, 0.062704, 0.6917511, 0.7170238, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 290.1106, 4390.65, 48.80235, -0.008187997, 0.1342259, 0.008808998, 0.9908777, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 293.2383, 4389.747, 49.52116, 0.016578, 0.117471, -0.289765, 0.9497168, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 300.4562, 4391.497, 53.9514, -0.157353, -0.454744, 0.787309, -0.385477, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 297.2364, 4397.391, 52.72871, -0.2885048, 0.3763268, 0.4338758, 0.7660906, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 304.931, 4392.682, 56.01524, -0.1987259, -0.2943578, 0.8473866, 0.3947118, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 301.7306, 4396.337, 57.33067, 0.03081101, 0.3081591, -0.3759512, 0.8733552, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 300.4833, 4398.817, 56.64769, 0.08827604, 0.2812101, -0.2725511, 0.9158843, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_20.ymap
csx_rvrbldr_mede_, 675.5725, 4182.827, 38.95512, -0.03263101, 0.004962002, 0.7267362, 0.6861233, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 675.1221, 4186.543, 39.02507, -0.03259898, -0.01433999, 0.8632395, -0.5035367, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 668.0662, 4186.782, 38.47417, -0.02616999, -0.03260399, 0.7216986, -0.6909437, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 609.8414, 4193.042, 37.35893, 0.06053403, -0.08819503, 0.7326322, -0.6721662, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 616.7848, 4202.18, 40.43712, -0.101195, -0.242899, 0.8566609, 0.4437249, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 628.6241, 4190.153, 36.9514, -0.001211001, 0.06497402, -0.3094881, 0.9486802, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 656.8678, 4190.913, 37.61937, -0.1569251, -0.007109001, 0.3923132, 0.9063191, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 680.7285, 4195.245, 43.70476, -0.06814399, -0.2515869, 0.8201168, 0.5093809, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 662.307, 4193.889, 44.17015, 0.148799, -0.5546949, 0.6941238, 0.4340099, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 658.5953, 4191.924, 38.37865, -0.4588919, 0.02913099, 0.102563, 0.8820717, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_22.ymap
csx_rvrbldr_mede_, 190.6924, 4345.277, 42.06255, 0.4298199, 0.5858858, -0.3966519, -0.5609458, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_3.ymap
csx_rvrbldr_mede_, 151.5999, 4319.995, 47.60649, -0.4444622, -0.3471231, 0.6233432, 0.5416662, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_3.ymap
csx_rvrbldr_mede_, 154.0067, 4318.917, 47.1353, -0.174622, -0.4463451, 0.8316541, 0.2804191, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_3.ymap
csx_rvrbldr_mede_, 125.2317, 4358.459, 49.5247, -0.2980752, -0.5957494, 0.7408974, -0.08546906, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_3.ymap
csx_rvrbldr_mede_, 122.7055, 4359.024, 46.76476, -0.08234797, 0.165392, -0.4533209, 0.8719888, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_3.ymap
csx_rvrbldr_mede_, 172.5064, 4366.797, 60.15752, -0.5850244, -0.07002106, -0.09602207, 0.8022614, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_3.ymap
csx_rvrbldr_mede_, 167.1408, 4363.757, 58.58763, -0.09985902, -0.149111, 0.6030931, 0.7772211, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_3.ymap
csx_rvrbldr_mede_, 147.6192, 4367.768, 58.85728, -0.173951, -0.033249, 0.8270839, 0.5334489, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_long_3.ymap
csx_rvrbldr_mede_, 366.7536, 4340.13, 49.82042, -0.111997, 0.02822801, 0.1920171, 0.9745713, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_mede_, 366.2567, 4337.725, 49.25841, -0.07084303, -0.09170303, 0.9704154, 0.2118161, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_mede_, 369.8798, 4348.493, 52.45573, 0.662618, -0.030766, 0.411302, -0.6251571, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_mede_, 360.4861, 4345.11, 50.18742, -0.050668, 0.04856399, -0.603306, 0.7944157, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_mede_, 350.0666, 4350.976, 49.1964, -0.4997559, 0.3637479, -0.149332, 0.7717717, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_mede_, 369.0343, 4345.598, 51.48119, -0.138421, 0.05180599, -0.6929768, 0.7056478, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_4.ymap
csx_rvrbldr_mede_, 601.7699, 4193.292, 37.1848, -0.03083899, -0.09043596, 0.9947106, 0.03769898, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_5.ymap
csx_rvrbldr_mede_, 1310.409, 4302.731, 36.49678, -0.154102, 0.02410901, 0.152676, 0.97589, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_critical_3.ymap
csx_rvrbldr_mede_, 1440.51, 4344.323, 36.27661, 0.233237, -0.126134, 0.8049241, -0.5308371, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_critical_3.ymap
