ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_smla_, 911.5979, 4388.567, 30.71729, -0.122191, 0.059007, 0.536352, 0.833015, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_0.ymap
csx_rvrbldr_smla_, 926.3191, 4383.977, 33.85168, 0.032932, 0.196103, -0.6360521, 0.745585, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 936.5642, 4398.204, 40.87207, -0.1917819, -0.1428429, 0.9392926, 0.2460589, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 937.9197, 4397.688, 41.03296, -0.167844, 0.172682, -0.221401, 0.944982, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 958.8074, 4400.425, 44.37329, -0.189077, 0.04661901, -0.189668, 0.9623423, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 959.363, 4397.329, 43.82446, -0.18892, 0.118271, 0.80864, 0.544447, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 958.2478, 4403.418, 45.37354, -0.142918, 0.012107, 0.4622069, 0.8750958, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 958.2156, 4397.34, 43.43481, -0.139009, -0.013354, 0.8258349, 0.546347, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 941.8254, 4339.555, 35.03455, -0.126665, 0.145444, 0.4293389, 0.8823096, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 928.8098, 4369.307, 32.60437, -0.154121, 0.029914, 0.9492669, 0.272478, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 930.5842, 4361.495, 32.9198, -0.157774, -0.004206999, 0.9810647, 0.112257, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 931.1047, 4349.896, 32.68188, 0.02980101, 0.1518541, -0.2871511, 0.9453023, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 956.3362, 4317.235, 31.22192, 0.008915003, -0.09084203, 0.8760163, -0.4735651, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1012.996, 4272.852, 31.55688, -0.1811681, -0.1873741, 0.9282016, 0.2655391, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1013.445, 4271.491, 31.52588, -0.05161098, 0.08587097, -0.2910169, 0.9514576, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1012.563, 4276.101, 32.51782, -0.147519, 0.104792, 0.2277341, 0.9567622, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1013.439, 4275.377, 32.5166, -0.130391, -0.003271, 0.7317148, 0.6690148, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1014.129, 4268.355, 31.1106, -0.047096, 0.09493, -0.394699, 0.912679, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 978.0662, 4319.172, 34.32935, -0.07083105, 0.1073381, -0.5021353, 0.8551735, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 985.8342, 4318.663, 35.2251, -0.01588, -0.107481, 0.8573669, -0.503108, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 973.2507, 4317.114, 33.15601, -0.124918, 0.013263, 0.420218, 0.8986859, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1031.723, 4247.393, 31.67676, 0.012611, 0.135669, -0.5495171, 0.8242972, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1032.756, 4242.774, 31.39087, -0.05643999, 0.08358798, 0.290415, 0.9515706, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1033.715, 4232.375, 31.20435, -0.007236003, 0.108687, 0.003311001, 0.9940441, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1052.351, 4208.633, 32.64404, 0.097264, -0.108012, 0.91075, -0.386533, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1085.684, 4217.719, 31.08203, 0.08082903, -0.004379003, 0.7734843, -0.6286252, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1074.904, 4301.778, 31.69287, 0.123452, 0.003836002, 0.9677603, 0.2195111, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1072.449, 4324.293, 32.33545, 0.006823998, -0.132432, 0.05273798, 0.9897646, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1073.311, 4354.649, 29.99634, 0.06770901, 0.03761001, 0.9956753, -0.05130201, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1069.135, 4359.662, 30.23779, 0.135605, -0.169277, 0.07323401, 0.973444, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1065.671, 4378.809, 35.47632, -0.06136402, -0.2232521, 0.9647924, -0.1247751, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1107.409, 4347.401, 34.06396, -0.02524499, 0.100783, -0.258471, 0.9604157, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1114.993, 4333.944, 33.82495, -0.08636004, -0.04140902, 0.9953454, 0.010724, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1108.866, 4300.057, 30.74976, 0.02290099, -0.09521496, 0.8747907, -0.4745008, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1127.385, 4304.085, 31.01294, -0.09519001, -0.005110001, -0.15697, 0.9829919, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1144.811, 4311.147, 32.29541, -0.185669, -0.023718, -0.258873, 0.9476019, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1168.528, 4312.327, 32.24634, -0.002669, -0.1621899, 0.9381555, 0.3058619, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, 1169.858, 4312.012, 32.09302, -0.2119171, -0.02520801, 0.2728311, 0.9380932, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smla_, -1713.639, 4499.943, -0.139725, 0.05022799, 0.102356, 0.8918809, -0.4376629, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_0.ymap
csx_rvrbldr_smla_, -1741.895, 4471.78, 0.703156, 0.07528396, 0.06917797, 0.3632938, 0.9260477, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_0.ymap
csx_rvrbldr_smla_, -1541.827, 4471.771, 18.07812, -0.04626101, -0.04465001, -0.6930311, 0.718035, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_smla_, -1503.289, 4409.155, 19.25042, -0.044258, 0.04259101, 0.69209, 0.719193, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_smla_, -1550.056, 4459.302, 16.18474, -0.089372, -0.04377, -0.437653, 0.89362, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_smla_, -1543.403, 4465.521, 18.07404, 0.07421901, 0.266735, 0.9257391, -0.257587, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_smla_, -1491.242, 4462.968, 14.76916, -0.3071732, -0.03195401, -0.09840904, 0.9460123, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
csx_rvrbldr_smla_, -1492.765, 4317.222, 4.640366, -0.001538, -0.02415301, 0.3848731, 0.9226522, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_1.ymap
