ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_smlb_, 906.5125, 4398.149, 31.45142, -0.08714899, 0.08120599, -0.274036, 0.9543139, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_0.ymap
csx_rvrbldr_smlb_, 920.7034, 4384.665, 32.28137, -0.1550819, 0.05654697, 0.6076647, 0.7768498, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 928.0164, 4385.745, 34.85217, -0.09037701, -0.177124, 0.830815, -0.519813, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 924.0188, 4388.809, 34.01758, 0.019702, 0.167508, -0.6241959, 0.7628449, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 923.8231, 4391.137, 34.30786, -0.1707901, 0.09727605, 0.6518003, 0.7324784, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 933.0896, 4395.323, 38.71313, -0.1701409, 0.08811896, 0.2931789, 0.9366607, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 957.4392, 4397.471, 43.28564, -0.03313202, -0.06431903, 0.9020554, -0.4255132, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 958.7842, 4400.571, 44.43237, -0.1855819, -0.05904898, 0.3410929, 0.9196348, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 953.0291, 4393.319, 42.06836, -0.08979097, 0.09634596, 0.1894309, 0.9730216, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 938.343, 4348.895, 34.99133, -0.1576741, 0.04320202, 0.9817065, 0.09759605, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 940.3948, 4336.004, 33.72742, -0.020834, 0.163133, -0.569682, 0.8052428, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 941.8547, 4334.323, 33.60364, -0.02817899, 0.1743109, -0.6735758, 0.7177168, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 939.8792, 4333.375, 32.8811, 0.011354, -0.1694641, 0.7304212, -0.6615422, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 941.9714, 4331.398, 32.76941, -0.165932, -0.04025801, 0.736389, 0.654658, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 942.3621, 4340.316, 35.32751, 0.07364499, 0.1782539, -0.5980389, 0.7779148, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 933.8591, 4348.521, 33.52356, -0.06300304, 0.1469841, 0.4450473, 0.8811125, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 951.3186, 4324.28, 32.44043, -0.1895391, -0.009188006, 0.5663045, 0.8020535, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 955.6575, 4319.075, 31.49561, 0.01849699, -0.09339095, 0.8367775, -0.5392027, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 968.0417, 4318.073, 32.89063, 0.02916001, -0.131078, 0.8541943, -0.5023152, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1012.426, 4272.911, 31.4895, -0.02356, -0.133213, 0.975666, -0.172555, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1007.469, 4280.454, 32.09082, -0.140949, -0.028298, 0.5626259, 0.8141159, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1003.434, 4282.24, 31.72827, -0.01798, -0.07586101, 0.9154192, -0.3948791, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1001.47, 4284.19, 31.78979, -0.03335901, -0.07046501, 0.9775151, -0.195924, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1006.059, 4282.754, 32.33447, -0.139261, 0.12212, -0.06430598, 0.9805906, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1014.991, 4268.827, 31.21851, -0.088831, 0.0363, -0.509275, 0.855237, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1017.802, 4262.136, 30.82263, -0.006486002, 0.09496605, -0.5553172, 0.8261732, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1022.193, 4262.759, 31.61072, -0.06192999, -0.07660299, 0.9770048, -0.189099, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 972.8833, 4322.479, 34.69434, -0.195284, -0.017446, 0.268559, 0.9430991, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1033.126, 4244.551, 31.57056, -0.1216591, 0.009537008, 0.8177914, 0.5624282, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
csx_rvrbldr_smlb_, 1037.356, 4239.206, 32.19434, -0.167705, 0.169157, 0.627487, 0.7412969, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_13_strm_1.ymap
