ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_rvrbldr_smlc_, -30.67793, 4370.302, 33.05455, -0.398599, 0.006224005, -0.6266961, 0.6695761, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, -24.75464, 4374.847, 32.07233, -0.177852, -0.5452521, 0.5593691, 0.5984772, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, -12.99171, 4393.693, 33.92583, 0.219924, -0.370518, 0.7990529, 0.419362, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, -10.83345, 4394.51, 32.54059, 0.2930531, -0.1970121, 0.9343701, -0.04752701, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, -11.37888, 4403.463, 34.08232, 0.08515102, -0.25043, -0.278397, 0.9233251, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, -13.61835, 4402.025, 36.39336, 0.4232181, 0.122339, 0.8442471, -0.305232, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, -13.06738, 4410.125, 34.29655, 0.3834001, 0.145393, 0.8317032, -0.3743461, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, 3.444183, 4411.274, 34.51134, -0.2036191, -0.4040282, 0.8880506, 0.08165005, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, 1.12207, 4412.268, 35.50926, -0.2643309, -0.3690939, 0.8734587, 0.1759799, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
csx_rvrbldr_smlc_, 4.197357, 4411.225, 35.53636, -0.1907479, -0.4461759, 0.7978687, -0.3576979, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_12_strm_1.ymap
