ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_seabed_bldr4_, -1920.36, -1135.571, -33.20485, -0.03573999, 0.07044298, 0.6425008, 0.7622028, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr4_, -1890.808, -1085.217, -21.87273, -0.03158101, 0.005332001, 0.166399, 0.9855382, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr4_, -1977.077, -1042.041, -19.29877, 0.2404909, -0.08290098, 0.8859667, -0.3877559, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_bldr4_, -440.6562, -2473.708, -9.519081, -0.05134199, -0.125968, 0.9698999, 0.201966, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rv_long_1.ymap
csx_seabed_bldr4_, -2815.558, -472.9348, -59.69545, -0.140677, -0.108364, 0.9544917, -0.2396099, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_sea_long_0.ymap
csx_seabed_bldr4_, -2817.724, -422.3955, -41.10353, 0.006248, -0.014902, 0.735266, 0.677586, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_sea_long_0.ymap
csx_seabed_bldr4_, -2764.621, -501.535, -50.04934, -0.112968, 0.089674, 0.709651, 0.689632, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_sea_long_0.ymap
csx_seabed_bldr4_, -2854.673, -386.0242, -41.72002, 0.02031699, -0.007216997, -0.6202657, 0.7840954, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_sea_long_0.ymap
csx_seabed_bldr4_, 203.5971, 835.2065, 187.8348, 0.1551581, -0.002134001, 0.0003350002, 0.9878873, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 109.1167, 848.6404, 187.7227, 0.023188, 0.07871702, 0.532662, 0.8423402, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 43.73682, 939.2418, 189.4932, 0.07631, 0.033835, 0.93625, -0.341274, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 52.49586, 882.3065, 190.4843, 0.168003, -0.04711301, 0.9717241, -0.159084, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, -126.202, 739.513, 188.6194, -0.142211, 0.12806, 0.018558, 0.9813421, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, -56.39929, 682.7601, 188.3608, 0.016279, -0.049698, 0.536009, 0.8425909, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, -285.9781, 843.7811, 189.1069, -0.001591, 0.022066, 0.9394189, -0.342057, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, -255.3254, 861.37, 188.6239, 0.012002, -0.043082, 0.983856, -0.173284, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 21.35052, 698.0038, 186.0178, -0.06557798, -0.104186, -0.006884998, 0.9923696, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 68.55241, 694.1373, 191.062, -0.191975, 0.08161301, 0.542874, 0.8134941, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 34.86872, 821.2866, 188.4665, 0.161666, 0.227862, 0.8885501, -0.363898, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 49.38172, 747.4415, 187.9433, 0.102126, 0.01687899, 0.9795377, -0.1726019, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, -124.2329, 717.7078, 190.9532, 0.198863, -0.006893001, 0.001399, 0.980002, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, -87.35468, 697.4133, 189.6147, 0.07183398, 0.05476798, 0.9040217, 0.4178339, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, -234.1761, 821.7247, 188.3118, -0.02566699, -0.02265799, 0.9907926, -0.130988, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 68.58259, 839.5912, 187.4967, 0.01531299, 0.01245899, -0.08733295, 0.9959835, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
csx_seabed_bldr4_, 60.94837, 665.6783, 188.6175, 0.017002, 0.154375, -0.2521451, 0.9551451, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
