ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
csx_seabed_rock7_, -1951.813, -1183.726, -37.461, -0.107257, -0.09358002, 0.5026702, 0.852679, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_35_long_0.ymap
csx_seabed_rock7_, 3061.75, -463.6648, -40.11072, -0.1674259, -0.004864998, -0.02863699, 0.9854566, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_sea_long_0.ymap
csx_seabed_rock7_, 3138.304, -482.3938, -51.18882, 0.113957, 0.2060431, 0.8504743, -0.4703762, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_sea_long_0.ymap
csx_seabed_rock7_, 3075.274, -1846.829, -19.34524, 0, 0, -0.3509042, 0.9364114, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_14b_sea_long_1.ymap
csx_seabed_rock7_, -605.9596, 7052.386, -37.5451, 0, 0, -0.1718201, 0.9851283, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_sea_long_2.ymap
csx_seabed_rock7_, -478.1564, 7275.956, -35.63016, 0, 0, 0.458629, 0.8886279, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_sea_long_2.ymap
csx_seabed_rock7_, -646.4764, 7056.522, -41.98166, -0.2408171, 0.04093302, 0.8995034, -0.3622502, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_sea_long_2.ymap
csx_seabed_rock7_, -1446.117, 6095.28, -144.7283, 0.06314598, 0.3998619, 0.9032047, -0.142634, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_sea_long_1.ymap
csx_seabed_rock7_, 3990.024, 3846.128, -26.67633, -0.037736, 0.034546, 0.7895431, 0.611559, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_30_sea_long_0.ymap
csx_seabed_rock7_, -2679.452, 3893.723, -11.30814, 0, 0, 0.8640536, -0.5033998, x64s.rpf\levels\gta5\_hills\country_03\country_03_metadata.rpf\cs3_01_sea_long_0.ymap
