ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_1_f, -844.2007, -267.1715, 38.38667, 0, 0, 0.849748, 0.527189, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_11_long_0.ymap
prop_rock_1_f, -845.5881, -222.7768, 36.80626, 0, 0, 0.9813346, -0.1923079, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_11_long_0.ymap
prop_rock_1_f, -849.4573, -258.8275, 39.34027, 0, 0, -0.1618751, 0.9868113, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_11_long_0.ymap
prop_rock_1_f, -846.5673, -263.4234, 38.81589, 0, 0, 0.5103061, 0.8599929, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_11_long_0.ymap
prop_rock_1_f, -904.7258, -794.0591, 14.84609, 0, 0, 0.691513, 0.722364, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_05_long_0.ymap
prop_rock_1_f, -919.1561, -760.1648, 18.60861, 0, 0, 0.5224983, 0.8526404, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_05_long_0.ymap
prop_rock_1_f, -962.1429, -789.9089, 14.90863, 0, 0, 0.8480478, 0.5299199, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_05_long_0.ymap
prop_rock_1_f, -956.3517, -809.1208, 14.6898, 0, 0, 0.9692308, 0.2461539, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_05_long_0.ymap
prop_rock_1_f, -946.6891, -735.512, 18.88856, 0, 0, -0.05233698, 0.9986295, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_05_long_0.ymap
prop_rock_1_f, -959.2543, -714.6095, 18.91965, 0, 0, 0.7071065, 0.7071072, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_05_long_0.ymap
prop_rock_1_f, -927.0231, -703.3996, 19.19636, -0.040093, 0.05329201, -0.665038, 0.7438259, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_05_long_0.ymap
prop_rock_1_f, -1241.818, -1010.129, 4.790409, 0, -0.04741302, 0, 0.9988754, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_07_long_0.ymap
prop_rock_1_f, -1237.106, -1024.43, 4.682949, 0.1676089, -0.1080019, 0.2809819, 0.9387715, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_07_long_0.ymap
prop_rock_1_f, -1226.738, -999.9058, 3.859623, 0.04736799, -0.002068, 0.9979247, 0.04356999, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_07_long_0.ymap
prop_rock_1_f, -1122.31, -991.9335, -2.039536, 0.041006, -0.096361, 0.91509, 0.389414, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1123.165, -990.3326, -2.00548, -0.1991049, 0.03015399, -0.5714219, 0.7955658, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1124.857, -991.8531, -2.135332, -0.1093321, -0.1126231, 0.2696472, 0.9500805, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1162.131, -1013.761, -2.299964, 0, 0, 0.3019681, 0.953318, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1050.612, -1089.712, -1.631218, -0.015255, 0.105596, 0.732527, -0.672325, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1052.339, -1090.445, -1.752045, 0.017215, 0.08901702, 0.9878272, 0.1264, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1014.553, -1178.583, -1.849052, 0.06294803, 0.08369303, -0.120303, 0.9871982, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1016.115, -1177.25, -1.575798, 0.07343801, -0.187507, 0.9746912, -0.09708302, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1017.1, -1178.495, -1.592293, 0.1522001, -0.03837303, 0.6879706, 0.7085614, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1017.138, -948.3416, -2.698547, -0.02739099, 0.06597798, 0.9969887, 0.03017299, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1034.339, -941.1433, -2.702187, 0.06294803, 0.08369303, -0.120303, 0.9871982, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1035.195, -939.5425, -2.326851, 0.07343801, -0.187507, 0.9746911, -0.09708402, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -1036.887, -941.0632, -2.456703, 0.1522001, -0.03837303, 0.6879706, 0.7085614, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -996.7089, -1041.386, -1.512593, 0.07137199, -0.179996, 0.9427677, -0.2714709, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -997.6093, -1042.756, -1.707982, 0.08121602, 0.09026302, -0.4428892, 0.8883163, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -995.6713, -1043.087, -2.019521, 0.042914, -0.119984, 0.9556099, -0.265654, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -938.547, -1151.492, -2.042504, -0.1799961, -0.07137202, 0.2714691, 0.9427683, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -937.579, -1150.19, -2.202148, -0.09026299, 0.08121599, 0.8883169, 0.4428879, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -939.5321, -1149.855, -2.482444, 0.01271501, 0.05838403, 0.3171462, 0.9464924, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -926.3919, -1131.639, -2.401645, 0.06294803, 0.08369303, -0.120303, 0.9871982, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -927.2474, -1130.038, -2.026309, 0.07343801, -0.187507, 0.9746911, -0.09708402, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -928.9398, -1131.559, -2.156161, 0.1522001, -0.03837303, 0.6879706, 0.7085614, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -917.8124, -1043.166, -1.917531, -0.066021, 0.027286, 0.726312, -0.683643, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -903.9374, -1066.137, -1.777497, -0.07680797, -0.1777439, 0.8585957, 0.4746798, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -905.3278, -1065.253, -1.91047, -0.121254, -0.006396999, 0.9413039, -0.3149659, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -905.687, -1067.211, -2.092427, -0.05449601, -0.115187, 0.8635641, 0.487872, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_ca_strm_0.ymap
prop_rock_1_f, -2953.154, 311.8718, 29.38416, -0.15667, 0.163714, 0.703685, 0.673409, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_f, -2962.156, 303.8638, 27.44419, -0.15667, 0.163714, 0.703685, 0.673409, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_long_5.ymap
prop_rock_1_f, -1975.097, 253.9905, 86.4555, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_long_0.ymap
prop_rock_1_f, -1991.323, 225.6452, 86.8251, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_long_0.ymap
prop_rock_1_f, -1992.517, 224.5295, 86.8251, 0, 0, 0.5429871, 0.8397411, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_long_0.ymap
prop_rock_1_f, -1981.144, 194.6472, 85.31549, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_f, -1982.524, 196.343, 85.34155, 0, 0, 0.9762959, -0.21644, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_f, -1981.739, 193.6054, 85.39004, 0, 0, 0.9762959, -0.21644, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_f, -1976.291, 252.8748, 86.4555, 0, 0, 0.5429871, 0.8397411, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_06_strm_1.ymap
prop_rock_1_f, -2846.562, 2166.25, 32.57895, -0.135704, -0.027738, 0.9779091, 0.156553, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_long_0.ymap
prop_rock_1_f, -2844.548, 2168.364, 32.17236, 0.108807, -0.02855401, 0.8359434, 0.5371632, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_long_0.ymap
prop_rock_1_f, -3084.45, 1134.682, 19.95314, 0.003274999, -0.001008, -0.3145769, 0.9492258, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3067.496, 1148.37, 20.93437, -0.1253091, 0.05901302, -0.09397604, 0.9858923, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3081.455, 1099.038, 19.55663, -0.010213, -0.009482004, 0.9809355, -0.1938341, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3080.082, 1107.152, 19.70691, -0.09388, 0.10184, 0.284034, 0.948757, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3098.873, 1073.382, 19.38823, -0.006611001, -0.004796001, -0.09799802, 0.9951531, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3073.843, 1119.667, 20.4669, -0.07654902, 0.013985, 0.9834932, 0.163358, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3074.241, 1116.817, 20.49101, -0.012219, 0.09292099, 0.283284, 0.9544457, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3082.415, 1165.002, 19.66476, 0, 0, 0.8492059, -0.5280619, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3121.15, 1005.048, 17.2142, -0.029653, -0.023223, 0.994981, 0.092705, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3133.355, 980.7533, 14.80702, 0.06499003, 0.1223161, 0.9892785, 0.04629502, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3105.354, 1047.039, 19.07549, -0.009578999, -0.006079999, 0.110765, 0.9937819, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3104.764, 1050.012, 19.14186, 0.001905, -0.010762, 0.99001, 0.140573, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, -3087.077, 1049.23, 21.23531, 0.004730003, 0.192133, 0.5697939, 0.7989978, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_10_long_2.ymap
prop_rock_1_f, 1751.311, -107.335, 181.2251, 0, 0, 0.2480329, 0.9687516, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_06_strm_2.ymap
prop_rock_1_f, 1758.572, 119.5194, 170.2802, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_08_long_2.ymap
prop_rock_1_f, 1044.87, -13.30062, 78.44714, -0.04794601, -0.06698, 0.5759941, 0.8132931, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1037.628, -8.898605, 79.437, -0.09232901, -0.02683401, -0.277793, 0.9558171, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1042.425, -12.09494, 78.77571, -0.07187598, -0.018114, -0.243709, 0.9670117, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1056.619, -39.2802, 75.77133, -0.07025295, 0.01760099, 0.6329026, 0.7708365, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1049.937, -41.95286, 75.14497, -0.01593601, 0.05463903, 0.7832254, 0.6191273, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1053.927, -40.1141, 75.41663, -0.03554999, 0.036887, -0.010581, 0.9986308, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1065.693, 31.90681, 79.70592, 0, 0, -0.279086, 0.9602661, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1067.384, 31.9587, 79.70592, 0, 0, 0.9916732, -0.1287801, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1072.92, 32.85729, 79.70592, 0, 0, -0.108699, 0.9940747, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1071.44, 31.04934, 79.70592, 0, 0, 0.8686388, 0.4954459, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1106.993, 6.684315, 79.7794, 0, 0, 0.8686388, 0.4954459, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1108.604, 7.434834, 79.75768, 0, 0, -0.108699, 0.9940747, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1105.293, 1.720875, 79.7794, 0, 0, 0.112905, 0.9936058, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1116.626, 38.68792, 79.69676, 0, 0, 0.112905, 0.9936058, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1117.992, 40.51433, 79.69676, 0, 0, 0.8859723, -0.4637382, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1111.056, 40.26238, 79.67113, 0, 0, 0.3472549, 0.9377708, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1142.94, 82.52248, 79.67113, 0, 0, -0.585681, 0.8105417, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1137.629, 90.7837, 79.69676, 0, 0, 0.7625309, -0.6469519, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
prop_rock_1_f, 1138.745, 88.18112, 79.69676, 0, 0, 0.878467, 0.477803, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_12_long_0.ymap
