ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_1_g, -136.3707, -413.1365, 32.97514, -0.001892, 0.000359, 0.9871081, -0.160044, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_g, -155.3577, -452.0041, 32.64509, 0.06664701, 0.07538001, 0.9256661, 0.3647171, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_g, -154.9902, -440.9974, 32.62961, 0.089748, -0.019918, 0.7388309, 0.6675909, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_g, -110.6849, -413.1995, 34.33569, -0.157636, -0.001656996, 0.5981679, 0.7857119, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_g, -146.5304, -438.1512, 32.5216, -0.020448, 0.05812801, 0.9284883, 0.3662141, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_g, -126.0955, -387.7539, 33.83718, -0.05382501, -0.046173, 0.8502991, -0.5215001, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_g, -132.3166, -379.5973, 33.15261, 0.014224, 0.050195, -0.622282, 0.7810527, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_g, -58.92052, -425.1567, 37.11503, -0.004849001, -0.01898701, 0.9823782, 0.185874, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_26_long_0.ymap
prop_rock_1_g, 791.4486, -211.7541, 66.6196, -0.2374279, 0.05874597, 0.01438699, 0.9695204, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 798.6219, -215.6423, 66.68396, -0.2371581, 0.111966, 0.02361401, 0.9647083, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 764.261, -198.4955, 66.71321, -0.2171649, 0.04740999, 0.010561, 0.9749257, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 828.2543, -233.6527, 65.87077, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 808.2563, -221.7936, 66.49347, -0.1688299, 0.06833798, 0.014406, 0.9831678, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 778.4137, -205.5084, 66.63592, -0.2435451, 0.02874201, -0.05671501, 0.9678032, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 813.0968, -224.8394, 66.37753, -0.08473801, 0.007461001, 0.0006350001, 0.9963751, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 783.1854, -207.8527, 66.76367, -0.2032391, 0.07246802, 0.015085, 0.9763272, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 740.9473, -197.679, 66.86166, -0.17226, -0.225213, -0.297544, 0.9116321, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 749.5806, -191.9606, 66.4937, -0.2835132, 0, 0, 0.9589683, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 737.296, -205.0897, 66.64632, -0.1260681, -0.2953461, 0.06301902, 0.9449371, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 733.4247, -210.8585, 66.69917, -0.07652497, -0.05446998, 0.113528, 0.9890846, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 755.337, -192.3101, 67.65883, -0.1823619, 0.1589999, -0.3153808, 0.9176046, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 773.1799, -200.4978, 67.78723, -0.2023921, 0.07094903, 0.05307002, 0.9752883, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 727.7853, -224.4442, 65.59259, -0.07596304, -0.1102191, 0.1660991, 0.9769813, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_rock_1_g, 885.2384, -496.0655, 56.50536, 0.007984, -0.042882, 0.798341, 0.600624, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_a_long_0.ymap
prop_rock_1_g, 1004.509, -434.9503, 63.3524, -0.02087699, 0.002237999, 0.9587775, 0.2833809, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_a_long_0.ymap
prop_rock_1_g, 992.4935, -420.6852, 62.73524, -0.001157999, -0.004123998, 0.7191886, 0.6948017, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_a_long_0.ymap
prop_rock_1_g, 969.7497, -457.2558, 61.40263, -0.03949701, -0.01851001, 0.7820613, -0.6216732, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_a_long_0.ymap
prop_rock_1_g, 963.4636, -433.4331, 62.19561, 0.07137897, -0.02833599, 0.7755247, -0.6266287, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_a_long_0.ymap
prop_rock_1_g, 964.4555, -435.4232, 61.85188, 0.02541199, -0.07236999, 0.7748118, -0.6275218, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_a_long_0.ymap
prop_rock_1_g, 972.4105, -425.8809, 62.73274, -0.003615, -0.001809, 0.69775, 0.71633, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_21_a_long_0.ymap
