ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_3_i, -307.8519, -2410.127, -4.285805, -0.05469799, 0.035495, 0.8736069, -0.482244, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_02_long_0.ymap
prop_rock_3_i, -361.5281, -2447.979, -4.430847, -0.05469799, 0.035495, 0.8736069, -0.482244, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_02_long_0.ymap
prop_rock_3_i, -384.5179, -2513.476, -7.438385, -0.05469799, 0.035495, 0.8736069, -0.482244, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_02_long_0.ymap
prop_rock_3_i, -273.4901, -2537.4, -3.487709, -0.07258399, -0.01337, 0.8708168, -0.4860359, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_02_long_0.ymap
prop_rock_3_i, 581.7102, -2155.004, 7.058517, 0, 0, 0.9555371, 0.294871, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_long_0.ymap
prop_rock_3_i, 583.0416, -2163.419, 7.058517, 0, 0, 0.9555371, 0.294871, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_long_0.ymap
prop_rock_3_i, 571.2693, -2068.247, 16.07602, 0.05456501, 0.05008201, 0.7346961, -0.6743412, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_long_0.ymap
prop_rock_3_i, 564.2362, -2069.274, 17.15179, 0.05456501, 0.05008201, 0.7346961, -0.6743412, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_long_0.ymap
prop_rock_3_i, 579.6806, -2076.089, 15.09448, 0.04805401, 0.05635902, 0.8114012, -0.5797781, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_09_long_0.ymap
prop_rock_3_i, 283.9212, 731.3194, 181.1425, -0.121903, -0.06184601, -0.448191, 0.8834249, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05_long_0.ymap
prop_rock_3_i, 242.0023, 733.5753, 191.5961, -0.259479, -0.07258599, -0.259433, 0.9274139, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 265.2492, 810.6667, 192.5833, 0.090189, 0.105718, 0.753392, -0.6427211, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 216.7168, 741.8577, 201.1514, -0.186178, -0.04093901, -0.210823, 0.9587572, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 194.4954, 776.7269, 205.5813, -0.003386002, -0.001254001, -0.3473862, 0.9377152, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 201.9512, 668.3957, 189.5313, -0.189063, -0.177137, -0.6603711, 0.7048318, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 126.2432, 748.3181, 208.2923, -0.031332, -0.006247, -0.195435, 0.9801961, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 177.3062, 742.5211, 205.1041, -0.04965099, -0.031263, -0.5319049, 0.8447689, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 149.8182, 780.0561, 209.0802, 0.010764, -0.02168301, 0.9832802, 0.180483, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 113.403, 623.8856, 204.084, -0.153406, -0.02858401, -0.1809321, 0.9710371, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 170.2637, 776.8703, 207.8833, -0.05688401, -0.019346, -0.6335662, 0.771352, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 205.4676, 713.0459, 197.4402, -0.05613103, -0.07416405, -0.5835473, 0.8067352, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 206.7926, 722.4802, 197.9338, 0.07567105, -0.09660005, 0.9260694, 0.3568442, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 176.6468, 691.0118, 204.6537, 0.018928, -0.100267, 0.229012, 0.9680609, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 127.4062, 584.7961, 184.1709, -0.217048, -0.1315001, 0.2955301, 0.9210103, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, 147.9947, 581.6467, 183.7707, -0.140719, -0.190441, 0.715865, 0.656862, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_05b_long_0.ymap
prop_rock_3_i, -96.28999, 894.2227, 235.0602, 0, 0, 0.9537169, 0.300706, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_06_long_0.ymap
prop_rock_3_i, -682.3735, 449.8181, 109.2, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_07_long_0.ymap
prop_rock_3_i, -1497.105, 904.415, 180.6146, 0, 0, 0.9537169, 0.300706, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_10_long_0.ymap
prop_rock_3_i, 2523.292, 2651.527, 37.34826, -0.02755401, -0.007590002, -0.011428, 0.9995262, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_01_long_1.ymap
prop_rock_3_i, -449.3182, 6230.036, 28.508, 0.007338004, 0.02407201, 0.8016034, 0.5973263, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_long_0.ymap
prop_rock_3_i, -478.6288, 6077.397, 28.64975, 0.023978, 0.036467, 0.8012781, 0.596698, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_long_0.ymap
prop_rock_3_i, -815.8405, 5549.75, 29.15258, -0.1898061, 0.08175503, 0.3870521, 0.8985991, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_2.ymap
prop_rock_3_i, -811.6364, 5556.706, 29.14492, -0.174651, 0.06827602, 0.3576371, 0.9148394, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_2.ymap
prop_rock_3_i, -831.2582, 5572.881, 30.60165, 0.00455, 0.09512999, 0.994318, -0.047553, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_2.ymap
prop_rock_3_i, -716.8635, 5911.848, 16.27692, -0.009446, 0.06734299, 0.9880139, 0.13858, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_2.ymap
prop_rock_3_i, -694.6304, 5891.641, 17.01215, -0.05737401, -0.031872, -0.484568, 0.8722879, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_2.ymap
prop_rock_3_i, -692.252, 5888.376, 16.32735, 0.05225501, -0.008596001, 0.9483841, -0.312671, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_2.ymap
prop_rock_3_i, -807.312, 5499.342, 22.2591, -0.116906, 0.06362599, 0.473784, 0.8705248, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_4.ymap
prop_rock_3_i, -806.9896, 5510.592, 24.41446, -0.08817302, 0.08346902, 0.6823821, 0.720842, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_4.ymap
prop_rock_3_i, -850.7451, 5472.966, 26.58069, -0.011421, 0.09877201, 0.9884591, 0.114291, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_4.ymap
prop_rock_3_i, -864.5062, 5503.971, 20.40162, 0.144444, 0.120953, 0.9156409, 0.355117, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_4.ymap
prop_rock_3_i, -861.7644, 5499.606, 20.41223, -0.03552799, 0.163124, 0.9371809, 0.306301, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_long_4.ymap
prop_rock_3_i, -987.7327, 4997.399, 183.0858, 0.138988, -0.08053203, -0.129057, 0.9785404, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_long_1.ymap
prop_rock_3_i, -1036.772, 4983.618, 196.0405, 0.017078, 0.2193789, 0.9725478, -0.07570998, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_long_1.ymap
prop_rock_3_i, -1041.935, 5083.798, 156.7232, 0.137016, 0.253135, 0.9278829, 0.237029, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_long_2.ymap
prop_rock_3_i, -1037.549, 5072.558, 162.1036, 0.15041, 0.114706, 0.809651, 0.555594, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_long_2.ymap
prop_rock_3_i, -1020.886, 5056.654, 165.1319, 0.2669572, -0.01828601, 0.6220284, 0.7358534, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_long_2.ymap
prop_rock_3_i, -1058.826, 5055.806, 169.702, 0.09369104, 0.1356871, 0.7798973, 0.6037973, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_long_2.ymap
prop_rock_3_i, -893.244, 5236.359, 87.40862, 0.2826419, 0.1074789, 0.7787436, 0.5496548, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_long_3.ymap
prop_rock_3_i, 1848.399, 4615.462, 30.65245, -0.038422, 0.081229, -0.280819, 0.955545, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_01_long_0.ymap
prop_rock_3_i, 1861.152, 4680.056, 31.34377, -0.06751603, 0.1185541, 0.9347554, -0.3280531, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_01_long_0.ymap
prop_rock_3_i, 1775.148, 4818.852, 33.89811, 0.09693, -0.120321, 0.372431, 0.915108, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_01_long_0.ymap
