ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_4_a, 595.2776, -1942.13, 18.7349, -0.00776, -0.019215, 0.808107, 0.588671, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_a, 591.3492, -1972.299, 18.68597, -0.008878006, 0.04043302, 0.9967705, 0.06881203, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_a, 594.9114, -1993.553, 20.19671, -0.01739301, -0.05609104, -0.6905965, 0.7208523, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_a, 585.5549, -2011.906, 23.54847, 0.04957002, 0.06914102, 0.9955283, 0.04105701, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_a, 571.0646, -1990.817, 20.88458, 0.012634, 0.145559, 0.9169793, 0.3712171, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_4_a, -1316.154, 4631.06, 111.8724, 0.206111, 0.154902, 0.9024588, 0.3450969, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_4_a, -1255.995, 4683.726, 86.59654, 0.181887, -0.3005361, -0.4707161, 0.809334, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_4_a, -1260.132, 4691.794, 83.14883, 0.2781421, 0.126556, 0.4985061, 0.8112411, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_4_a, -1233.019, 4613.209, 130.9395, -0.19558, 0.023143, 0.9106289, -0.363274, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
prop_rock_4_a, -1311.579, 4623.122, 115.1512, 0.2447371, 0.1866711, 0.9179454, 0.2502681, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
prop_rock_4_a, -1219.054, 4620.28, 133.4335, -0.005437, 0.1551689, 0.7862446, 0.5980907, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_4.ymap
prop_rock_4_a, 1935.537, 5051.444, 42.92323, -0.06627398, -0.06114398, -0.6753308, 0.7319819, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_02_strm_1.ymap
prop_rock_4_a, 2772.54, 4705.708, 44.05225, 0.03710601, 0.09246001, -0.5399531, 0.8357781, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_05_strm_0.ymap
prop_rock_4_a, 3729.527, 3831.765, 5.705276, -0.152283, -0.03511401, -0.2219261, 0.9624581, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_30_strm_0.ymap
prop_rock_4_a, 1468.077, 2448.357, 47.6314, 0.014907, 0.046714, 0.9515249, -0.303638, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_04_strm_0.ymap
prop_rock_4_a, 595.2776, -1942.13, 18.7349, -0.00776, -0.019215, 0.808107, 0.588671, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_a, 591.3492, -1972.299, 18.68597, -0.008878006, 0.04043302, 0.9967705, 0.06881203, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_a, 594.9114, -1993.553, 20.19671, -0.01739301, -0.05609104, -0.6905965, 0.7208523, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_a, 585.5549, -2011.906, 23.54847, 0.04957002, 0.06914102, 0.9955283, 0.04105701, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_a, 571.0646, -1990.817, 20.88458, 0.012634, 0.145559, 0.9169793, 0.3712171, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\hei_sc1_32_strm_0.ymap
prop_rock_4_a, -1316.154, 4631.06, 111.8724, 0.206111, 0.154902, 0.9024588, 0.3450969, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_3.ymap
prop_rock_4_a, -1255.995, 4683.726, 86.59654, 0.181887, -0.3005361, -0.4707161, 0.809334, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_3.ymap
prop_rock_4_a, -1260.132, 4691.794, 83.14883, 0.2781421, 0.126556, 0.4985061, 0.8112411, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_3.ymap
prop_rock_4_a, -1233.019, 4613.209, 130.9395, -0.19558, 0.023143, 0.9106289, -0.363274, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_14_strm_4.ymap
