ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_rock_5_d, 1416.794, -1834.768, 69.09013, 0.07264196, -0.1528589, -0.003163998, 0.9855695, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_19_strm_0.ymap
prop_rock_5_d, 1412.239, -1844.101, 71.24554, 0.007794998, -0.03776098, -0.002354999, 0.9992536, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_19_strm_0.ymap
prop_rock_5_d, 612.1788, -1900.503, 19.01916, 0.267527, -0.300434, 0.7045599, 0.5846059, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_d, 610.877, -1901.792, 20.09146, 0.367528, 0.042615, 0.895739, -0.246493, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_32_strm_0.ymap
prop_rock_5_d, 1677.537, 1238.37, 84.58524, 0.06105603, 0.1532881, -0.005272003, 0.9862794, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1673.459, 1228.401, 85.02864, 0.402161, 0.912458, -0.043322, 0.061727, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1654.61, 1168.682, 83.3551, -0.048344, 0.1980859, 0.7076588, 0.6764939, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1654.211, 1167.284, 83.46466, 0.103899, 0.261722, 0.367534, 0.886355, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1660.779, 1184.293, 83.73329, 0.08990901, 0.121367, -0.589701, 0.793372, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1653.63, 1165.813, 83.43008, -0.1592451, 0.1511041, 0.9263175, 0.3061772, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1638.865, 1110.816, 81.63007, -0.010328, 0.04294901, 0.8723132, 0.4869481, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1635.326, 1093.044, 81.185, 0.1632519, 0.2080299, 0.06582198, 0.9621537, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1606.896, 1014.726, 78.81998, -0.09705304, 0.06730102, 0.8673133, 0.4835482, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1595.04, 980.3632, 77.66, 0.05345599, 0.002011, 0.435585, 0.8985567, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1576.878, 942.1725, 76.94099, -0.06485398, -0.03947799, 0.9949017, -0.06637998, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1614.75, 1046.912, 79.34189, -0.317543, -0.06481899, 0.9415969, -0.09143499, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1648.924, 1123.274, 83.15994, -0.140967, -0.107014, 0.9449583, -0.2751911, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_0.ymap
prop_rock_5_d, 1810.584, 1600.651, 83.47665, -0.1397399, 0.05096997, 0.9100276, -0.3869428, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_1.ymap
prop_rock_5_d, 1828.023, 1609.711, 82.52444, 0.13422, 0.06240099, 0.4601999, 0.8753898, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_1.ymap
prop_rock_5_d, 2222.967, 1156.955, 70.0545, 0.443927, -0.150034, 0.8562071, 0.21755, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_2.ymap
prop_rock_5_d, 2194.786, 1206.395, 73.73209, 0.02193601, -0.06249401, 0.8197902, -0.5688211, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_2.ymap
prop_rock_5_d, 2193.277, 1208.868, 73.96021, 0.07175898, -0.04288798, 0.9332386, -0.3493949, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_2.ymap
prop_rock_5_d, 2133.191, 1288.357, 74.8558, 0.08723601, -0.0007109999, 0.995473, -0.037721, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_2.ymap
prop_rock_5_d, 2007.631, 1498.668, 74.56125, 0.1051861, -0.004933002, -0.2794572, 0.9543664, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_09_strm_2.ymap
prop_rock_5_d, 1442.51, -1869.264, 70.76904, 0, 0, 0, 1, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_11_strm_1.ymap
prop_rock_5_d, -1567.728, 5158.326, 18.7637, 0.03124002, 0.02154101, 0.8221165, -0.5680534, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_strm_1.ymap
prop_rock_5_d, -1175.638, 5364.744, 6.904186, -0.3601571, 0.127317, -0.3426091, 0.8583101, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_strm_2.ymap
prop_rock_5_d, -1212.55, 5355.923, 6.936842, -0.007871998, -0.006611999, 0.8216298, 0.5699289, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_strm_2.ymap
prop_rock_5_d, -1167.944, 5366.336, 6.812197, 0.01229, -0.07559101, -0.670146, 0.7382678, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_strm_2.ymap
prop_rock_5_d, -1200.391, 4647.759, 137.7256, 0.09756196, 0.1611369, 0.3585649, 0.9143018, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_d, -1207.641, 4631.632, 135.8766, 0.175416, 0.091648, -0.570406, 0.7971618, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_d, -1260.977, 4687.849, 84.87878, 0.104504, 0.1449601, 0.8087444, 0.5603552, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_d, -1346.567, 4715.952, 56.62672, -0.03283801, 0.2917571, 0.9537563, 0.06440903, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_d, -1314.643, 4630.899, 111.4884, 0.206111, 0.154902, 0.9024588, 0.3450969, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_d, -1302.891, 4639.626, 105.8714, 0.04450998, 0.1226979, 0.9320157, -0.3380989, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_d, -1299.187, 4644.225, 104.3176, 0.023191, 0.262383, 0.9609389, -0.08493499, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_d, -1286.306, 4635.975, 103.9792, 0.07272604, 0.09317105, 0.7827595, -0.6109974, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_14_strm_3.ymap
prop_rock_5_d, 1937.189, 5054.705, 42.51925, 0.05321199, 0.05894699, 0.739951, -0.6679569, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_02_strm_1.ymap
prop_rock_5_d, 1934.208, 5051.393, 43.12, 0.04066401, 0.05453101, 0.7997932, -0.5964091, x64r.rpf\levels\gta5\_hills\country_02\country_02_metadata.rpf\cs2_02_strm_1.ymap
