ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
rock_4_cl_2_1, 2539.512, -140.1611, 92.21547, 0.08672399, -0.016296, 0.8386579, 0.5374629, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
rock_4_cl_2_1, 2533.608, -153.7869, 92.04296, 0.07615499, -0.019098, 0.9571179, 0.278857, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
rock_4_cl_2_1, 2561.235, -138.8354, 92.0477, -0.022503, 0.016632, 0.876966, 0.479737, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
rock_4_cl_2_1, 2568.615, -131.2358, 92.30932, 0.152803, 0.020323, 0.4946479, 0.8553138, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
rock_4_cl_2_1, 2566.834, -130.7359, 92.43921, 0.10243, 0.07002901, 0.9521843, 0.2791941, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
rock_4_cl_2_1, 2567.569, -126.845, 92.15252, 0.05187601, -0.05012101, 0.7883901, -0.6109321, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
rock_4_cl_2_1, 2558.982, -158.4226, 89.83633, 0.136066, 0.9712533, 0.05797402, 0.1865261, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
rock_4_cl_2_1, 2531.527, -143.0266, 92.30833, 0.06489399, -0.007007999, 0.7881449, 0.6120189, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_04_strm_4.ymap
rock_4_cl_2_1, -78.93832, 6738.001, 1.7034, -0.025046, -0.029577, -0.536159, 0.8432269, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, 24.06085, 6766.913, 20.08905, 0.103679, -0.1863861, 0.7208672, -0.6594402, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, 57.62569, 6785.686, 18.69131, 0.02778401, 0.01931001, 0.7730983, -0.6333832, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, 41.52315, 6773.016, 19.46292, 0.08604499, -0.209943, 0.9627649, 0.146983, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, -3.094864, 6744.817, 18.80841, 0.002647, 0.05504602, 0.3166291, 0.9469472, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, 40.15736, 6782.519, 21.25986, -0.05721603, -0.06379504, 0.6356453, 0.7672102, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, -60.7767, 6786.507, 1.418488, 0.02628601, -0.006450003, 0.7797503, 0.6255053, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, -57.50725, 6790.834, 1.419067, 0.037574, 0.04787599, 0.361713, 0.9303009, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, -83.29851, 6773.187, 0.908844, -0.010613, -0.039295, 0.997366, -0.060037, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, -6.140625, 6793.012, 15.70688, -0.108904, 0.04868798, 0.9883815, -0.09418795, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_07_strm_2.ymap
rock_4_cl_2_1, -397.7861, 5844.307, 50.31799, -0.07571699, -0.04084299, -0.6179749, 0.7814767, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_10_strm_1.ymap
