ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_bush_lrg_04c, 1398.009, -1904.523, 67.90479, 0.0009790001, 0.102347, 0.05511902, 0.99322, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_bush_lrg_04c, -1140.652, -1213.949, 3.616226, -0.113018, -0.04449598, -0.5961418, 0.7936385, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_critical_1.ymap
prop_bush_lrg_04c, 2571.903, 568.2817, 105.7814, 0.029733, 0.025005, 0.204626, 0.9780689, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_03_critical_0.ymap
prop_bush_lrg_04c, 2564.879, 574.0789, 107.2865, -0.04577301, -0.05117302, -0.5275962, 0.8467163, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_03_critical_0.ymap
prop_bush_lrg_04c, 2461.174, 1222.403, 57.19467, -0.008820999, 0.05261699, 0.9848329, 0.1651, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_03_critical_0.ymap
prop_bush_lrg_04c, 2450.004, 1217.513, 58.09935, -0.01170199, 0.05437297, 0.9761025, 0.2100729, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_03_critical_0.ymap
prop_bush_lrg_04c, 2423.379, 1185.652, 62.68794, 0, 0, 0.9426596, -0.3337559, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_03_critical_0.ymap
prop_bush_lrg_04c, 2405.922, 1179.212, 62.94677, 0, 0, 0.4999528, 0.8660527, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_03_critical_0.ymap
prop_bush_lrg_04c, 2432.717, 1161.1, 71.17822, 0, 0, 0.8012542, -0.5983241, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_03_critical_0.ymap
prop_bush_lrg_04c, 2535.493, 708.3768, 99.51116, 0.02203601, 0.02317401, -0.03437401, 0.9988973, x64p.rpf\levels\gta5\_hills\cityhills_03\cityhills_03_metadata.rpf\ch3_03_critical_0.ymap
