ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_bush_lrg_04d, -2306.217, 62.9506, 121.7468, -0.2518511, -0.005560002, -0.02135901, 0.9675143, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2408.483, 183.7065, 127.1233, -0.083013, -0.296247, 0.568021, 0.763347, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2381.955, 187.1838, 140.3684, -0.030829, -0.004333, 0.989788, -0.139106, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2338.383, 166.9747, 160.0838, -0.2580869, -0.04660498, 0.7273596, 0.6341667, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2467.731, 184.0222, 140.915, 0.158119, -0.03707, 0.885389, -0.435558, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2383.924, 71.99168, 101.4386, 0.1436741, 0.1528371, -0.5988662, 0.7728893, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2413.137, 164.2944, 120.9566, -0.06341801, -0.175995, 0.4884381, 0.8523099, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2422.172, 143.4745, 119.1086, 0.17914, -0.003217, 0.9243178, -0.3369499, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2436.966, 110.7941, 112.0106, 0.174314, -0.152044, 0.9076751, -0.3501761, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2415.009, 81.18483, 98.42694, -0.151729, 0.09429302, -0.4940481, 0.8508841, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2406.24, 56.09806, 94.05676, 0.01289701, 0.2582312, 0.1654071, 0.9517304, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2333.902, -140.5191, 43.72662, -0.101761, 0.06004198, -0.06527497, 0.9908475, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2392.426, -203.6059, 31.85446, 0, 0, 0.8618542, -0.5071561, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2416.364, -214.7593, 18.75922, 0, 0, 0.7492496, -0.6622877, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2347.632, -198.4744, 25.66003, -0.130547, -0.08166499, 0.8273049, 0.5402359, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2320.908, -78.80328, 78.10309, -0.008900996, -0.3584259, 0.8555858, 0.3733959, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2434.98, -120.0912, 40.56927, 0, 0, 0.9944755, 0.10497, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2484.962, -71.19189, 48.03375, 0.07220601, -0.223136, 0.7055281, -0.66875, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2461.094, -150.6857, 37.10193, 0, 0, 0.9586936, 0.2844409, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2468.437, -2.660431, 69.81647, -0.1829389, -0.105686, -0.2367159, 0.9483297, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
prop_bush_lrg_04d, -2359.81, -249.6008, 15.05987, -0.06150799, -0.037105, 0.9047069, -0.4199349, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_01_critical_0.ymap
