ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_desert_iron_01, 1034.578, -2261.591, 29.82706, 0, 0, 0.9254335, -0.3789102, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_06_long_0.ymap
prop_desert_iron_01, 1003.028, -2291.854, 29.87494, 0.03627602, 0.02493201, 0.8233274, -0.5658573, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_06_long_0.ymap
prop_desert_iron_01, -1920.807, 2023.906, 139.215, 0.0005479998, 0.02952001, 0.3429071, 0.9389052, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_long_3.ymap
prop_desert_iron_01, -1402.95, 498.7274, 119.9722, 0, 0, -0.5018953, 0.8649284, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_0.ymap
prop_desert_iron_01, -1305.12, 613.5433, 133.5962, -0.016388, 0.107601, -0.4203571, 0.9008071, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_0.ymap
prop_desert_iron_01, -1361.531, 531.0491, 121.3559, 0, 0, -0.5018953, 0.8649284, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_long_0.ymap
prop_desert_iron_01, -710.0238, 464.2437, 106.8546, 0, 0, 0.6087614, 0.7933534, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_long_0.ymap
prop_desert_iron_01, -577.7218, 668.1417, 146.6871, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_long_1.ymap
prop_desert_iron_01, -1196.606, 579.6742, 99.27795, 0, 0, 0.3813499, 0.9244308, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_strm_0.ymap
prop_desert_iron_01, -366.2078, 575.6655, 126.5226, 0, 0, 0.9993889, 0.034955, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_long_0.ymap
