ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_joshua_tree_02e, 35.72763, -1862.344, 21.89739, 0, 0, 0.3826829, 0.9238797, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_1.ymap
prop_joshua_tree_02e, -708.8492, -1054.244, 14.22165, 0, 0, 0.9914449, 0.130526, x64l.rpf\levels\gta5\_cityw\koreatown_01\koreatown_metadata.rpf\kt1_rd_long_1.ymap
prop_joshua_tree_02e, -2604.633, 1866.2, 166.2206, 0.01688599, 0.014106, -0.3122729, 0.9497376, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09_long_2.ymap
prop_joshua_tree_02e, 2884.021, 4041.119, 50.12598, 0.005974999, -0.006049, 0.4429179, 0.8965219, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_11_long_1.ymap
prop_joshua_tree_02e, 377.8127, 2685.7, 46.37302, 0, 0, 0, 1, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_13_long_1.ymap
prop_joshua_tree_02e, 518.2261, 2721.508, 42.51215, 0, 0, 0.797949, 0.6027251, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_13_long_1.ymap
prop_joshua_tree_02e, 1204.567, 3010.592, 40.29548, 0.002322001, 0.03043501, 0.4594171, 0.887696, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1318.507, 2945.877, 40.70778, 0.012671, -0.01342, 0.7235379, -0.690038, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1319.892, 2971.611, 39.65667, -0.017007, -0.007169002, 0.3929511, 0.9193742, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1350.292, 2982.807, 40.34606, -0.042333, -0.05982301, 0.9469551, -0.312898, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1348.011, 3052.919, 41.63158, -0.02699701, 0.02895301, 0.9735984, -0.2248091, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1347.883, 3042.912, 41.99686, -0.032007, 0.004672999, 0.9833509, -0.178815, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1376.791, 3040.396, 42.20454, -0.015667, -0.011601, -0.2506569, 0.9678797, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1358.211, 3024.316, 42.10342, 0.024597, -0.005129001, 0.7901371, -0.6124151, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1249.958, 2953.822, 40.0309, -0.006204003, -0.01738301, 0.9433073, 0.3314071, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1250.248, 2951.581, 40.05312, 0.012904, -0.013196, 0.7113851, -0.7025601, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, 1258.305, 2955.157, 39.73827, -0.016466, -0.008338, 0.456126, 0.8897238, x64t.rpf\levels\gta5\_hills\country_04\country_04_metadata.rpf\cs4_14_long_0.ymap
prop_joshua_tree_02e, -58.36839, 2881.579, 57.71298, 0, 0, 0.9996046, -0.02811899, x64u.rpf\levels\gta5\_hills\country_06\country_06_metadata.rpf\cs6_10_long_0.ymap
prop_joshua_tree_02e, 2884.021, 4041.119, 50.12598, 0.005974999, -0.006048999, 0.4429179, 0.8965219, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_11_long_1.ymap
prop_joshua_tree_02e, 377.8127, 2685.7, 46.37302, 0, 0, 0, 1, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_13_long_1.ymap
prop_joshua_tree_02e, 518.2261, 2721.508, 42.51215, 0, 0, 0.797949, 0.6027251, update\update.rpf\dlc_patch\mplowrider\x64\levels\gta5\_hills\country_04\country_04_metadata.rpf\lr_cs4_13_long_1.ymap
