ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_fan_02_a, 985.495, -198.1795, 70.70099, 0, 0, 0.9834787, 0.1810239, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_fan_02_a, 942.379, -186.6066, 73.15973, 0, 0, 0.9762959, -0.21644, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_long_1.ymap
prop_palm_fan_02_a, 1081.847, -2598.663, 11.09654, -0.03660002, 0.01488001, -0.6431823, 0.7646932, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_palm_fan_02_a, 1101.303, -2591.135, 16.68164, -0.05242798, -0.003954998, -0.6420857, 0.7648278, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_critical_1.ymap
prop_palm_fan_02_a, 1112.426, -1678.452, 28.4421, 0.02854301, -0.02469101, 0.8632592, -0.5033481, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1107.855, -1615.009, 28.67435, 0.02094799, 0.05378099, -0.06009398, 0.9965227, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1188.629, -1652.832, 41.09205, 0, 0, 0.8035004, 0.5953043, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1251.186, -1652.163, 47.45728, 0, 0, 0.9783016, -0.2071859, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1211.425, -1670.475, 40.56928, 0, 0, 0.9783016, -0.2071859, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1230.488, -1602.026, 52.32475, 0, 0, 0.9783016, -0.2071859, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1182.318, -1624.582, 42.67023, 0, 0, 0.8291488, 0.5590279, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1031.1, -1579.404, 28.0588, 0.05044601, 0.03738501, 0.6028661, 0.795368, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1033.226, -1588.839, 28.18435, 0.02642301, 0.05131201, 0.043794, 0.997372, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1334.986, -1693.009, 59.44952, 0, 0, 0.7003548, 0.7137949, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1268.199, -1729.136, 51.97947, 0, 0, -0.6462543, 0.7631222, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1306.095, -1728.469, 53.1796, 0, 0, -0.02194501, 0.9997592, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1378.267, -1720.324, 64.0097, 0, 0, -0.02194501, 0.9997592, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1346.078, -1752.47, 61.08881, -0.00028, 0.012762, -0.02194299, 0.9996777, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1272.664, -1780.235, 46.92074, 0, 0, -0.02194501, 0.9997592, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1168.225, -1753.937, 35.4164, 0, 0, 0.9914206, -0.13071, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1173.519, -1740.61, 35.07056, 0, 0, 0.9914206, -0.13071, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1155.078, -1799.782, 28.38253, 0.05265303, -0.01120501, 0.9956245, 0.07638104, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1159.402, -1808.434, 28.42631, 0.036964, -0.039136, 0.8627249, -0.5027999, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1192.624, -1890.886, 32.762, 0.009733994, 0.02513399, 0.9102905, -0.4130917, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1060.909, -1681.615, 29.65745, 0.02854301, -0.02469101, 0.8632592, -0.5033481, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_long_1.ymap
prop_palm_fan_02_a, 1160.38, -2580.814, 32.05795, 0.011527, -0.057479, -0.63952, 0.766536, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
prop_palm_fan_02_a, 1144.199, -2581.497, 17.24496, -0.05242798, -0.003954998, -0.6420857, 0.7648278, x64j.rpf\levels\gta5\_citye\indust_01\indust_01_metadata.rpf\id1_rd_strm_7.ymap
prop_palm_fan_02_a, 809.8945, -721.6187, 27.60479, -0.03157799, -0.009836996, 0.7682168, -0.6393347, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_long_0.ymap
prop_palm_fan_02_a, 1084.089, -994.3158, 34.84653, 0.003401999, 0.05372499, -0.2208509, 0.9738208, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_long_0.ymap
prop_palm_fan_02_a, 1016.45, -1146.168, 24.56098, 0.003401999, 0.05372499, -0.2208509, 0.9738208, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_long_0.ymap
prop_palm_fan_02_a, 1010.784, -1035.694, 33.44253, 0.03987899, -0.04999098, 0.1619929, 0.9847177, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_long_0.ymap
prop_palm_fan_02_a, 685.941, -1316.471, 23.28664, 0, 0, 0, 1, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rd_long_0.ymap
prop_palm_fan_02_a, 1219.25, -727.9437, 58.51196, 0.023694, -0.036623, 0.9003711, -0.4329311, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 1247.909, -559.0115, 68.33506, 0.02868201, 0.03286301, 0.1682541, 0.9847781, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 1196.578, -640.9252, 61.52419, 0.023694, -0.036623, 0.9003711, -0.4329311, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 976.6616, -543.5989, 58.17325, 0.043308, -0.005201, 0.908581, 0.415425, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 1046.347, -515.2498, 61.0494, 0.023694, -0.036623, 0.9003711, -0.4329311, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 1012.027, -606.8013, 57.78462, 0.023694, -0.036623, 0.9003711, -0.4329311, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 1106.803, -507.9064, 62.63918, 0.023694, -0.036623, 0.9003711, -0.4329311, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 1273.819, -483.4911, 68.0727, 0, 0, 0.901596, -0.432579, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 964.0059, -679.8448, 56.31978, 0, 0, 0.901596, -0.432579, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 940.2216, -639.8165, 56.31978, 0, 0, 0.901596, -0.432579, x64j.rpf\levels\gta5\_citye\indust_02\indust_02_metadata.rpf\id2_rdb_long_0.ymap
prop_palm_fan_02_a, 485.8969, -2524.987, 5.89299, 0.111223, 0.008566, 0.9731482, 0.201342, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_long_0.ymap
prop_palm_fan_02_a, 501.7474, -2544.224, 4.476639, -0.023101, 0.109134, -0.32742, 0.9382709, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_long_0.ymap
prop_palm_fan_02_a, 540.3843, -2532.572, 4.641121, -0.023101, 0.109134, -0.32742, 0.9382709, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_long_0.ymap
prop_palm_fan_02_a, 554.5884, -2531.051, 4.887321, 0.026702, -0.045176, 0.7390131, -0.6716441, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_long_0.ymap
prop_palm_fan_02_a, 466.2764, -2468.143, 4.456863, 0.015811, 0.05003901, 0.006740001, 0.9985994, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_05_long_0.ymap
prop_palm_fan_02_a, -379.4591, -2160.142, 9.020935, 0.06079401, -0.001755, 0.8844241, 0.4627041, x64k.rpf\levels\gta5\_citye\port_01\port_metadata.rpf\po1_10_long_0.ymap
prop_palm_fan_02_a, 27.168, -1579.118, 28.05988, 0.05213198, -0.015683, 0.6380718, 0.7680499, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, -7.983215, -1419.87, 29.37126, 0, 0, 0.8577081, 0.5141371, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, 11.33447, -1449.851, 29.37126, 0, 0, 0.8577081, 0.5141371, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, 27.74396, -1424.438, 29.20557, 0, 0, 0.8698921, 0.4932421, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, -8.809143, -1447.741, 29.37126, 0, 0, 0.9208721, -0.389865, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, -101.0292, -1431.43, 31.46577, 0.08135499, 0.027598, 0.755608, 0.649366, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, -110.5684, -1429.719, 32.46178, 0.05612699, 0.06503899, 0.322006, 0.9428318, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, -340.2623, -1505.376, 28.42751, 0.04528102, 0.07300602, 0.1708071, 0.9815522, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, -246.5203, -1365.075, 30.5191, 0.01086601, 0.08521806, -0.2523172, 0.9638236, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, 398.6889, -1247.394, 31.58284, 0.015811, 0.05003901, 0.006740001, 0.9985994, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, 582.6935, -1575.819, 26.85608, 0, 0, 0.7262421, 0.6874391, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, 597.7655, -1602.018, 25.22226, 0, 0, 0.8290937, 0.5591098, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
prop_palm_fan_02_a, 201.3909, -1623.492, 29.08919, 0, 0, 0.9914449, -0.130526, x64k.rpf\levels\gta5\_citye\scentral_01\scentral_metadata.rpf\sc1_rd_long_0.ymap
