ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_fan_03_b, -266.0004, -558.9096, 26.83513, 0.01652899, -0.010404, 0.9959207, -0.08809397, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, -245.1007, -559.2234, 27.1259, -0.032577, 0.03234, 0.994854, -0.09032499, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, -90.25873, -550.2466, 30.39398, -0.020506, 0.059106, 0.930648, -0.360528, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, -89.47076, -550.4252, 32.17626, -0.014777, -0.060792, -0.587028, 0.8071457, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, -92.62781, -550.0477, 31.11501, 0.036805, 0.01137, 0.287479, 0.957012, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, -367.5983, -967.7025, 29.27651, 0.004418998, 0.011705, -0.3673399, 0.9300026, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, -368.9777, -966.9797, 29.7124, -0.02238301, 0.008093002, 0.8975073, 0.4403571, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, -370.3752, -929.0233, 32.48249, 0.03744802, 0.009030006, 0.3471602, 0.9370143, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, -368.3054, -924.0776, 32.62785, 0.006970997, -0.01675399, 0.9068847, -0.4209878, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_fan_03_b, 279.8954, -598.4386, 41.68385, -0.019741, -0.034164, -0.446655, 0.8938358, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_fan_03_b, 326.7675, -673.9839, 28.28989, -0.019741, -0.034164, -0.446655, 0.8938358, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_fan_03_b, 324.6991, -608.8634, 26.75974, 0, 0, 0.8191523, 0.5735762, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_fan_03_b, 344.3639, -612.2556, 28.19046, 0, 0, 0.8191523, 0.5735762, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_fan_03_b, 226.0573, -981.5854, 26.2955, -0.017193, 0.012893, 0.7922609, -0.6098039, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_fan_03_b, 207.2901, -999.9882, 28.27735, -0.101579, -0.06329802, -0.4491802, 0.8853882, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_fan_03_b, 206.7141, -858.504, 28.63719, 0.104924, 0.03168299, -0.6696938, 0.7345048, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_fan_03_b, 206.9316, -858.8729, 29.31052, -0.08106998, -0.03266999, -0.189912, 0.9779027, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
