ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_huge_01a, -217.665, -708.9137, 32.83413, -0.012059, -0.02555799, -0.1928219, 0.9808267, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -228.2921, -738.757, 32.7076, 0, 0, 0.4617487, 0.8870108, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -225.9124, -730.3942, 32.73675, 0, 0, 0.9396927, -0.3420199, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -224.1223, -729.7235, 32.75838, 0.004019, 0.037304, 0.7364609, 0.6754389, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -221.2881, -717.9159, 32.91957, 0, 0, 0.9659259, 0.258819, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -219.2213, -709.9518, 32.72199, 0.009983004, -0.02742801, 0.9392924, -0.3418741, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -46.85406, -572.3589, 38.68395, -0.006501002, 0.005497002, 0.3945171, 0.9188492, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -55.76404, -597.0335, 35.93417, -0.03389401, -0.010213, 0.9392385, -0.3414351, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -48.29376, -576.2244, 38.01442, -0.03389401, -0.010213, 0.9392385, -0.3414351, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_palm_huge_01a, -47.48358, -574.256, 38.12655, -0.026451, 0.009948001, 0.961971, 0.271686, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
