ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_palm_sm_01a, -59.67035, -662.4271, 40.81776, 0, 0, 0.9590825, 0.2831269, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -71.20111, -667.7078, 40.81683, 0, 0, 0.6857568, 0.7278308, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -65.13757, -650.9246, 40.78533, 0, 0, 0.951614, -0.307296, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -68.35071, -659.3944, 40.78533, 0, 0, 0.8694637, 0.4939968, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -45.14648, -648.7271, 40.78533, 0, 0, 0.951614, -0.307296, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -48.14203, -657.0729, 40.80325, 0, 0, 0.2918591, 0.9564613, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -36.81085, -651.7225, 40.81355, 0, 0, 0.180858, 0.9835092, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -56.90356, -654.1393, 40.82366, 0, 0, -0.07437702, 0.9972302, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -61.99072, -642.5699, 40.80325, 0, 0, 0.9564614, -0.2918591, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, -53.50397, -645.5548, 40.82366, 0, 0, 0.9188977, -0.3944959, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_0.ymap
prop_palm_sm_01a, 385.6284, -649.0966, 27.53119, 0.04612402, 0.05669202, 0.3795902, 0.9222634, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_sm_01a, 385.5585, -651.0894, 27.59412, 0.03264901, -0.05683501, 0.4970441, 0.8652462, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_sm_01a, 387.3106, -660.6694, 27.58335, -0.06453303, 0.05331602, -0.2106491, 0.9739712, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
prop_palm_sm_01a, 302.8779, -606.0826, 42.36867, 0, 0, 0.660399, 0.7509149, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_long_1.ymap
