ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_s_pine_dead_01, -1694.986, 4861.958, 49.20352, 0, 0, 0.878817, 0.477159, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_s_pine_dead_01, -1701.133, 4853.083, 50.32452, 0, 0, 0.9238797, 0.3826829, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_s_pine_dead_01, 1273.095, 5801.218, 484.9411, 0.103056, 0.149524, 0.809688, -0.558057, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11_critical_5.ymap
prop_s_pine_dead_01, -637.686, 5440.282, 51.57382, 0, 0, -0.4146931, 0.9099613, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_s_pine_dead_01, -684.9861, 5400.558, 50.35921, 0, 0, 0.4461982, 0.8949342, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_s_pine_dead_01, -835.4446, 5217.99, 93.45751, 0, 0, 0.182236, 0.9832548, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -966.0945, 5291.506, 74.16806, 0.009113001, 0.015852, -0.08553001, 0.9961678, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -908.7367, 5395.761, 35.44981, -0.019673, -0.037581, -0.287423, 0.956864, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -549.9301, 5003.416, 134.3655, 0, 0, 0.573577, 0.8191517, x64q.rpf\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_s_pine_dead_01, -1694.986, 4861.958, 49.20352, 0, 0, 0.878817, 0.477159, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_s_pine_dead_01, -1701.133, 4853.083, 50.32452, 0, 0, 0.9238797, 0.3826829, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_08_critical_1.ymap
prop_s_pine_dead_01, 1273.095, 5801.218, 484.9411, 0.103056, 0.149524, 0.809688, -0.558057, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_11_critical_5.ymap
prop_s_pine_dead_01, -637.686, 5440.282, 51.57382, 0, 0, -0.4146931, 0.9099613, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15_critical_0.ymap
prop_s_pine_dead_01, -684.9861, 5400.558, 50.35921, 0, 0, 0.4461982, 0.8949342, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15_critical_0.ymap
prop_s_pine_dead_01, -835.4446, 5217.99, 93.45751, 0, 0, 0.182236, 0.9832548, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -966.0945, 5291.506, 74.16806, 0.009113001, 0.015852, -0.08553001, 0.9961678, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -908.7367, 5395.761, 35.44981, -0.019673, -0.037581, -0.287423, 0.956864, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -549.9301, 5003.416, 134.3655, 0, 0, 0.573577, 0.8191517, update\x64\dlcpacks\mpheist\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\hei_cs1_15c_critical_4.ymap
prop_s_pine_dead_01, -1694.986, 4861.958, 49.20352, 0, 0, 0.878817, 0.477159, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_s_pine_dead_01, -1701.133, 4853.083, 50.32452, 0, 0, 0.9238797, 0.3826829, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_s_pine_dead_01, 1273.095, 5801.218, 484.9411, 0.103056, 0.149524, 0.809688, -0.558057, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11_critical_5.ymap
prop_s_pine_dead_01, -637.686, 5440.282, 51.57382, 0, 0, -0.4146931, 0.9099613, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_s_pine_dead_01, -684.9861, 5400.558, 50.35921, 0, 0, 0.4461982, 0.8949342, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_s_pine_dead_01, -835.4446, 5217.99, 93.45751, 0, 0, 0.182236, 0.9832548, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -966.0945, 5291.506, 74.16806, 0.009113001, 0.015852, -0.08553001, 0.9961678, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -908.7367, 5395.761, 35.44981, -0.019673, -0.037581, -0.287423, 0.956864, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -549.9301, 5003.416, 134.3655, 0, 0, 0.573577, 0.8191517, update\x64\dlcpacks\patchday1ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
prop_s_pine_dead_01, -1694.986, 4861.958, 49.20352, 0, 0, 0.878817, 0.477159, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_s_pine_dead_01, -1701.133, 4853.083, 50.32452, 0, 0, 0.9238797, 0.3826829, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_08_critical_0.ymap
prop_s_pine_dead_01, 1273.095, 5801.218, 484.9411, 0.103056, 0.149524, 0.809688, -0.558057, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_11_critical_5.ymap
prop_s_pine_dead_01, -637.686, 5440.282, 51.57382, 0, 0, -0.4146931, 0.9099613, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_s_pine_dead_01, -684.9861, 5400.558, 50.35921, 0, 0, 0.4461982, 0.8949342, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15_critical_0.ymap
prop_s_pine_dead_01, -835.4446, 5217.99, 93.45751, 0, 0, 0.182236, 0.9832548, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -966.0945, 5291.506, 74.16806, 0.009113001, 0.015852, -0.08553001, 0.9961678, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -908.7367, 5395.761, 35.44981, -0.019673, -0.037581, -0.287423, 0.956864, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_2.ymap
prop_s_pine_dead_01, -549.9301, 5003.416, 134.3655, 0, 0, 0.573577, 0.8191517, update\x64\dlcpacks\patchday2ng\dlc.rpf\x64\levels\gta5\_hills\country_01\country_01_metadata.rpf\cs1_15c_critical_4.ymap
