ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_birch_03b, -27.41821, -770.3129, 43.27274, 0, 0, 0.9288555, -0.3704422, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -8.862427, -789.2695, 43.43967, 0, 0, 0.9708189, 0.239814, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -71.1626, -776.8745, 43.22104, 0, 0, 0.5453509, 0.8382078, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -209.6313, -697.7792, 32.87706, 0, 0, 0.9728668, -0.2313659, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -182.6746, -707.8209, 33.3436, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -222.8358, -807.3109, 30.03287, 0, 0, 0.9914449, 0.130526, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -202.6469, -814.7616, 29.94308, 0, 0, 0.3420199, 0.9396927, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -71.38287, -897.2924, 40.83109, 0, 0, 0.9502252, 0.3115641, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -95.3454, -892.7653, 42.84859, 0, 0, 0.9502252, 0.3115641, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -55.94397, -859.8578, 39.595, 0, 0, 0.9620359, -0.2729229, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, -136.2793, -846.2645, 42.73942, 0, 0, 0.9435325, -0.3312802, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_birch_03b, 339.8875, -755.4821, 28.13494, 0, 0, -0.239906, 0.9707961, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_birch_03b, 328.6436, -789.653, 28.16899, -0.007962002, -0.003204001, -0.3826701, 0.9238452, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_birch_03b, 308.88, -748.4067, 28.27448, -0.008242997, -0.003316999, -0.3826689, 0.9238428, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
