ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_eng_oak_01, -308.722, -694.7235, 32.40609, 0.00148, 0.019771, 0.999345, -0.030274, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_eng_oak_01, -344.0534, -1112.364, 24.19706, 0.00148, 0.019771, 0.999345, -0.030274, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_0.ymap
prop_tree_eng_oak_01, 411.1841, -602.5204, 26.49344, 0, 0, 0, 1, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_eng_oak_01, 208.5361, -957.6823, 29.50882, 0, 0, -0.2394241, 0.9709151, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_eng_oak_01, 160.9101, -929.9863, 29.01541, 0, 0, 0.9604337, 0.2785089, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_eng_oak_01, 195.1872, -879.4707, 30.53157, 0, 0, 0.3826829, 0.9238797, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_eng_oak_01, 204.9812, -878.3231, 30.56505, 0, 0, 0.9604337, 0.2785089, x64i.rpf\levels\gta5\_citye\downtown_01\downtown_01_metadata.rpf\dt1_rd1_critical_1.ymap
prop_tree_eng_oak_01, 354.7912, -326.2346, 49.35638, 0, 0, 0.015233, 0.9998839, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_tree_eng_oak_01, 402.0012, -372.1799, 45.30264, 0, 0, 0.015233, 0.9998839, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_tree_eng_oak_01, 140.8199, -43.27759, 66.31906, 0.007243, 0.009099, 0.966434, 0.256652, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
prop_tree_eng_oak_01, 86.01764, -23.09854, 67.3989, 0.013999, 0.001141, 0.9665273, 0.2561791, x64j.rpf\levels\gta5\_citye\hollywood_01\hollywood_metadata.rpf\hw1_rd_critical_0.ymap
