ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_eucalip_01, -37.19897, 367.1094, 111.2256, 0, 0, 0, 1, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_eucalip_01, -44.82239, 349.8237, 113.4184, 0, 0, 0, 1, x64l.rpf\levels\gta5\_citye\sunset\sunset_metadata.rpf\ss1_rd1_critical_1.ymap
prop_tree_eucalip_01, -1582.831, 237.655, 57.76614, 0, 0, 0.6785101, 0.7345911, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_eucalip_01, -1631.106, 288.6063, 59.05721, 0, 0, 0.9396927, -0.3420199, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_eucalip_01, -1629.829, 226.5654, 59.70803, 0, 0, 0, 1, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_eucalip_01, -1674.182, 164.2589, 61.00646, 0, 0, 0, 1, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_eucalip_01, -1703.453, 195.3366, 62.84695, 0, 0, -0.4925189, 0.8703018, x64l.rpf\levels\gta5\_cityw\beverly_01\beverly_metadata.rpf\bh1_rd_critical_1.ymap
prop_tree_eucalip_01, -1646.494, 2475.794, 27.52696, 0.021488, -0.03738801, 0.3897771, 0.919899, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1473.689, 2161.481, 41.7625, -0.03908098, 0.04300999, 0.9441926, 0.3242269, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1395.218, 2165.157, 37.50399, -0.02275701, 0.03127202, 0.9644715, 0.2613411, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1477.127, 2169.487, 46.23373, 9.999995E-07, 9.999995E-07, -0.6156617, 0.7880106, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1523.293, 2269.961, 44.49467, 0, 0, 0.8038568, -0.5948229, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1536.11, 2268.815, 50.63235, 0, 0, 0.9986296, 0.05233598, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1512.668, 2229.572, 44.78267, 0, 0, -0.5373001, 0.8433911, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1506.847, 2223.522, 38.8238, 0, 0, 0.9832549, 0.182236, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1526.567, 2178.093, 50.64515, 0, 0, -0.5373001, 0.8433911, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1383.273, 2369.666, 30.17355, 0.02392001, 0.02637101, 0.5910211, 0.8058701, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1366.586, 2357.992, 33.68008, 0, 0, 0.9238797, 0.3826829, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1711.069, 2410.811, 35.10175, 0, 0, 0.9366723, -0.3502071, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1661.219, 2474.433, 30.80514, 0, 0, 0.8338421, 0.5520031, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1649.31, 2446.803, 26.78762, -0.038929, 0, 0, 0.9992419, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1869.56, 2414.468, 27.47072, 0, 0, 0.1865241, 0.9824504, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1640.593, 2394.963, 32.67124, 0, 0, -0.316466, 0.9486039, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1645.072, 2404.765, 29.30305, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1848.297, 2352.654, 47.27183, 0, 0, 0.426569, 0.904455, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1842.225, 2341.18, 51.28222, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1975.635, 2327.217, 41.23824, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1971.056, 2319.307, 43.73123, 0, 0, -0.4011038, 0.9160326, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1985.208, 2325.723, 39.9248, 0.03557001, 0.01677601, 0.4262392, 0.9037552, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1850.741, 2335.213, 54.27099, 0, 0, 0.8987941, 0.4383711, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1850.068, 2323.789, 59.57138, 0, 0, 0.9862856, 0.1650479, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1704.759, 2417.539, 31.94794, 0, 0, -0.5000003, 0.8660253, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1721.48, 2416.401, 32.53395, 0, 0, 0.9396927, 0.3420199, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1746.601, 2303.191, 73.54688, -0.021934, -0.015282, 0.9518209, 0.305487, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1728.313, 2290.646, 75.56349, -0.03483601, 0.02625101, 0.6012423, 0.7978753, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1735.05, 2296.357, 75.00453, -0.010895, 0.017241, 0.8362441, -0.547978, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1577.888, 2177.696, 69.76952, 0, 0, 0.9025853, 0.4305112, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1416.066, 2463.705, 28.90105, 0, 0, -0.3420199, 0.9396927, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1534.573, 2336.09, 44.0607, 0, 0, -0.5373001, 0.8433911, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1520.621, 2336.053, 40.06665, 0, 0, 0.9832549, 0.182236, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1369.242, 2244.076, 40.09367, 0, 0, -0.5373001, 0.8433911, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1524.987, 2185.184, 49.35925, 0, 0, 0.983255, 0.182235, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_04b_critical_0.ymap
prop_tree_eucalip_01, -1839.142, 2023.857, 132.4336, 0, 0, 0.8433912, 0.5373001, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1847.186, 2023.005, 133.963, 0, 0, 0.9025853, -0.4305112, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1844.802, 1959.23, 142.543, 0, 0, 0.9862856, -0.1650479, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1849.985, 1964.727, 142.2428, 0, 0, 0.139173, 0.9902681, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1855.366, 1970.169, 141.3103, 0, 0, 0.4539911, 0.8910062, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1770.229, 1874.843, 151.0276, 0, 0, 0.9993909, 0.034899, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1779.227, 1868.552, 149.5518, 0, 0, 0.760406, 0.649448, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1722.237, 2092.966, 112.1806, 0, 0, 0.003777, 0.9999928, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1717.165, 2099.686, 111.3959, 0, 0, 0.3861699, 0.9224277, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1674.11, 2064.648, 93.10899, 9.999995E-07, 9.999995E-07, -0.6156617, 0.7880106, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1670.329, 2060.948, 94.33013, -0.02120699, 0.004101999, 0.9302158, 0.3663769, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1708.936, 2103.739, 109.2156, 0, 0, 0.9895671, 0.144073, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1614.291, 2116.626, 68.57639, 1.000001E-06, -1.000001E-06, 0.6162194, 0.7875745, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1619.365, 2118.125, 71.84454, 0.001135, -0.02157, -0.5799569, 0.8143607, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_05_critical_0.ymap
prop_tree_eucalip_01, -1685.421, 2144.989, 104.6846, -0.03084399, -0.03084399, 0.7064338, 0.7064338, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1677.484, 2151.604, 103.5131, 0, 0, 0, 1, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1667.943, 2167.574, 102.2795, 0.04160101, -0.013117, 0.9528091, 0.30042, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1754.568, 2090.184, 116.8442, 0, 0, 0.760406, 0.649448, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1711.962, 2128.698, 108.8055, 0, 0, 0.4617487, 0.8870108, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1747.817, 2097.228, 115.4873, 0, 0, -0.3173048, 0.9483236, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1720.05, 2122.58, 109.9032, 0.001903001, -0.04357801, 0.9980974, -0.04357902, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1706.363, 2222.132, 85.40166, 0, 0, 0.9563047, 0.2923719, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1783.073, 2062.863, 123.051, 0, 0, 0.7431448, 0.6691307, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1799.301, 2049.171, 126.2032, 0, 0, 0.9848078, -0.1736479, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
prop_tree_eucalip_01, -1885.498, 1981.495, 141.0719, 0, 0, 0.6691308, 0.7431447, x64n.rpf\levels\gta5\_hills\cityhills_01\cityhills_01_metadata.rpf\ch1_09b_critical_0.ymap
