ArchetypeName, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, RotationW, YmapFile
prop_tree_jacada_02, -1466.363, -963.0369, 7.612267, 0, 0, 0.8819211, -0.4713971, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_critical_1.ymap
prop_tree_jacada_02, -1457.217, -937.3696, 9.254379, 0, 0, 0.4713971, 0.8819211, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_critical_1.ymap
prop_tree_jacada_02, -1456.694, -942.2258, 9.254379, 0, 0, 0.9686914, 0.2482678, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_critical_1.ymap
prop_tree_jacada_02, -1448.848, -942.4011, 7.471092, 0, 0, -0.6675078, 0.7446028, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_critical_1.ymap
prop_tree_jacada_02, -1516.021, -875.0574, 9.700878, 0, 0, 0.9994646, 0.03271899, x64m.rpf\levels\gta5\_cityw\santamon_01\santamon_metadata.rpf\sm_rd_critical_1.ymap
prop_tree_jacada_02, -1034.135, -969.5281, 1.0784, 0, 0, 0.8633562, 0.504595, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_critical_0.ymap
prop_tree_jacada_02, -940.6548, -1122.728, 1.161499, 0.00239, 0.008952999, 0.9770569, 0.212777, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_critical_0.ymap
prop_tree_jacada_02, -984.329, -1024.798, 1.168724, -0.017541, 0.036556, 0.486655, 0.8726528, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_critical_0.ymap
prop_tree_jacada_02, -1040.272, -1220.33, 1.511982, 0.064964, 0.061022, 0.5817981, 0.808435, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_critical_1.ymap
prop_tree_jacada_02, -1039.937, -1180.335, 1.168724, -0.017541, 0.036556, 0.486655, 0.8726528, x64m.rpf\levels\gta5\_cityw\venice_01\venice_metadata.rpf\vb_rd_critical_1.ymap
prop_tree_jacada_02, 200.9332, 1069.822, 221.9238, -0.038396, 0.008192001, 0.7942221, -0.6063581, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_02_critical_4.ymap
prop_tree_jacada_02, -1097.091, 477.2459, 80.4882, 0, 0, 0, 1, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roads_critical_0.ymap
prop_tree_jacada_02, -441.5911, 556.9354, 121.086, 0, 0, -0.5528571, 0.8332761, x64o.rpf\levels\gta5\_hills\cityhills_02\cityhills_02_metadata.rpf\ch2_roadsa_critical_0.ymap
